neighbourhood,name,href,rating,category
Alexandra,Fine Taste Eating House,https://s3-media0.fl.yelpcdn.com/bphoto/eXIIANhJr2M-OTga7fwPGA/348s.jpg,4 star rating,['Restaurants']
Alexandra,Fuel Plus+,https://s3-media0.fl.yelpcdn.com/bphoto/hqG4er2D8e2RNtHabAJKCw/348s.jpg,4 star rating,['Cafes']
Alexandra,Viva Vox Cafe,https://s3-media0.fl.yelpcdn.com/bphoto/22Xec_x4eH9Eb7B_MxR4yA/348s.jpg,3 star rating,['Italian']
Alexandra,Garuda Padang Cuisine,https://s3-media0.fl.yelpcdn.com/bphoto/zklQIqEwfkykyYHA7NJH6A/348s.jpg,,['Restaurants']
Alexandra,Lau Phua Chay Roasted Duck,https://s3-media0.fl.yelpcdn.com/bphoto/2wPqpxnfEaYm7UIdvuK7VQ/348s.jpg,3.5 star rating,['Chinese']
Alexandra,Spice Canteen,https://s3-media0.fl.yelpcdn.com/bphoto/5VCtaHNTlGGjF0jkQpgU5g/348s.jpg,4 star rating,['Malaysian']
Alexandra,Jiu Zhuang,https://s3-media0.fl.yelpcdn.com/bphoto/RCsiKXp5HCsJTdA8jQ3l9A/348s.jpg,4 star rating,"['Lounges', 'Asian Fusion']"
Alexandra,The Disgruntled Chef,https://s3-media0.fl.yelpcdn.com/bphoto/gy4t3i8DhJpXFpbGUoD2mA/348s.jpg,3 star rating,"['Breakfast & Brunch', 'Tapas/Small Plates']"
Alexandra,La Ventana,https://s3-media0.fl.yelpcdn.com/bphoto/_fY9r4UgvRwgAZg74ExxEQ/348s.jpg,4 star rating,"['Desserts', 'Seafood', 'American (Traditional)']"
Alexandra,Prima Tower Revolving Restaurant,https://s3-media0.fl.yelpcdn.com/bphoto/bQs82MU58y9i0af-g5Fh1Q/348s.jpg,4 star rating,['Pekinese']
