rest_name,address,postal_code,latitude,longitude,opening,username,userid,user_location,user_rating,review_date,comment
Sō,238 Thomson Rd #01-05 Singapore 307683 Singapore ,307683,1.32021100706836,103.843656761867,"[('Mon', ['11:00 AM - 10:00 PM']), ('Tue', ['11:00 AM - 10:00 PM']), ('Wed', ['11:00 AM - 10:00 PM']), ('Thu', ['11:00 AM - 10:00 PM']), ('Fri', ['11:00 AM - 10:00 PM']), ('Sat', ['11:00 AM - 10:00 PM']), ('Sun', ['11:00 AM - 10:00 PM'])]",John C.,DIckqqZNAQwL5ySdqWIJyw,"San Diego, CA",5,1/22/2020,"Excellent tasting Ramen joint located in the Velocity Novena shopping center. They had close to 50 restaurants and all looked so delicious.Had the same ole Tonkotsu ramen and gyoza's. Very flavorful silky smooth pork broth, perfectly cooked eggs, and the pan fried gyoza's were great too!Simple no frills restaurant with different choices for noodles. For sure will be back!"
Sō,238 Thomson Rd #01-05 Singapore 307683 Singapore ,307683,1.32021100706836,103.843656761867,"[('Mon', ['11:00 AM - 10:00 PM']), ('Tue', ['11:00 AM - 10:00 PM']), ('Wed', ['11:00 AM - 10:00 PM']), ('Thu', ['11:00 AM - 10:00 PM']), ('Fri', ['11:00 AM - 10:00 PM']), ('Sat', ['11:00 AM - 10:00 PM']), ('Sun', ['11:00 AM - 10:00 PM'])]",Nicola L.,8-16ryk-5pdzUs_6cI_5aw,"Singapore, Singapore",3,10/31/2018,E2 Toroniku ramen - 3 starsThe shoyu broth was well... salty. The pork was very soft but a bit on the fatty side. Overall decent. I'll try a Tonkotsu broth the next time.
Sō,238 Thomson Rd #01-05 Singapore 307683 Singapore ,307683,1.32021100706836,103.843656761867,"[('Mon', ['11:00 AM - 10:00 PM']), ('Tue', ['11:00 AM - 10:00 PM']), ('Wed', ['11:00 AM - 10:00 PM']), ('Thu', ['11:00 AM - 10:00 PM']), ('Fri', ['11:00 AM - 10:00 PM']), ('Sat', ['11:00 AM - 10:00 PM']), ('Sun', ['11:00 AM - 10:00 PM'])]",Danny T.,e9Sn1IZZZ_1Qa_vUdtskjA,"Bishan, Singapore, Singapore",5,8/11/2017,Loved the tonkatsu ramen. The texture of the ramen was well down and the Cha Shu and pork belly was tender. The soup was very good. Came piping hot. The gyoza was very good. Reasonably priced dishes.
Sō,238 Thomson Rd #01-05 Singapore 307683 Singapore ,307683,1.32021100706836,103.843656761867,"[('Mon', ['11:00 AM - 10:00 PM']), ('Tue', ['11:00 AM - 10:00 PM']), ('Wed', ['11:00 AM - 10:00 PM']), ('Thu', ['11:00 AM - 10:00 PM']), ('Fri', ['11:00 AM - 10:00 PM']), ('Sat', ['11:00 AM - 10:00 PM']), ('Sun', ['11:00 AM - 10:00 PM'])]",J R.,MMzE2p8FwNt_xDt4ZqFi1w,"Mount Sophia, Singapore, Singapore",5,1/15/2018,"Quality and consistency are attributes of this location in the Sō Ramen chain. The Ramen is always top notch and piping hot. I've tried the Tonkotsu and Miso on multiple occasions and always come out satisfied. That said, the sides and drinks are rather meh aside from the Dango and fried Gyoza, so fill up on the Ramen. Flatware (other than the Ramen bowl), utensils and glasses are plastic if that matters to you."
Soi Thai Soi Nice,33 Sengkang West Ave #01-29/30 The Seletar Mall Singapore 797653 Singapore ,797653,1.39131549124709,103.876213231014,"[('Mon', ['11:30 AM - 3:00 PM', '5:30 PM - 2:00 AM (Next day)']), ('Tue', ['11:30 AM - 3:00 PM', '5:30 PM - 2:00 AM (Next day)']), ('Wed', ['11:30 AM - 3:00 PM', '5:30 PM - 2:00 AM (Next day)']), ('Thu', ['11:30 AM - 3:00 PM', '5:30 PM - 2:00 AM (Next day)']), ('Fri', ['11:30 AM - 3:00 PM', '5:30 PM - 3:00 AM (Next day)']), ('Sat', ['11:30 AM - 3:00 AM (Next day)']), ('Sun', ['11:30 AM - 2:00 AM (Next day)'])]",Doreen T.,2F38Uc4UNNbFVdyUUnBjOA,"Singapore, Singapore",4,9/19/2019,"Recently I have visited this restaurant for a meal with a group of friends.  To cater to the late night crowd, the restaurant opens till 2am during weekdays (Sunday to Thursday) and 3am during weekends (Friday, Saturday and Eve of Public Holidays). The restaurant offers Thai Chinese cuisine which was slightly different from the usual Thai fares offered in most restaurants around and more like a cross between Thai cuisine and Teochew cuisine.Royal Thai Seafood Porridge 皇室海鲜粥 (S$38.80++/ 2 pax)Came with Prawns, Flower Clams, Mussels, Squid, and Red Grouper Fillet.Served with flower crab 花蟹 in spicy Tom Yum Red broth. One could choose soft shell crab instead too.Add a Lobster 龙虾 (S$16++) to make it a more luxurious version.It was the hot favourite for the meal. It was teochew style porridge with rice in soup. We like this so much, that we added on more ingredients such as vegetables from the Mookata set to this dish to simmer. Remember to add in more broth before the pot got dried up.Royal Thai Fish Head Hot Pot 皇室香芋鱼头爐 (S$38.80++/ 2 pax)Fish Head in non-spicy Yam Fish broth. There's also spicy broth choices such as Tom Yum Red and Tom Yum Clear.Packed with Mussels, Enoki Mushroom, Tau Kee (Beancurd Skin), Flower Clam, Deep Fried Egg Tofu, Yam and Round Cabbage.The fish head was served chopped into pieces, with chunky meat and not too boney. The broth was flavourful with melt in the mouth bites of yam.Royal Thai Mookata 皇室燒肉火锅 (S$38.80++/ 2 pax)It was exclusively available at The Seletar Mall outlet.Packed with ingredients such as Tiger Prawn, Mussel, Flower Clam, Luncheon Meat, Squid, Pork Collar, Chicken Slice, Crab Stick, Chicken Chipolata , Shimeji Mushroom, Enoki Mushroom, Xiao Bai Cai, Long Cabbage, Glass Noodle, Kang Kong and Raw Egg.Don't forget to finish the meal with a packet of Instant Noodle (S$2.90++). Remember to help yourself to the various dipping sauces such as chilli sauce, seafood sauce (green color), and meat sauce.Waterfall Deep Fried Pork Belly 秘制酱酥炸五花肉 (S$13.90++) .Fatty pork belly with crispy crust, topped with a tangy spicy sauce.Braised Pork Knuckle 香焖猪脚 (S$18.90++)Served with braised mushroom, braised beancurd and braised egg, plus its special dipping sauce.The pork kunckle was tender and flavourful. Huge serving.Tofu Crystal Prawn 豆腐水晶虾 (S$15.90++). .Kind of like bean curd and prawns topped with chilli crab sauce..Ended the meal with Coconut Ice Cream with Sticky Rice 香椰冰淇淋糯米饭 (S$8.90++)Sinfully rich gula melaka syrup + rich creamy ice cream + crunchy corn flakes + pipping hot sticky rice made a sinfully end to the meal..Accompanied the meal with interesting drinks such as Coco Paradise 特制香椰冷饮 (S$6.90++) and Butterfly Pea Coconut Drink 蝴蝶豌豆香椰冷饮 (S$4.90++)."
Fortune Food Homemade Springroll,Blk 209 Hougang Street 21 #01-52 Singapore 530209 Singapore ,530209,1.35908384091048,103.886055368064,[],Amanda C.,11R2R4nyRpF6nqlXH-JeGQ,"San Francisco, CA",5,1/2/2017,"Popiah (homemade fresh spring roll) is something that I find to be simple Singapore eats and yet so tasty. It's simple ingredients and yet not all places make it well. This local popiah and kueh pie ti is very yummy and satisfying and it's just S$1.50 for popiah and 5 for S$3.00  for pie ti. The owner or person who I frequently see working is approachable and nice. He is quick with filling orders and you can tell he works hard. The popiah skin is fresh and he knows how to make the popiah with proper amounts of filling (jicama, carrots, etc), crispy bits, sauces, veggies, and crushed peanuts. I also prefer the sambal chili vs without but both tend to do the job. Oh also, he wraps it well so once it is cut, it doesn't fall part as quickly as other places that I've been to too. Apparently fortune food started off as a single successful hawker stand and now has branched off to multiple outlets. They also do party set orders which is neat too. Many locals also order the muah chee (glutenous rice balls coated with crushed peanut and sugar), which I feel is similar to Japanese mochi just with a different coating and spin on it. But generally it is quite tasty and not too sweet. Id recommend this place if you're in the area and to get the popiah and for the price you can't beat it. Check it out. Tip/ cash only Tip2/ try one with chili and one without and see what you prefer Tip3/ the hawker is in the food center that is just behind the Kovan MRT station so it's pretty convenient if you're making your way out this way"
Swatow Seafood,22 Kensington Park Rd Singapore 557271 Singapore ,557271,1.36573432810949,103.866873575185,[],Isaac R.,8T_aXD7kgrXU1Jj1pwNWgQ,"Price, UT",5,2/17/2019,Very good dumplings and rice. They give your peanuts to practice with chopsticks. Very nice furniture and nice windows.
Picotin - Fairways,60 Fairways Drive Singapore 286966 Singapore ,286966,1.34558297416584,103.79655063418,"[('Mon', ['7:00 AM - 11:00 PM']), ('Tue', ['7:00 AM - 11:00 PM']), ('Wed', ['7:00 AM - 11:00 PM']), ('Thu', ['7:00 AM - 11:00 PM']), ('Fri', ['7:00 AM - 11:00 PM']), ('Sat', ['7:00 AM - 11:00 PM']), ('Sun', ['7:00 AM - 11:00 PM'])]",Jim D.,i2G5mQrL1g_wgSuL8DGExQ,"Singapore, Singapore",4,4/1/2018,Went here for an early breakfast one Sunday just after they opened. Great location with a nice cool Breeze coming off the surrounding Golf course. Ordered a large black coffee and a full English breakfast. The service was pretty fast for both the coffee and the breakfast. The coffee and the breakfast both hit the mark. Good quality bacon and Sausage along with fluffy scrambled egg and mushrooms that did not com from a can. Will definitely return.
Picotin - Fairways,60 Fairways Drive Singapore 286966 Singapore ,286966,1.34558297416584,103.79655063418,"[('Mon', ['7:00 AM - 11:00 PM']), ('Tue', ['7:00 AM - 11:00 PM']), ('Wed', ['7:00 AM - 11:00 PM']), ('Thu', ['7:00 AM - 11:00 PM']), ('Fri', ['7:00 AM - 11:00 PM']), ('Sat', ['7:00 AM - 11:00 PM']), ('Sun', ['7:00 AM - 11:00 PM'])]",Linda G.,7_GwM7Y46nHWA4OsbdOzSA,"Bonney Lake, WA",5,6/1/2019,"We've been looking for a great breakfast place since we moved to Singapore... this restaurant does not come up when searching brunch. I had a breakfast sandwich and a margarita; my husband had the Benedict and a Bloody Mary... food was good, service fast, prices reasonable and drinks nice and strong! We will be back!"
Picotin - Fairways,60 Fairways Drive Singapore 286966 Singapore ,286966,1.34558297416584,103.79655063418,"[('Mon', ['7:00 AM - 11:00 PM']), ('Tue', ['7:00 AM - 11:00 PM']), ('Wed', ['7:00 AM - 11:00 PM']), ('Thu', ['7:00 AM - 11:00 PM']), ('Fri', ['7:00 AM - 11:00 PM']), ('Sat', ['7:00 AM - 11:00 PM']), ('Sun', ['7:00 AM - 11:00 PM'])]",Drew O.,h5-5MnItAJx6x35kXkq54g,"Singapore, Singapore",1,10/11/2015,"I ordered the nachos. On the menu, it says that it comes with cheese and guacamole. When it arrived, however, it had unidentified orange and green sauces. Neither were cheese nor guacamole. It was gross. I felt ripped off and their menu is dishonest."
