neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Keppel,The Garden @ Sentosa,www.yelp.com/biz/the-garden-sentosa-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/d5euGIO-qmW4f5XLNwwJdw/348s.jpg,5,2,Sentosa,['Modern European'],3.0
Keppel,Curate,www.yelp.com/biz/curate-southern-islands?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/b_EvIZc12DEBdQeSSU5RFg/348s.jpg,5,2,Sentosa,['Pop-Up Restaurants'],4.0
Keppel,Tim Ho Wan,www.yelp.com/biz/tim-ho-wan-singapore-7?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/L_YN4BIaEEpuNEeEAzXv-g/348s.jpg,4.5,32,City Hall,"['Dim Sum', 'Cantonese']",1.0
Keppel,Old Habits,www.yelp.com/biz/old-habits-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/PpEWvE5J3LuDWYM4nXQCYQ/348s.jpg,5,4,Telok Blangah,['Cafes'],2.0
Keppel,The Cliff at Sentosa,www.yelp.com/biz/the-cliff-at-sentosa-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/BUl2k-hcyJ66Q5wZh5GScQ/348s.jpg,4.5,4,Sentosa,['Modern European'],4.0
Keppel,YAYOI,www.yelp.com/biz/yayoi-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/7bC4JTDc--aKi3tfWRyodA/348s.jpg,4.5,8,Tanjong Pagar,['Japanese'],2.0
Keppel,Two Men Bagel House,www.yelp.com/biz/two-men-bagel-house-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/g1bRzXGxoIFwUxlg-bswKQ/348s.jpg,4.5,76,Tanjong Pagar,"['Bagels', 'Breakfast & Brunch', 'Sandwiches']",1.0
Keppel,Singapore Seafood Republic,www.yelp.com/biz/singapore-seafood-republic-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ER69x0eLWvac0mMHHiFVCQ/348s.jpg,4,8,Sentosa,['Seafood'],4.0
Keppel,Meat Packing District,www.yelp.com/biz/meat-packing-district-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/DdXX_sPEeAMaHAdTsZ2PuA/348s.jpg,4.5,2,Keppel,['Burgers'],
Keppel,Plate,www.yelp.com/biz/plate-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/p9WTgYNlmuw_1x1RzYnZaA/348s.jpg,5,1,Tanjong Pagar,"['Buffets', 'Modern European', 'Singaporean']",
Keppel,NUDE Seafood,www.yelp.com/biz/nude-seafood-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/X6E9IY-pw-Y8jFrqI4xM7g/348s.jpg,4.5,4,Bayfront,['Seafood'],2.0
Keppel,Man Man Japanese Unagi,www.yelp.com/biz/man-man-japanese-unagi-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/O7IShQvGWku0u6y9uTohzA/348s.jpg,5,19,Chinatown,['Japanese'],2.0
Keppel,Gin Khao Bistro,www.yelp.com/biz/gin-khao-bistro-southern-islands?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/6eTxwE2CtKEKKb-t_onfWg/348s.jpg,3.5,3,Sentosa,['Thai'],
Keppel,Thye Hong Singapore Heritage Food,www.yelp.com/biz/thye-hong-singapore-heritage-food-no-title?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/UCt0CE7UF4sTs1hfeo1_kw/348s.jpg,5,1,Tanjong Pagar,"['Noodles', 'Singaporean', 'Food Court']",
Keppel,Marché,www.yelp.com/biz/march%C3%A9-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/8LL1YDXNfsovSqMvjoGGUQ/348s.jpg,4,20,Harbourfront,['Restaurants'],2.0
Keppel,Five Oars Coffee Roasters,www.yelp.com/biz/five-oars-coffee-roasters-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/7ERJ44MysrQoDG6exkdFdg/348s.jpg,4.5,6,Duxton Hill,"['Coffee Roasteries', 'Breakfast & Brunch']",2.0
Keppel,Talay Thai,www.yelp.com/biz/talay-thai-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/8QiguiAO3TjZ3WQiw8lhhQ/348s.jpg,5,1,Clarke Quay,"['Thai', 'Seafood', 'Asian Fusion']",
Keppel,JustIN Flavours of Asia,www.yelp.com/biz/justin-flavours-of-asia-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Xcv6Z9rhkbx4GeTByaiU9A/348s.jpg,4.5,6,Bayfront,['Singaporean'],
Keppel,SKIRT,www.yelp.com/biz/skirt-no-title?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/bltwgjuOZy44uJ99Jc3EbQ/348s.jpg,4,8,Sentosa,"['Seafood', 'Steakhouses']",4.0
Keppel,Curry Village Banana Leaf,www.yelp.com/biz/curry-village-banana-leaf-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/cpJqNuedI4RCngHfGYsd9g/348s.jpg,3.5,3,Tanjong Pagar,['Indian'],1.0
Keppel,Din Tai Fung,www.yelp.com/biz/din-tai-fung-singapore-27?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/zNb3sNTNdQPnSXYOlZjEjA/348s.jpg,3.5,23,Sentosa,"['Shanghainese', 'Taiwanese', 'Dumplings']",2.0
