neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Ang Mo Kio,Hong Kong Street Zheng Ji,www.yelp.com/biz/hong-kong-street-zheng-ji-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/nifoovE43JapE3dnpJH7pQ/348s.jpg,5,1,Ang Mo Kio,['Cantonese'],
Ang Mo Kio,Sin Heng Kee Porridge,www.yelp.com/biz/sin-heng-kee-porridge-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/781AQ5zZIEtFKVdDSKXdwg/348s.jpg,5,10,Hougang,"['Singaporean', 'Congee']",1.0
Ang Mo Kio,Canopy Garden Dining & Bar,www.yelp.com/biz/canopy-garden-dining-and-bar-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/w_0BoMo1QFN7AhMmao_kmg/348s.jpg,3,16,Bishan,['Gastropubs'],3.0
Ang Mo Kio,Tong Shun,www.yelp.com/biz/tong-shun-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/e7mQM70Ko8J9x-y9x6fsnw/348s.jpg,5,1,Yio Chu Kang,"['Singaporean', 'Seafood', 'Noodles']",
Ang Mo Kio,Sakura International Buffet,www.yelp.com/biz/sakura-international-buffet-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/biaZJryWDfJDrBB12X6gWA/348s.jpg,4,1,Yio Chu Kang,"['Buffets', 'Venues & Event Spaces']",
Ang Mo Kio,Goldhill Family Restruant,www.yelp.com/biz/goldhill-family-restruant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/QZajfc7vvfYXgoAYZ17_dw/348s.jpg,5,1,Hougang,['Singaporean'],1.0
Ang Mo Kio,AMK Fried Kway Teow,www.yelp.com/biz/amk-fried-kway-teow-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/8EX8Pn1seDSBOChygb5OZw/348s.jpg,5,1,Ang Mo Kio,['Asian Fusion'],
Ang Mo Kio,Hansik Korean Restaurant,www.yelp.com/biz/hansik-korean-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Cg7LBeUc9NT-Caz84ogLEQ/348s.jpg,4,6,$$$,['Korean'],3.0
Ang Mo Kio,Haru Haru Japanese Restaurant,www.yelp.com/biz/haru-haru-japanese-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/iB4NiX5BjZUgoA_aaS5qOg/348s.jpg,3.5,3,Ang Mo Kio,['Japanese'],
Ang Mo Kio,Kowloon Hong Kong Dim Sum,www.yelp.com/biz/kowloon-hong-kong-dim-sum-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/WNfBR5MJ6p_y4qxJHz-2OQ/348s.jpg,4,1,Ang Mo Kio,['Dim Sum'],2.0
Ang Mo Kio,Trattoria da Mimmo,www.yelp.com/biz/trattoria-da-mimmo-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Hy9bkj6DsRGRbv3sT1bibQ/348s.jpg,5,3,Bishan,['Italian'],
Ang Mo Kio,The Hideout,www.yelp.com/biz/the-hideout-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/6S_yIAlawYGiwB7Fo3fMKw/348s.jpg,4,1,Bishan,['Bistros'],
Ang Mo Kio,The Black Sheep Cafe,www.yelp.com/biz/the-black-sheep-cafe-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/rEUbJfZyM05YPvm_P_8G1A/348s.jpg,4,6,Thomson,['French'],4.0
Ang Mo Kio,Mrs Pho House Rangoon,www.yelp.com/biz/mrs-pho-house-rangoon-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/sRYym5uYaZvI6SWIaDEBEA/348s.jpg,5,4,Farrer Park,['Vietnamese'],
Ang Mo Kio,Big Bern’s American Grill,www.yelp.com/biz/big-berns-american-grill-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/usUuU-3WoDWYNC7cuBtS2w/348s.jpg,4.5,4,Toa Payoh,['American (Traditional)'],1.0
Ang Mo Kio,Mellben Seafood,www.yelp.com/biz/mellben-seafood-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/GfAt00hnfx7MVwzn_4n1OA/348s.jpg,4,44,Ang Mo Kio,['Seafood'],3.0
Ang Mo Kio,Teng Sheng Korean Bbq Buffet Restaurant,www.yelp.com/biz/teng-sheng-korean-bbq-buffet-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/ec91c6e75078/assets/img/default_avatars/business_medium_square.png,4,1,Yio Chu Kang,"['Korean', 'Buffets', 'Barbeque']",
Ang Mo Kio,iSteaks Grillhouse,www.yelp.com/biz/isteaks-grillhouse-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/GHw6_hFbhi1BKkxxvsvGEQ/348s.jpg,4,9,Serangoon Gardens,"['Steakhouses', 'Diners']",2.0
Ang Mo Kio,Gim Tim,www.yelp.com/biz/gim-tim-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/JJFXkrClznQTLGNmToRv2A/348s.jpg,4,1,Ang Mo Kio,['Restaurants'],
Ang Mo Kio,Su Korean BBQ,www.yelp.com/biz/su-korean-bbq-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ApsoXYnNdH2wMVSmhPwkbA/348s.jpg,4.5,2,Toa Payoh,"['Korean', 'Barbeque']",1.0
Ang Mo Kio,HaiDiLao Hotpot,www.yelp.com/biz/haidilao-hotpot-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/SR5zB3C3bPMLiwMeAwekOA/348s.jpg,4.5,3,Novena,['Hot Pot'],
Ang Mo Kio,Eighteen Chefs,www.yelp.com/biz/eighteen-chefs-singapore-7?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/EmRctN0A_90IOZlLjbc0oQ/348s.jpg,4,2,Ang Mo Kio,['Japanese'],1.0
Ang Mo Kio,Soek Seng 1954,www.yelp.com/biz/soek-seng-1954-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/QEOjzc9dvC8CO15kQJq7DQ/348s.jpg,3.5,6,Seletar,"['Cafes', 'Bikes']",2.0
Ang Mo Kio,Don Don Japanese Kitchen S11,www.yelp.com/biz/don-don-japanese-kitchen-s11-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/IoPW9yu88RzYX_YpNho71A/348s.jpg,5,1,Ang Mo Kio,['Fast Food'],
Ang Mo Kio,Fried Hokkien Big Prawn Mee,www.yelp.com/biz/fried-hokkien-big-prawn-mee-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/-40QdEkzeDfxq5qJTT3w1A/348s.jpg,4,1,Ang Mo Kio,"['Chinese', 'Asian Fusion']",2.0
Ang Mo Kio,GrillHouse Sevenlicious,www.yelp.com/biz/grillhouse-sevenlicious-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/qZPbhnbIQcDB8wqq9j4QtQ/348s.jpg,5,1,Ang Mo Kio,"['Burgers', 'Steakhouses', 'Pizza']",
Ang Mo Kio,Seletar Hill,www.yelp.com/biz/seletar-hill-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Xi2Uft8fymZ4oP-QhrHURA/348s.jpg,5,1,Yio Chu Kang,['Szechuan'],2.0
Ang Mo Kio,YakiBaBar,www.yelp.com/biz/yakibabar-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/0_pkt48fHREmASS9TtejnQ/348s.jpg,3.5,3,Serangoon Gardens,['Yakitori'],
Ang Mo Kio,Thonglor Thai Cuisine,www.yelp.com/biz/thonglor-thai-cuisine-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/nYQ6u2DUmQ6fNZlChJY_sA/348s.jpg,3,3,Ang Mo Kio,['Thai'],
Ang Mo Kio,218 Centre Hokkien Mee,www.yelp.com/biz/218-centre-hokkien-mee-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Bwd667PcCW8rDn1XWXF7Sg/348s.jpg,4.5,2,Seletar,['Singaporean'],
Ang Mo Kio,Goki Day Korean BBQ Buffet Restaurant,www.yelp.com/biz/goki-day-korean-bbq-buffet-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/DwgcZazWVlpj33cFCLdeLQ/348s.jpg,4.5,2,Serangoon,"['Korean', 'Buffets']",2.0
Ang Mo Kio,Gyu-Kaku,www.yelp.com/biz/gyu-kaku-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Zx_vQmaqlfpG2Y85NjamSQ/348s.jpg,4,6,Novena,"['Japanese', 'Barbeque']",3.0
Ang Mo Kio,Bliss Restaurant,www.yelp.com/biz/bliss-restaurant-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/dVmYbwPOh5aY4AGwxpaWqw/348s.jpg,3,10,Ang Mo Kio,['Diners'],2.0
Ang Mo Kio,AMBUSH,www.yelp.com/biz/ambush-singapore-5?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/oJ0UrCgZXaqgwupaKrtbyA/348s.jpg,4,2,Bishan,['Modern European'],
Ang Mo Kio,Choupinette,www.yelp.com/biz/choupinette-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/YRtZvTMH0AEfT4q8O43h0A/348s.jpg,4,19,Bukit Timah,"['Bakeries', 'Bistros', 'Breakfast & Brunch']",2.0
