neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Bedok North,Refuel Cafe,www.yelp.com/biz/refuel-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Rl461NZ6MMImIio9Eqt92w/348s.jpg,4,6,Bedok Reservoir,"['Cafes', 'Breakfast & Brunch']",1.0
Bedok North,AS Seafood Soup,www.yelp.com/biz/as-seafood-soup-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/4TaQ5g9unJN5RkAmllelzA/348s.jpg,4,1,Bedok North,"['Seafood', 'Soup', 'Food Stands']",1.0
Bedok North,Coastal Rhythm Cafe & Bar,www.yelp.com/biz/coastal-rhythm-cafe-and-bar-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/RW2R7HXTteeB6ECpouB1yQ/348s.jpg,5,1,Marine Parade,"['Bars', 'Cafes']",
Bedok North,Ambeng Cafe,www.yelp.com/biz/ambeng-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/KK5TAkar6bCT3RlSn_vKMg/348s.jpg,5,1,Simei,['Indonesian'],
Bedok North,Forty Hands East Coast,www.yelp.com/biz/forty-hands-east-coast-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/1OYL8OuFAspKZoCd0hHMrg/348s.jpg,4.5,2,Katong,['Cafes'],
Bedok North,Nangfa Thai Kitchen,www.yelp.com/biz/nangfa-thai-kitchen-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/chZ6m6vWJb3DPCKtlstCSg/348s.jpg,5,7,Bedok North,['Thai'],
Bedok North,Lao Huo Tang,www.yelp.com/biz/lao-huo-tang-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/SELgMSo6DlgfNNDUyqcIqA/348s.jpg,5,1,Tampines,['Chinese'],
Bedok North,Metta Cafe,www.yelp.com/biz/metta-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ny1Cc_4tlm3BIoPJ7ok7kA/348s.jpg,5,1,Simei,"['Desserts', 'Coffee & Tea', 'Breakfast & Brunch']",1.0
Bedok North,Sakura International Buffet Restaurant,www.yelp.com/biz/sakura-international-buffet-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/VdGQTOGzN1zmtadwVDCdoA/348s.jpg,4,1,Pasir Ris,['Buffets'],
Bedok North,Porta Porta Italian,www.yelp.com/biz/porta-porta-italian-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/5TcTQOu-Ez9XdZGacIp6Hw/348s.jpg,5,5,Simei,"['Modern European', 'Italian']",4.0
Bedok North,Stella,www.yelp.com/biz/stella-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/GokbFGYvWLHXBuns8WZVKQ/348s.jpg,4,8,Changi,"['Diners', 'Bars']",2.0
Bedok North,Warong Java,www.yelp.com/biz/warong-java-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/AtfFNhjGpkWd_DuxCu9F4Q/348s.jpg,4,1,Bedok North,['Indonesian'],2.0
Bedok North,Paik’s Bibimbap,www.yelp.com/biz/paiks-bibimbap-bedok?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/5Scg3VdeISSHiWSqHZUwRQ/348s.jpg,5,1,Bedok North,['Korean'],1.0
Bedok North,Yamato Izakaya,www.yelp.com/biz/yamato-izakaya-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/hEHe-nQwcA1Ea-LwIcoNtQ/348s.jpg,4,5,Ubi,"['Sushi Bars', 'Ramen']",
Bedok North,Hansik Korean Restaurant,www.yelp.com/biz/hansik-korean-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Cg7LBeUc9NT-Caz84ogLEQ/348s.jpg,4,6,$$$,['Korean'],3.0
Bedok North,Aliff Nasi Lemak,www.yelp.com/biz/aliff-nasi-lemak-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/OszS9OiEK_deehybtZaXOw/348s.jpg,4,1,Bedok North,"['Halal', 'Singaporean', 'Breakfast & Brunch']",
Bedok North,Sin Heng Kee Porridge,www.yelp.com/biz/sin-heng-kee-porridge-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/781AQ5zZIEtFKVdDSKXdwg/348s.jpg,5,10,Hougang,"['Singaporean', 'Congee']",1.0
Bedok North,Katong Delights,www.yelp.com/biz/katong-delights-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/YJJ75G9EdwE9hzKMEvg0Tw/348s.jpg,5,1,Siglap,"['Asian Fusion', 'Caterers']",
Bedok North,Jing Long Seafood Restaurant - BEDOK,www.yelp.com/biz/jing-long-seafood-restaurant-bedok-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/R1-v5D3xBWaEkQjoRAx5wg/348s.jpg,2.5,3,Bedok North,"['Chinese', 'Seafood']",3.0
Bedok North,Wawawa - Bistro by the Reservoir,www.yelp.com/biz/wawawa-bistro-by-the-reservoir-no-title?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/N-DTUXeSErYky3oJK1tR8A/348s.jpg,2.5,10,Bedok North,"['German', 'Breakfast & Brunch', 'Italian']",2.0
Bedok North,Qiang Lim Seafood Fish Head Curry,www.yelp.com/biz/qiang-lim-seafood-fish-head-curry-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/0-irpQhmMkBOPt1Oc5mupA/348s.jpg,5,1,Bedok South,['Seafood'],
Bedok North,Ssikkek BBQ,www.yelp.com/biz/ssikkek-bbq-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/f0vx3gc40wJAn-Jq2xGhlg/348s.jpg,3.5,3,Tampines,['Korean'],2.0
Bedok North,Momoya Japanese Restaurant,www.yelp.com/biz/momoya-japanese-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/uEAnWcPYuAMi8JFdksEFog/348s.jpg,4,4,Simei,['Japanese'],
Bedok North,Canton Paradise,www.yelp.com/biz/canton-paradise-singapore-7?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/vLUuSIGu5nrv4UsOOeUzIA/348s.jpg,3.5,3,Bedok North,"['Cantonese', 'Dim Sum']",3.0
Bedok North,Mellben Food Palace,www.yelp.com/biz/mellben-food-palace-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/2Qu64I3RthL5nh19zy5btg/348s.jpg,4,5,Pasir Ris,['Seafood'],2.0
Bedok North,Five Izakaya,www.yelp.com/biz/five-izakaya-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/8jt60y-uQbEN2pruP3ZuKg/348s.jpg,3.5,5,Changi,"['Izakaya', 'Bars']",
Bedok North,Chai Chee Pork Porridge,www.yelp.com/biz/chai-chee-pork-porridge-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/EbNIYypIz7Bn3dfHMyYz7g/348s.jpg,4.5,12,Simei,"['Street Vendors', 'Congee']",1.0
Bedok North,Nakhon Kitchen Bedok,www.yelp.com/biz/nakhon-kitchen-bedok-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/0hEYseUQhz1EgQwnZj263w/348s.jpg,4.5,3,Bedok North,['Thai'],1.0
Bedok North,Hao Lai Ke,www.yelp.com/biz/hao-lai-ke-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/A58pClXs-yk-kEMziVFxqQ/348s.jpg,4.5,2,Bedok North,"['Taiwanese', 'Chinese']",
Bedok North,Chin Lee,www.yelp.com/biz/chin-lee-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/YI3tYRNs565a6TqyvZRDMA/348s.jpg,4.5,5,Bedok North,['Chinese'],2.0
Bedok North,Thai Boat Noodle,www.yelp.com/biz/thai-boat-noodle-bedok-point?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Eo2G_f1K0vLEARdMZBmYoQ/348s.jpg,5,1,Bedok North,"['Street Vendors', 'Thai']",
Bedok North,Hot Tomato,www.yelp.com/biz/hot-tomato-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/WnKpG9decV0-dOLE58Vqkw/348s.jpg,4,1,Bedok North,['Steakhouses'],1.0
Bedok North,Xing Ji Rou Cuo Mian,www.yelp.com/biz/xing-ji-rou-cuo-mian-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/h061-nHztDypWqQbRIprBQ/348s.jpg,4.5,7,Bedok North,"['Chinese', 'Noodles']",1.0
Bedok North,Kota88 Restaurant,www.yelp.com/biz/kota88-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/K7swSSKMeZZiPXOv2yQEOw/348s.jpg,4.5,3,Siglap,"['Indonesian', 'Chinese']",
Bedok North,Knots Cafe & Living,www.yelp.com/biz/knots-cafe-and-living-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/csHQWwhGm-IrFYrfmli5YQ/348s.jpg,4.5,7,Ubi,"['Coffee & Tea', 'Breakfast & Brunch']",
Bedok North,Lola’s Cafe,www.yelp.com/biz/lolas-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/iuQkBUrvQ5Y4FGKcIlkFfA/348s.jpg,3.5,20,$$,"['Cafes', 'Breakfast & Brunch']",2.0
Bedok North,Hua Yu Wee,www.yelp.com/biz/hua-yu-wee-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/xzplGmVKPlEvbnO3ipGf_Q/348s.jpg,4.5,16,Bedok South,"['Chinese', 'Seafood']",2.0
Bedok North,The Burning Oak,www.yelp.com/biz/the-burning-oak-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/BkAmfjK4xofHCAbjSJDpxA/348s.jpg,3.5,3,Simei,"['American (Traditional)', 'Asian Fusion']",1.0
Bedok North,JB Ah Meng,www.yelp.com/biz/jb-ah-meng-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/R1O2t4Mlj2EXMCpGDpEe8Q/348s.jpg,4.5,21,Geylang,"['Chinese', 'Seafood']",2.0
Bedok North,Magic Wok,www.yelp.com/biz/magic-wok-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/tS14zfQI9oVObUcSRXi7hw/348s.jpg,4.5,3,Pasir Ris,['Singaporean'],
Bedok North,Noodle Panda,www.yelp.com/biz/noodle-panda-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/lf108Ds1rxi8Cxjt9vBS8w/348s.jpg,5,1,Bedok North,"['Noodles', 'Chinese']",
Bedok North,Goldhill Family Restruant,www.yelp.com/biz/goldhill-family-restruant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/QZajfc7vvfYXgoAYZ17_dw/348s.jpg,5,1,Hougang,['Singaporean'],1.0
Bedok North,Jia Wei Chinese Restaurant,www.yelp.com/biz/jia-wei-chinese-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/rmbrLPgoa4lDHdiyFdwYPg/348s.jpg,4,5,Marine Parade,"['Dim Sum', 'Cantonese']",
Bedok North,Goodyear Seafood Village - Pontian Bak Kut Teh,www.yelp.com/biz/goodyear-seafood-village-pontian-bak-kut-teh-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/I1m0XtpeyrlRZM8plx-Gyw/348s.jpg,4,5,Tampines,['Chinese'],1.0
Bedok North,Lu Ding Ji,www.yelp.com/biz/lu-ding-ji-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/ec91c6e75078/assets/img/default_avatars/business_medium_square.png,5,1,Bedok North,['Taiwanese'],
Bedok North,Burp Kitchen & Bar - Bedok Reservoir,www.yelp.com/biz/burp-kitchen-and-bar-bedok-reservoir-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/plSYaOWu9rU55v3adMfE_A/348s.jpg,3.5,3,Bedok Reservoir,"['Bars', 'Cafes', 'Venues & Event Spaces']",2.0
Bedok North,Quan Xing Spicy Prawn Crackers,www.yelp.com/biz/quan-xing-spicy-prawn-crackers-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/oOxN021EIhFDMJg0CdFX0Q/348s.jpg,5,1,Bedok North,['Chinese'],1.0
Bedok North,Ramen Keisuke Tonkotsu King,www.yelp.com/biz/ramen-keisuke-tonkotsu-king-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/nZDKrUH7Hpw2ULbeJy5ZHQ/348s.jpg,3.5,3,Eunos,['Ramen'],2.0
Bedok North,Alina’s Kitchen,www.yelp.com/biz/alinas-kitchen-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/FVSU2IjwDy8D8DpLoKt6AA/348s.jpg,4,2,Bedok South,['Thai'],
Bedok North,Tonkotsu King Matsuri,www.yelp.com/biz/tonkotsu-king-matsuri-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/EguLI6DIkyFHvdmVeq53wA/348s.jpg,4.5,6,Marine Parade,['Ramen'],2.0
Bedok North,Five Star Hainanese Chicken Rice,www.yelp.com/biz/five-star-hainanese-chicken-rice-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/6v4NSQoEyRbvCHiKMzH7Ug/348s.jpg,4.5,23,Katong,"['Chicken Shop', 'Hainan']",2.0
Bedok North,Comida Mexicana,www.yelp.com/biz/comida-mexicana-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/xgzAeZomdKoj8FJD9o3XVA/348s.jpg,4,1,Siglap,['Mexican'],
Bedok North,Garang Grill,www.yelp.com/biz/garang-grill-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/3jH0402_YmqDpvKEYqwJ0w/348s.jpg,5,1,Siglap,"['Seafood', 'Barbeque']",
Bedok North,Brew & Bar,www.yelp.com/biz/brew-and-bar-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/dEHlGo9AmzwK5dPBPIw1Ow/348s.jpg,4,3,Simei,"['Venues & Event Spaces', 'Wine Bars', 'Asian Fusion']",
Bedok North,Alina’s Kitchen,www.yelp.com/biz/alinas-kitchen-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/FVSU2IjwDy8D8DpLoKt6AA/348s.jpg,4,2,Bedok South,['Thai'],
Bedok North,Little Vietnam Restaurant & Cafe,www.yelp.com/biz/little-vietnam-restaurant-and-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/FUTn42NhHq7HaU6oA8B73w/348s.jpg,3.5,9,Geylang,['Vietnamese'],1.0
Bedok North,Hong Trang Nguyen,www.yelp.com/biz/hong-trang-nguyen-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/PmnarCpLHdQ7N8LqRHRQXQ/348s.jpg,4,1,Hougang,"['Vietnamese', 'Street Vendors']",
Bedok North,Mookata,www.yelp.com/biz/mookata-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/f5nHa5JtZwzLP30-Wk0-Ug/348s.jpg,4,7,Katong,['Thai'],2.0
Bedok North,Belly View,www.yelp.com/biz/belly-view-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/75IXFsvOHpQGNVt_eb6mQg/348s.jpg,4,4,Changi,['Chinese'],
Bedok North,Georges Beach Club,www.yelp.com/biz/georges-beach-club-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/0-fEyJLhUpw6fjyGzcvqyw/348s.jpg,3,1,Marine Parade,"['Beach Bars', 'American (Traditional)']",
Bedok North,Mr and Mrs Mohgan’s Super Crispy Roti Prata,www.yelp.com/biz/mr-and-mrs-mohgans-super-crispy-roti-prata-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/kCiD6j0qJZgdb8E43gcY1A/348s.jpg,4,31,Joo Chiat,"['Indian', 'Food Stands']",1.0
Bedok North,Caprilicious,www.yelp.com/biz/caprilicious-no-title?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/-yXogoPy_Ssr8rofNHGj0Q/348s.jpg,4,1,Changi,"['Asian Fusion', 'American (Traditional)']",
Bedok North,Nene Chicken,www.yelp.com/biz/nene-chicken-bedok?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Rhs7UeG5iSTlJGMJ1-50Bw/348s.jpg,4,1,Bedok North,['Chicken Wings'],
Bedok North,Knead To Eat,www.yelp.com/biz/knead-to-eat-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/cxsjPPpiUmc75lDKcDKbsQ/348s.jpg,4,5,Changi,"['Coffee & Tea', 'Sandwiches']",1.0
Bedok North,419 F&B P/L,www.yelp.com/biz/419-f-and-b-p-l-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/7n4loBQhsCovdUy0DQhg_A/348s.jpg,4,1,Tampines,['Food Court'],
Bedok North,Yummy Thai,www.yelp.com/biz/yummy-thai-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/qiKK4o8tylHeGo2zmZhSOA/348s.jpg,4,2,Bedok South,['Thai'],
Bedok North,Loh Nam Tai,www.yelp.com/biz/loh-nam-tai-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/fLSw4UPhRd31Z1uEHtpX5Q/348s.jpg,5,1,Changi,['Chinese'],
Bedok North,Spicy Thai - Thai Cafe,www.yelp.com/biz/spicy-thai-thai-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/DbxWTA4XHJ5KXr2sAiv-5w/348s.jpg,4,3,Bedok North,"['Thai', 'Noodles', 'Soup']",2.0
Bedok North,Goldhill Hakka Restaurant,www.yelp.com/biz/goldhill-hakka-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ay3ualRA0ksXMaG-Fljuyw/348s.jpg,5,5,,"['Hakka', 'Seafood']",
Bedok North,Don Lechon,www.yelp.com/biz/don-lechon-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/vC_H5zAqiLl_QlhxnZJG0Q/348s.jpg,5,1,Geylang,['Filipino'],
Bedok North,Kusina De Pinoy,www.yelp.com/biz/kusina-de-pinoy-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/QOemm4rqkN250kuOwdiOog/348s.jpg,4.5,3,Marine Parade,['Filipino'],
Bedok North,Rong Kee,www.yelp.com/biz/rong-kee-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/jWFfPmISf3YQ7hQt-kW0xQ/348s.jpg,5,1,Tampines,['Asian Fusion'],1.0
Bedok North,Next Door Cafe & Taverna,www.yelp.com/biz/next-door-cafe-and-taverna-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/BNIAnt7FOByc4Mo9cBy0nw/348s.jpg,4,6,Siglap,['Mediterranean'],2.0
Bedok North,Maki-San,www.yelp.com/biz/maki-san-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/rMcGbt7LPooaG_J-QpesUg/348s.jpg,4.5,6,Katong,['Sushi Bars'],1.0
Bedok North,Kim Choo Kueh Chang,www.yelp.com/biz/kim-choo-kueh-chang-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/W2Q4sn5tqf2yLenN8ts97Q/348s.jpg,4,5,Joo Chiat,['Singaporean'],
Bedok North,Different Taste Cafe and Restaurant,www.yelp.com/biz/different-taste-cafe-and-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/kQx7Bmu7XyPABm8aLThaSg/348s.jpg,4,3,Siglap,['Cafes'],1.0
Bedok North,Velu’S Curry,www.yelp.com/biz/velus-curry-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/_QaI2caWmk1ZnWIpBSDblA/348s.jpg,4.5,3,Bedok Reservoir,['Restaurants'],1.0
Bedok North,Yong He Bak Chor,www.yelp.com/biz/yong-he-bak-chor-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/bRXxvlGn7AAqUjVF4Q1cbA/348s.jpg,4.5,2,Bedok South,"['Seafood', 'Noodles']",
Bedok North,Changi Lor 108 Fei Lao Seafood,www.yelp.com/biz/changi-lor-108-fei-lao-seafood-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/BtpoECjmKOUeIqW45lkphA/348s.jpg,4,1,Simei,['Seafood'],2.0
Bedok North,Penang Seafood Restaurant,www.yelp.com/biz/penang-seafood-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/n8F45PR_g6bxTL22eFZqPA/348s.jpg,4,12,Geylang,"['Malaysian', 'Seafood']",1.0
