neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Boat Quay,Jumbo Seafood,www.yelp.com/biz/jumbo-seafood-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/85hCRe6TJh0e670IadHemA/348s.jpg,4,188,Clarke Quay,['Seafood'],3.0
Boat Quay,Yan kee Noodle House,www.yelp.com/biz/yan-kee-noodle-house-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/83QMjhPdkONkmFC8lSDzjQ/348s.jpg,4.5,2,Boat Quay,['Noodles'],
Boat Quay,The Dragon Chamber,www.yelp.com/biz/the-dragon-chamber-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/cyjYyUlvERANwmODVNYz9A/348s.jpg,5,2,Boat Quay,"['Chinese', 'Singaporean']",
Boat Quay,Sahara,www.yelp.com/biz/sahara-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/bnqQdHBL6NonIprEaRdteQ/348s.jpg,3,7,Boat Quay,"['Mediterranean', 'Turkish']",2.0
Boat Quay,Vespetta Italian Gastro Bar,www.yelp.com/biz/vespetta-italian-gastro-bar-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/8-S8kjZcUHU9juDGdR0u8w/348s.jpg,5,2,Boat Quay,"['Italian', 'Bars']",
Boat Quay,OmoteNashi Dining Gosso,www.yelp.com/biz/omotenashi-dining-gosso-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/mHNJTk1RYFt7jIgGIUdWbw/348s.jpg,4.5,2,Boat Quay,['Yakitori'],
Boat Quay,My Little Spanish Place,www.yelp.com/biz/my-little-spanish-place-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/cqrwhHUys8f6KtIN59jAEA/348s.jpg,4,4,Boat Quay,"['Tapas/Small Plates', 'Spanish']",3.0
Boat Quay,Osteria L’operetta Pizzeria,www.yelp.com/biz/osteria-l-operetta-pizzeria-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/eGkCXmZYwGgxb0B0o_QMXQ/348s.jpg,5,1,Boat Quay,['Italian'],
Boat Quay,Cho Omakase,www.yelp.com/biz/cho-omakase-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/fLESGJM8Cec74zMkXYcxbQ/348s.jpg,5,1,Boat Quay,['Japanese'],
Boat Quay,Beef Yakiniku Dining Yakiniquest,www.yelp.com/biz/beef-yakiniku-dining-yakiniquest-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/jqUFz-gK3VHdbdyEMbBaig/348s.jpg,4.5,2,Boat Quay,"['Barbeque', 'Yakiniku']",
Boat Quay,Throwback,www.yelp.com/biz/throwback-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/NAVThbFvJT6LIWa1JDWA0g/348s.jpg,5,1,Boat Quay,['Gastropubs'],
Boat Quay,Hokkaido Ramen Santouka,www.yelp.com/biz/hokkaido-ramen-santouka-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/OMwe1DFAL5onX-DrCT404A/348s.jpg,4.5,59,Clarke Quay,['Ramen'],2.0
Boat Quay,Song Fa Bak Kut Teh,www.yelp.com/biz/song-fa-bak-kut-teh-singapore-11?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/cgE6mZ8dNeuazbEK4ipZLA/348s.jpg,4,136,Clarke Quay,"['Singaporean', 'Chinese']",1.0
Boat Quay,Viet Pho,www.yelp.com/biz/viet-pho-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/HjRl_tUUUCOanl5fuOUBvQ/348s.jpg,3.5,4,Boat Quay,['Vietnamese'],1.0
Boat Quay,Public House,www.yelp.com/biz/public-house-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/frBmFeq5hDDYTM7dQN83pg/348s.jpg,4.5,2,Boat Quay,"['Bars', 'Singaporean']",1.0
Boat Quay,Neko no Niwa,www.yelp.com/biz/neko-no-niwa-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/rm3tb9owjpqUPm3Y5F0TQw/348s.jpg,5,8,Boat Quay,"['Cafes', 'Pets']",2.0
Boat Quay,Imakatsu Boat Quay,www.yelp.com/biz/imakatsu-boat-quay-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/04XLtMn0H1nxDEBJmd7RDw/348s.jpg,4,1,Boat Quay,"['Tonkatsu', 'Izakaya']",
Boat Quay,King Kebabs,www.yelp.com/biz/king-kebabs-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/jYGYFsGEK5HC_YZT0OBb9w/348s.jpg,3,2,Boat Quay,"['Kebab', 'Persian/Iranian']",1.0
Boat Quay,109 Teochew Yong Tau Foo,www.yelp.com/biz/109-teochew-yong-tau-foo-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/yVq23EijUPBkDlNfb7FcFA/348s.jpg,4,1,Boat Quay,['Teochew'],1.0
Boat Quay,Marco Marco,www.yelp.com/biz/marco-marco-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/mAxavv_O1LBxEARUUguhKg/348s.jpg,3.5,2,Boat Quay,"['Italian', 'Coffee & Tea']",2.0
Boat Quay,Sinar Pagi Nasi Padang,www.yelp.com/biz/sinar-pagi-nasi-padang-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/XJ0XixF-P1yMoHmpN8IHAw/348s.jpg,3.5,4,Boat Quay,"['Do-It-Yourself Food', 'Indonesian', 'Malaysian']",
Boat Quay,Braci,www.yelp.com/biz/braci-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Wg4htu--wwOmW5m0I65Gaw/348s.jpg,4,4,Boat Quay,['Italian'],
Boat Quay,The Container Japanese Wagyu Tapas & Bar,www.yelp.com/biz/the-container-japanese-wagyu-tapas-and-bar-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/aelaNLvLe7MODnj42lxpXg/348s.jpg,5,1,Boat Quay,"['Japanese', 'Tapas/Small Plates']",
Boat Quay,FOC,www.yelp.com/biz/foc-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/-R5n8Iv9tuuEenvdj5-VKw/348s.jpg,4.5,43,Clarke Quay,"['Tapas/Small Plates', 'Cocktail Bars', 'Spanish']",4.0
Boat Quay,Tong Xin Ru Yi Traditional Hotpot,www.yelp.com/biz/tong-xin-ru-yi-traditional-hotpot-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ZxHnIVe93yzZ_8ECwSeTDw/348s.jpg,4.5,2,Boat Quay,"['Hot Pot', 'Chinese']",
Boat Quay,Jumbo Seafood,www.yelp.com/biz/jumbo-seafood-singapore-8?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/PAc8bfqMnCnoxVAFhyzozQ/348s.jpg,4,10,Raffles Place,"['Seafood', 'Singaporean']",2.0
Boat Quay,Indian House Boat Quay,www.yelp.com/biz/indian-house-boat-quay-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/lJ8PQ9_SjqpDP3mNg0aD6Q/348s.jpg,4,2,Boat Quay,['Indian'],2.0
Boat Quay,PurPle TurTle,www.yelp.com/biz/purple-turtle-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/D5ROQCOQ3oPBPr_7tNd5pA/348s.jpg,4,1,Boat Quay,"['Chinese', 'Cocktail Bars']",
Boat Quay,Talay Thai,www.yelp.com/biz/talay-thai-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/8QiguiAO3TjZ3WQiw8lhhQ/348s.jpg,5,1,Clarke Quay,"['Thai', 'Seafood', 'Asian Fusion']",
Boat Quay,BK Eating House,www.yelp.com/biz/bk-eating-house-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/5Q4RpLwNAjCproZH00acDA/348s.jpg,4,9,Boat Quay,['Food Stands'],1.0
Boat Quay,Boomarang,www.yelp.com/biz/boomarang-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/YknoRwiG8Ollv-9Kg5bKJg/348s.jpg,4,20,Boat Quay,"['Breakfast & Brunch', 'Bars', 'Australian']",2.0
Boat Quay,Meat And Green,www.yelp.com/biz/meat-and-green-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ixIPsJN__90NL_haU4Vc0w/348s.jpg,5,9,Boat Quay,"['Salad', 'Sandwiches']",1.0
Boat Quay,Vasco,www.yelp.com/biz/vasco-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/IsnL43D8wTLl4bioeSfHXQ/348s.jpg,4,6,Clarke Quay,"['Cocktail Bars', 'Latin American']",2.0
Boat Quay,Un-Yang-Kor-Dai,www.yelp.com/biz/un-yang-kor-dai-no-title?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/TINaWUlxt7itMy8kugQrjA/348s.jpg,3.5,4,Boat Quay,['Thai'],
Boat Quay,Killiney Kopitiam,www.yelp.com/biz/killiney-kopitiam-singapore-5?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/nNjMgVqXl9N9t3neah5Jaw/348s.jpg,2.5,2,Boat Quay,"['Coffee & Tea', 'Breakfast & Brunch']",1.0
