neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Boon Lay,Cosmo,www.yelp.com/biz/cosmo-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/MitguccpZU6yr--h-yTMAQ/348s.jpg,5,1,Boon Lay,['Singaporean'],
Boon Lay,Green House Cafe,www.yelp.com/biz/green-house-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/rC3cpm2kjUal_1ipEcRLxg/348s.jpg,4,1,Tuas,['Cafes'],
Boon Lay,Grandma’s,www.yelp.com/biz/grandmas-singapore-8?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/BhrNKKg2EffWUFlzATviwg/348s.jpg,4,1,Boon Lay,['Cafes'],
Boon Lay,81 Seafood Restaurant,www.yelp.com/biz/81-seafood-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ZO1mekmcJPtaJMWtX5kIGw/348s.jpg,5,1,Boon Lay,"['Chinese', 'Seafood']",
Boon Lay,Shokutsu 10-Osaka,www.yelp.com/biz/shokutsu-10-osaka-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/imhbv8jmuFUn4gCOU58Sxg/348s.jpg,5,2,Boon Lay,"['Japanese', 'Sushi Bars']",
Boon Lay,Bistro @ Gardenasia,www.yelp.com/biz/bistro-gardenasia-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/YAhNYODcV3YALRBH5rhVSA/348s.jpg,3.5,5,Lim Chu Kang,['Bistros'],2.0
Boon Lay,Jurong West Hotplate BBQ,www.yelp.com/biz/jurong-west-hotplate-bbq-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/AYZdzSQH5Y2HR_PZzwv-bw/348s.jpg,5,1,Boon Lay,['Seafood'],
Boon Lay,Raffles Marina Bistro,www.yelp.com/biz/raffles-marina-bistro-no-title?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/FLdNYI3Kmzn_Uw6WusGTGw/348s.jpg,3,5,Tuas,['Singaporean'],2.0
Boon Lay,French Ladle,www.yelp.com/biz/french-ladle-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/GShMZ0hD2c9l9xrBc8d00Q/348s.jpg,5,5,Ulu Pandan,['French'],1.0
Boon Lay,The Carving Board,www.yelp.com/biz/the-carving-board-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/xYrZ3uxkBHOLiSPBa6h-MQ/348s.jpg,3.5,5,Bukit Batok,"['Burgers', 'Barbeque', 'American (Traditional)']",2.0
Boon Lay,Putien,www.yelp.com/biz/putien-singapore-11?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/yivlSHrU3MWu34EaStTzDw/348s.jpg,4,3,Boon Lay,['Henghwa'],3.0
Boon Lay,Sun Asian Bistro,www.yelp.com/biz/sun-asian-bistro-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ItMza72l9U2-sWATIVxHQw/348s.jpg,5,1,Kent Ridge,"['Restaurants', 'Food']",
Boon Lay,Citrus By The Pool,www.yelp.com/biz/citrus-by-the-pool-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/HqIEB1OUop1L3gyB55P8cw/348s.jpg,4,7,Woodlands,"['Desserts', 'Cafes', 'Asian Fusion']",1.0
Boon Lay,Yung Sheng Fried Hokkien Mee,www.yelp.com/biz/yung-sheng-fried-hokkien-mee-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/LRCttIhpRAyXzb4CE_ewzA/348s.jpg,3.5,2,Jurong,['Chinese'],
Boon Lay,Paradise Dynasty,www.yelp.com/biz/paradise-dynasty-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/qSF28S4aZ68QvKD4r92UPg/348s.jpg,4,9,Jurong,['Chinese'],2.0
Boon Lay,Laifaba,www.yelp.com/biz/laifaba-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/lSvO35vu0uFeVpVVsOYinQ/348s.jpg,4,1,Bukit Batok,"['Chinese', 'Noodles', 'Local Flavor']",
Boon Lay,Dario pizza&more,www.yelp.com/biz/dario-pizza-and-more-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/8_h5p_Nz5z6hHwO8KPBxog/348s.jpg,4,4,Pasir Panjang,"['Pizza', 'Italian', 'Gastropubs']",
Boon Lay,Chir Chir,www.yelp.com/biz/chir-chir-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/tIQNUIolC1-F49BIkgb2Gw/348s.jpg,4,3,Jurong,['Korean'],
Boon Lay,Sashimi House Sakuraya,www.yelp.com/biz/sashimi-house-sakuraya-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/2FGrrqAQ-I79TXCCeG7l1A/348s.jpg,4.5,3,West Coast,"['Sushi Bars', 'Japanese', 'Asian Fusion']",2.0
Boon Lay,Tokyo Joe,www.yelp.com/biz/tokyo-joe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/JlVPqmjU3_9tkX9oV86rIw/348s.jpg,4,1,Kent Ridge,['Japanese'],
Boon Lay,Paddy Hills,www.yelp.com/biz/paddy-hills-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/3HDfWqmHS5jnFTqfKq5kDg/348s.jpg,4,16,Kent Ridge,"['Asian Fusion', 'Cafes', 'Breakfast & Brunch']",3.0
Boon Lay,Island Penang Kitchen,www.yelp.com/biz/island-penang-kitchen-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/4XQ9iB0eyh0eAxwjm2DTog/348s.jpg,4,5,Pasir Panjang,['Malaysian'],1.0
Boon Lay,timbre+,www.yelp.com/biz/timbre-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/c6hhUVJU1MzAlVkMfVPWYA/348s.jpg,3.5,18,one-north,"['Food Court', 'Venues & Event Spaces']",2.0
Boon Lay,Cacio e Pepe Cucina Italiano,www.yelp.com/biz/cacio-e-pepe-cucina-italiano-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/qmmTm7ofpKl4Cx8olJ_ROg/348s.jpg,3.5,3,Bukit Batok,['Italian'],3.0
Boon Lay,Kuriya Japanese Fresh Fish Market,www.yelp.com/biz/kuriya-japanese-fresh-fish-market-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/CZuoKYprj0rHyYErKODFIQ/348s.jpg,5,1,Boon Lay,['Japanese'],1.0
Boon Lay,Wildfire Chicken and Burger,www.yelp.com/biz/wildfire-chicken-and-burger-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/AQ42g1wdFlzIsmJVJp0ZyA/348s.jpg,4,1,Kent Ridge,"['Burgers', 'Bars', 'Fast Food']",
Boon Lay,Arkadas Cafe,www.yelp.com/biz/arkadas-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/27XcF-AfQPyOx2hBRzTwYw/348s.jpg,4,12,one-north,['Turkish'],2.0
Boon Lay,Chicken Rice Shop,www.yelp.com/biz/chicken-rice-shop-nusajaya?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/4fzlyTNCdRF8w9FS7nURiQ/348s.jpg,4,1,,"['Malaysian', 'Chicken Shop']",
Boon Lay,Teochew Cuisine,www.yelp.com/biz/teochew-cuisine-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/s1c_1n4P5uo3scWt7Munbw/348s.jpg,2.5,2,Bukit Batok,['Restaurants'],
Boon Lay,Roots One North,www.yelp.com/biz/roots-one-north-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/JVKI7Jx6FRI3ZQU-L8CULw/348s.jpg,4,2,one-north,['Cafes'],
