neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Changi,Five Spice,www.yelp.com/biz/five-spice-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/offahgAmebNrdpmdicp87g/348s.jpg,5,1,Changi,['Food Court'],
Changi,Song Fa Bak Kut Teh,www.yelp.com/biz/song-fa-bak-kut-teh-singapore-9?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/wnL6RXGuwjzaaycM0rsaIg/348s.jpg,4.5,3,Changi,"['Chinese', 'Singaporean', 'Soup']",
Changi,Colonial Club,www.yelp.com/biz/colonial-club-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/f0aSLJ2VWoXL0BQgdgrx2A/348s.jpg,4.5,3,Changi,"['Singaporean', 'Malaysian']",
Changi,Singapore Food Street,www.yelp.com/biz/singapore-food-street-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/1O1zYJchu3tpmOPMlaJTkg/348s.jpg,2.5,11,Changi,['Chinese'],1.0
Changi,Tim Ho Wan,www.yelp.com/biz/tim-ho-wan-singapore-11?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/oXXF74c71QXeLcfxZ5x4zg/348s.jpg,5,1,Changi,"['Dim Sum', 'Cantonese']",
Changi,Porta Porta Italian,www.yelp.com/biz/porta-porta-italian-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/5TcTQOu-Ez9XdZGacIp6Hw/348s.jpg,5,5,Simei,"['Modern European', 'Italian']",4.0
Changi,The Kitchen by Wolfgang Puck,www.yelp.com/biz/the-kitchen-by-wolfgang-puck-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/agz3TdZfnR2eH6o3_Cjpkg/348s.jpg,4,4,Changi,"['Pizza', 'Burgers']",
Changi,Five Star Hainanese Chicken Rice,www.yelp.com/biz/five-star-hainanese-chicken-rice-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/6v4NSQoEyRbvCHiKMzH7Ug/348s.jpg,4.5,23,Katong,"['Chicken Shop', 'Hainan']",2.0
Changi,Pondok Gurame,www.yelp.com/biz/pondok-gurame-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/QdMtBKSKL4b3n4IsG6yFzw/348s.jpg,5,1,Changi,"['Seafood', 'Indonesian', 'Desserts']",3.0
Changi,Four Seasons Durians Restaurant,www.yelp.com/biz/four-seasons-durians-restaurant-changi?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/csVG_hzPPPbUqwJTyfq9OA/348s.jpg,5,2,Changi,"['Breakfast & Brunch', 'Cafes']",
Changi,Toast Box,www.yelp.com/biz/toast-box-jewel-changi?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/D0T3B4xl4j6gdLIAEp2K7g/348s.jpg,4.5,2,Changi,"['Coffee & Tea', 'Breakfast & Brunch']",
Changi,Mellben Food Palace,www.yelp.com/biz/mellben-food-palace-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/2Qu64I3RthL5nh19zy5btg/348s.jpg,4,5,Pasir Ris,['Seafood'],2.0
Changi,Signature KOI,www.yelp.com/biz/signature-koi-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/dtWT5rPLQt_-0fJD5b6TLA/348s.jpg,4,1,Changi,"['Cafes', 'Bubble Tea']",
Changi,Encik Tan,www.yelp.com/biz/encik-tan-singapore-8?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/oD5T3KLSWT1wlRon4mnRzg/348s.jpg,4,3,Changi,"['Singaporean', 'Halal']",
Changi,Straits Food Village,www.yelp.com/biz/straits-food-village-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/c_RoAS_WOkLleMBh7UL_dg/348s.jpg,4,6,Changi,['Food Court'],
Changi,Bee Cheng Hiang,www.yelp.com/biz/bee-cheng-hiang-singapore-11?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/wv6L-q99kRHK6gYqGkDgzQ/348s.jpg,4.5,5,Changi,"['Chinese', 'Barbeque']",2.0
Changi,Heavenly Wang,www.yelp.com/biz/heavenly-wang-singapore-7?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/FsmQ2Hr3ZEzTzfZwlqvgNw/348s.jpg,4,10,Changi,"['Coffee & Tea', 'Cafes']",1.0
Changi,Ya Kun Kaya Toast,www.yelp.com/biz/ya-kun-kaya-toast-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/-x6JohhGSzTeFdXS9emmng/348s.jpg,3.5,14,Changi,['Cafes'],1.0
Changi,Gurame Indonesian Restaurant,www.yelp.com/biz/gurame-indonesian-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/1weN9OhoQDLfHPkz2nLMJA/348s.jpg,4.5,2,Changi,"['Indonesian', 'Seafood']",
Changi,Queen’s Garden Restaurant,www.yelp.com/biz/queens-garden-restaurant-changi?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/d4L-wyG2diVTurwEbFIJ9Q/348s.jpg,5,1,Changi,['Modern European'],
Changi,LeNu Chef Wai’s Noodle Bar,www.yelp.com/biz/lenu-chef-wai-s-noodle-bar-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/h2Qu19wZKThe5d6xfHKGTg/348s.jpg,4,1,Changi,"['Noodles', 'Chinese']",
Changi,Orchis Food Court,www.yelp.com/biz/orchis-food-court-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/2v2sbxdRJyKsmoNKQZpKsA/348s.jpg,4,1,Changi,['Food Court'],
Changi,Putien,www.yelp.com/biz/putien-singapore-12?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/T20Go-C4kewO7CTuaMJJFg/348s.jpg,4,1,Changi,['Chinese'],
Changi,Paradise Dynasty,www.yelp.com/biz/paradise-dynasty-singapore-6?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/0DELouj0a2uaWFGzcbKS1A/348s.jpg,3.5,9,Changi,['Shanghainese'],2.0
Changi,Forty Hands East Coast,www.yelp.com/biz/forty-hands-east-coast-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/1OYL8OuFAspKZoCd0hHMrg/348s.jpg,4.5,2,Katong,['Cafes'],
Changi,The World is Flat at Changi Airport,www.yelp.com/biz/the-world-is-flat-at-changi-airport-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/spy6KzQJPNF2doZrq-CeIw/348s.jpg,5,1,Changi,"['Cocktail Bars', 'Pizza', 'Sandwiches']",2.0
Changi,Saboten,www.yelp.com/biz/saboten-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/gLMT2UhVkERWKjGmZyMx5Q/348s.jpg,4,15,Changi,['Japanese'],2.0
Changi,Lots Gourmet,www.yelp.com/biz/lots-gourmet-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/lCMwrdwluVhCBsux_aVYQw/348s.jpg,4.5,7,Changi,['Cafes'],2.0
Changi,4 Fingers Crispy Chicken,www.yelp.com/biz/4-fingers-crispy-chicken-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/IyDyBFMvA5hFPsgkzKlsxg/348s.jpg,3.5,7,Changi,['Fast Food'],2.0
Changi,Ponggol Choon Seng Seafood Restaurant,www.yelp.com/biz/ponggol-choon-seng-seafood-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/IscZ44qXlQm7UC00SBmFTA/348s.jpg,5,2,Changi,['Restaurants'],
Changi,Soup Restaurant,www.yelp.com/biz/soup-restaurant-singapore-10?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/-tlJsI5bETtV9vsvAq3gQw/348s.jpg,4,7,Changi,['Chinese'],2.0
Changi,Belly View,www.yelp.com/biz/belly-view-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/75IXFsvOHpQGNVt_eb6mQg/348s.jpg,4,4,Changi,['Chinese'],
Changi,Magic Wok,www.yelp.com/biz/magic-wok-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/tS14zfQI9oVObUcSRXi7hw/348s.jpg,4.5,3,Pasir Ris,['Singaporean'],
Changi,Christina Floating Resturant,www.yelp.com/biz/christina-floating-resturant-no-title?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/sa6rfkeo-4h1WmE_qDzi7w/348s.jpg,4,1,Pulau Ubin,['Seafood'],
Changi,Din Tai Fung,www.yelp.com/biz/din-tai-fung-singapore-35?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/IqfdfJzFI1sXq5kPKXfvpw/348s.jpg,4,8,Changi,['Dim Sum'],
Changi,Peach Garden Noodle House,www.yelp.com/biz/peach-garden-noodle-house-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/jZAm7GURpX_MBCeur1C9rg/348s.jpg,4,6,Changi,"['Dim Sum', 'Cantonese']",3.0
