neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Dempsey Hill,Dempsey Hill,www.yelp.com/biz/dempsey-hill-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/_wQub1OooppZICJwxJOpUQ/348s.jpg,4.5,8,Dempsey Hill,['Seafood'],2.0
Dempsey Hill,Blu Kouzina,www.yelp.com/biz/blu-kouzina-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Y95J1Oj4b82InEO62n73_g/348s.jpg,4.5,24,Dempsey Hill,"['Mediterranean', 'Greek']",3.0
Dempsey Hill,PS.Cafe,www.yelp.com/biz/ps-cafe-singapore-8?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/SePN61ohNpMZERRfooAPZw/348s.jpg,3.5,66,Dempsey Hill,"['Cafes', 'Bars']",3.0
Dempsey Hill,Tapas 26,www.yelp.com/biz/tapas-26-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/mNZtPuDA3jlcr3W9NS0weg/348s.jpg,4,1,Dempsey Hill,"['Tapas/Small Plates', 'Spanish']",
Dempsey Hill,Tawandang Microbrewery,www.yelp.com/biz/tawandang-microbrewery-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/bzTVGS7BGAtVWHPTQ6NPfg/348s.jpg,3.5,18,Dempsey Hill,"['Thai', 'Beer, Wine & Spirits', 'Breweries']",3.0
Dempsey Hill,Culina,www.yelp.com/biz/culina-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/E06jtWhNdaq8r33Wv8RDQg/348s.jpg,4,16,Dempsey Hill,"['Bistros', 'Specialty Food']",3.0
Dempsey Hill,Candlenut,www.yelp.com/biz/candlenut-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/N1JIjyLDVS6puaTR51ug3Q/348s.jpg,3.5,36,Dempsey Hill,"['Asian Fusion', 'Singaporean', 'Chinese']",4.0
Dempsey Hill,Margarita’s Dempsey Hill,www.yelp.com/biz/margaritas-dempsey-hill-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ypbb5xIFL3JqyXv6079lWw/348s.jpg,3.5,28,Dempsey Hill,['Mexican'],3.0
Dempsey Hill,The Dempsey Cookhouse & Bar,www.yelp.com/biz/the-dempsey-cookhouse-and-bar-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/KYaVJ0kFIHnHJkKA6qAz0A/348s.jpg,4,10,Dempsey Hill,['Asian Fusion'],3.0
Dempsey Hill,Chang Korean Charcoal BBQ,www.yelp.com/biz/chang-korean-charcoal-bbq-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/toDGABnS2FnFRorziUyY8Q/348s.jpg,3.5,9,Dempsey Hill,['Korean'],2.0
Dempsey Hill,La Salsa,www.yelp.com/biz/la-salsa-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/jUSw_npuf0nCX7mLJk1RbQ/348s.jpg,3.5,12,Dempsey Hill,['Mexican'],2.0
Dempsey Hill,Chopsuey Cafe,www.yelp.com/biz/chopsuey-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Gmgd9K-Mkbu_-Jk4v33N1w/348s.jpg,4,22,Dempsey Hill,"['Dim Sum', 'Bars', 'Cafes']",3.0
Dempsey Hill,Da Paolo Dempsey,www.yelp.com/biz/da-paolo-dempsey-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/RJ_74dLpoMXCYe2Ez7B3fA/348s.jpg,2.5,3,Dempsey Hill,"['Italian', 'Bakeries', 'Cafes']",
Dempsey Hill,Tigerlily,www.yelp.com/biz/tigerlily-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ub28ge02TB5ewNp0U-Sg6g/348s.jpg,4,1,Dempsey Hill,['Asian Fusion'],2.0
Dempsey Hill,Don Quijote,www.yelp.com/biz/don-quijote-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/jqeTVbI3ni4i7P035KcGrg/348s.jpg,3.5,19,Dempsey Hill,"['Spanish', 'Tapas/Small Plates']",3.0
Dempsey Hill,Como Cuisine,www.yelp.com/biz/como-cuisine-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ZiIfdS0Wzvt0eJLJT2unjQ/348s.jpg,3.5,3,Dempsey Hill,['Singaporean'],
