neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Dhoby Ghaut,Hopheads,www.yelp.com/biz/hopheads-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/U3lWyD14HOaB-H5Glrgp5g/348s.jpg,3.5,3,Dhoby Ghaut,"['Bistros', 'Tapas/Small Plates']",2.0
Dhoby Ghaut,Stuttgart Blackforest Boutique S-Cafe,www.yelp.com/biz/stuttgart-blackforest-boutique-s-cafe-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/kgXXzrOtaj8YHGNhB_urbA/348s.jpg,4,2,Bencoolen,['German'],
Dhoby Ghaut,Yong Xiang Xing Yong Tau Foo,www.yelp.com/biz/yong-xiang-xing-yong-tau-foo-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/dNW9H1MiIdkeGSXoCPuZ5g/348s.jpg,4,5,Dhoby Ghaut,['Asian Fusion'],
Dhoby Ghaut,Classic Lao Di Fang Vegetarian,www.yelp.com/biz/classic-lao-di-fang-vegetarian-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/WRBJpWV9B_ICWvxXmEQftQ/348s.jpg,4,2,Dhoby Ghaut,['Vegetarian'],1.0
Dhoby Ghaut,Holycrab,www.yelp.com/biz/holycrab-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/XVXC7btsXlWlRMeQUbMcvA/348s.jpg,4.5,19,Bugis,"['Singaporean', 'Chinese', 'Seafood']",4.0
Dhoby Ghaut,Violet Oon Satay & Grill,www.yelp.com/biz/violet-oon-satay-and-grill-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/-MlEj6uihMDbQ8DEya_l2A/348s.jpg,4,10,Clarke Quay,"['Seafood', 'Singaporean']",
Dhoby Ghaut,Jumbo Seafood,www.yelp.com/biz/jumbo-seafood-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/85hCRe6TJh0e670IadHemA/348s.jpg,4,188,Clarke Quay,['Seafood'],3.0
Dhoby Ghaut,Hokkaido Ramen Santouka,www.yelp.com/biz/hokkaido-ramen-santouka-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/OMwe1DFAL5onX-DrCT404A/348s.jpg,4.5,59,Clarke Quay,['Ramen'],2.0
Dhoby Ghaut,LՎclair Patisserie,www.yelp.com/biz/l-%C3%A9clair-patisserie-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ihA25fkOWAjsj_K-oHPzMg/348s.jpg,3.5,7,Dhoby Ghaut,"['French', 'Patisserie/Cake Shop']",
Dhoby Ghaut,Dragon Phoenix,www.yelp.com/biz/dragon-phoenix-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/QSJ6FnIrcPs_AcvpCmyOOQ/348s.jpg,4,5,Clarke Quay,['Cantonese'],2.0
Dhoby Ghaut,National Kitchen By Violet Oon,www.yelp.com/biz/national-kitchen-by-violet-oon-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/G2xYewOZsMsguentS_j7tA/348s.jpg,4.5,39,City Hall,"['Asian Fusion', 'Singaporean']",3.0
Dhoby Ghaut,Five Guys,www.yelp.com/biz/five-guys-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/btu1OeBviPpNft4AieBGog/348s.jpg,3,5,Dhoby Ghaut,"['Fast Food', 'Burgers']",
Dhoby Ghaut,Flutes,www.yelp.com/biz/flutes-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/zIcFFF45GdFbtnIHGNJ52A/348s.jpg,4,13,Dhoby Ghaut,['Modern European'],3.0
Dhoby Ghaut,Talay Thai,www.yelp.com/biz/talay-thai-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/8QiguiAO3TjZ3WQiw8lhhQ/348s.jpg,5,1,Clarke Quay,"['Thai', 'Seafood', 'Asian Fusion']",
Dhoby Ghaut,Song Fa Bak Kut Teh,www.yelp.com/biz/song-fa-bak-kut-teh-singapore-11?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/cgE6mZ8dNeuazbEK4ipZLA/348s.jpg,4,136,Clarke Quay,"['Singaporean', 'Chinese']",1.0
Dhoby Ghaut,Coriander Leaf,www.yelp.com/biz/coriander-leaf-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/MpEDkxv4JjrlQ_zhC-1DMw/348s.jpg,4.5,13,Bras Brasah,['Asian Fusion'],
Dhoby Ghaut,Yakinikutei Ao-Chan,www.yelp.com/biz/yakinikutei-ao-chan-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/HywO1IP-_ulbi2UnGU6JlA/348s.jpg,5,4,Orchard,['Japanese'],
Dhoby Ghaut,Food Republic,www.yelp.com/biz/food-republic-singapore-19?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/oI67vPo8jsmss8nu_IUKzw/348s.jpg,3,8,Bencoolen,"['Food Court', 'Singaporean']",1.0
Dhoby Ghaut,Sungei Road Laksa,www.yelp.com/biz/sungei-road-laksa-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/TD2qcEtt-AEJ0U0JAIeRpQ/348s.jpg,4.5,72,Lavender,"['Singaporean', 'Chinese', 'Noodles']",1.0
Dhoby Ghaut,Tim Ho Wan,www.yelp.com/biz/tim-ho-wan-singapore-7?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/L_YN4BIaEEpuNEeEAzXv-g/348s.jpg,4.5,32,City Hall,"['Dim Sum', 'Cantonese']",1.0
Dhoby Ghaut,Maki-San,www.yelp.com/biz/maki-san-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/A2kzEngRkz7n2PHgq_iClw/348s.jpg,4.5,15,Dhoby Ghaut,['Japanese'],1.0
