neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Dover,Waa Cow!,www.yelp.com/biz/waa-cow-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ZfTCgwExzk5ydFws3HwIGw/348s.jpg,4,5,Dover,['Japanese'],
Dover,Vietnamese - Authentic Vietnamese Cuisine,www.yelp.com/biz/vietnamese-authentic-vietnamese-cuisine-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/1Zj29y2Lkhho5ugz_dIFlw/348s.jpg,4,12,Ghim Moh,['Vietnamese'],1.0
Dover,Roots One North,www.yelp.com/biz/roots-one-north-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/JVKI7Jx6FRI3ZQU-L8CULw/348s.jpg,4,2,one-north,['Cafes'],
Dover,timbre+,www.yelp.com/biz/timbre-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/c6hhUVJU1MzAlVkMfVPWYA/348s.jpg,3.5,18,one-north,"['Food Court', 'Venues & Event Spaces']",2.0
Dover,The Royals Bistro,www.yelp.com/biz/the-royals-bistro-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/2_3QvHTmQhNHdgeKF6EVuw/348s.jpg,3.5,4,Dover,"['Halal', 'Bistros', 'Coffee & Tea']",
Dover,Bodacious Bar and Bistro,www.yelp.com/biz/bodacious-bar-and-bistro-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/6_Wm-y9Fr_4EvFiSV6PLnQ/348s.jpg,4,5,one-north,"['Cocktail Bars', 'Cafes', 'Gastropubs']",2.0
Dover,French Ladle,www.yelp.com/biz/french-ladle-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/GShMZ0hD2c9l9xrBc8d00Q/348s.jpg,5,5,Ulu Pandan,['French'],1.0
Dover,Dover Rd Hawker Centre,www.yelp.com/biz/dover-rd-hawker-centre-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/eNPc-qbiLYDLVcxzt1mvQQ/348s.jpg,4,2,Dover,['Pakistani'],1.0
Dover,Butter My Buns,www.yelp.com/biz/butter-my-buns-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/UuAteLhB7RzQXiXqMAEj1w/348s.jpg,4.5,2,Dover,"['Desserts', 'Ice Cream & Frozen Yogurt', 'Cafes']",
Dover,Ju Shin Jung,www.yelp.com/biz/ju-shin-jung-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/7Fz7kt1gXsakmyR1Xb-70A/348s.jpg,4,5,Pasir Panjang,['Korean'],3.0
Dover,La Bussola,www.yelp.com/biz/la-bussola-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/APNART9h3wQtqqOCxMRHuw/348s.jpg,4,1,Wessex Estate,"['Vegetarian', 'Italian']",
Dover,Beauty In The Pot,www.yelp.com/biz/beauty-in-the-pot-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/78zzMZNaG7Hu1Vsg_101jQ/348s.jpg,5,1,,['Hot Pot'],
Dover,The Sugar Fairy SG,www.yelp.com/biz/the-sugar-fairy-sg-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/JPLPDj_zSVqADWa3nPSyVQ/348s.jpg,4,1,Dover,"['Waffles', 'Desserts']",
Dover,Ristorante Pietrasanta,www.yelp.com/biz/ristorante-pietrasanta-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Dp1nYuMhf4EbT2c-TDXdfQ/348s.jpg,4,18,one-north,"['Italian', 'Diners', 'Pizza']",3.0
Dover,Chi-Bing,www.yelp.com/biz/chi-bing-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/wJv_JflyexvNwVX5I1grCg/348s.jpg,4.5,2,,['Korean'],
Dover,Daehwa Vegetarian,www.yelp.com/biz/daehwa-vegetarian-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/DmLQRwWXBgiXUHA6YaunBg/348s.jpg,4.5,5,one-north,"['Korean', 'Vegetarian']",
Dover,Bread Yard,www.yelp.com/biz/bread-yard-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/PN0FGzFITXkYrAFxHUzZzw/348s.jpg,4,9,one-north,"['Bakeries', 'Breakfast & Brunch']",1.0
Dover,Summer Hill,www.yelp.com/biz/summer-hill-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/AhDUnuW_XjZWMDs-ViI3ug/348s.jpg,5,2,Clementi,['Bistros'],
Dover,Iskina Cebu,www.yelp.com/biz/iskina-cebu-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/qwklOkEONGO8cIbd7li6nw/348s.jpg,5,1,one-north,"['Barbeque', 'Filipino']",
Dover,Omoomodon,www.yelp.com/biz/omoomodon-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/YYueLjpZv0Ha8y8GheRXtQ/348s.jpg,4,3,$$,"['Japanese', 'Korean']",2.0
Dover,Omoomodon,www.yelp.com/biz/omoomodon-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/YYueLjpZv0Ha8y8GheRXtQ/348s.jpg,4,3,$$,"['Japanese', 'Korean']",2.0
Dover,The Meeting Place,www.yelp.com/biz/the-meeting-place-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/C9BwyK3dOf3jYiqf2luuYg/348s.jpg,5,3,Clementi,"['Street Vendors', 'Seafood']",2.0
Dover,Island Penang Kitchen,www.yelp.com/biz/island-penang-kitchen-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/4XQ9iB0eyh0eAxwjm2DTog/348s.jpg,4,5,Pasir Panjang,['Malaysian'],1.0
