neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Farrer Park,Hong Kong Style Chee Cheong Fun,www.yelp.com/biz/hong-kong-style-chee-cheong-fun-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/OUXnGXri8AVtFpCJ9EttBg/348s.jpg,5,9,Farrer Park,['Chinese'],1.0
Farrer Park,99 Old Trees Durian,www.yelp.com/biz/99-old-trees-durian-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/doS4NqSJQBcGgnMX3Q_qgA/348s.jpg,4.5,3,Farrer Park,"['Desserts', 'Specialty Food', 'Singaporean']",
Farrer Park,The Garden Grille,www.yelp.com/biz/the-garden-grille-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/4A0c6d1GNzi2WkzOyWF8Mw/348s.jpg,5,1,Little India,"['International', 'Breakfast & Brunch']",
Farrer Park,The Banana Leaf Apolo,www.yelp.com/biz/the-banana-leaf-apolo-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/H8QzhiJxj5uphyC-hOsuow/348s.jpg,4,41,Farrer Park,"['Indian', 'Asian Fusion']",2.0
Farrer Park,Tingkat PeraMakan,www.yelp.com/biz/tingkat-peramakan-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/3f5B4OMNjw1z0ZxxSQPKsA/348s.jpg,4,6,Farrer Park,"['Singaporean', 'Seafood', 'Noodles']",2.0
Farrer Park,Oriental Ice Bistro,www.yelp.com/biz/oriental-ice-bistro-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/MlZ-Usd_FWrtbv4aUzstRg/348s.jpg,5,1,Farrer Park,"['Desserts', 'Cafes', 'Asian Fusion']",1.0
Farrer Park,Usman Restaurant,www.yelp.com/biz/usman-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/kj9PUDk9_MRrICblisAPlA/348s.jpg,4,35,Little India,['Indian'],1.0
Farrer Park,Kailash Parbat,www.yelp.com/biz/kailash-parbat-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Z3pPJDPfLwNr8IEhp7r3Tg/348s.jpg,4.5,5,Little India,['Indian'],
Farrer Park,Sungei Road Laksa,www.yelp.com/biz/sungei-road-laksa-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/TD2qcEtt-AEJ0U0JAIeRpQ/348s.jpg,4.5,72,Lavender,"['Singaporean', 'Chinese', 'Noodles']",1.0
Farrer Park,Escape Restaurant & Lounge,www.yelp.com/biz/escape-restaurant-and-lounge-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/1-9furD1-88D3IMHLXPF1Q/348s.jpg,4,4,Little India,"['Lounges', 'Cafes']",2.0
Farrer Park,Brunches Cafe,www.yelp.com/biz/brunches-cafe-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/u-CGbUmAk8BD-Kgkeh0bnA/348s.jpg,4.5,26,Farrer Park,"['Coffee & Tea', 'Bakeries', 'Breakfast & Brunch']",2.0
Farrer Park,Khansama Tandoori,www.yelp.com/biz/khansama-tandoori-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/0-h3tBYYbiPhCHpcFWLWJg/348s.jpg,4,63,Little India,['Indian'],2.0
Farrer Park,Happy Crab,www.yelp.com/biz/happy-crab-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/lGWzdL3aDbsa9jsLWjtl7Q/348s.jpg,4.5,11,Arab Street,"['Seafood', 'Singaporean']",3.0
Farrer Park,Pek Kio Market & Food Centre,www.yelp.com/biz/pek-kio-market-and-food-centre-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/abT1vZ3UM9hLC-TdLIqn9g/348s.jpg,4.5,10,Farrer Park,"['Coffee & Tea', 'Breakfast & Brunch']",1.0
Farrer Park,Mrs Pho House Rangoon,www.yelp.com/biz/mrs-pho-house-rangoon-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/sRYym5uYaZvI6SWIaDEBEA/348s.jpg,5,4,Farrer Park,['Vietnamese'],
Farrer Park,Blue Jasmine,www.yelp.com/biz/blue-jasmine-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/-RphCXq30OUPvbxXN-OotQ/348s.jpg,4,1,Little India,['Thai'],
Farrer Park,Enchanted Cafe,www.yelp.com/biz/enchanted-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/3842rlAOxvjij4PvQwSSZw/348s.jpg,4.5,3,Farrer Park,['Cafes'],
Farrer Park,Komala Vilas Restaurant,www.yelp.com/biz/komala-vilas-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/th00l65Jq43uMDQDIMHtWQ/348s.jpg,4,67,Little India,"['Indian', 'Vegetarian']",1.0
Farrer Park,Old Hen Kitchen,www.yelp.com/biz/old-hen-kitchen-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/qIms859EfqUeLdPJe3-jPg/348s.jpg,4.5,3,Farrer Park,['Cafes'],2.0
Farrer Park,Lang Nuong Viet Nam,www.yelp.com/biz/lang-nuong-viet-nam-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/PKKRtfZKUrjEkDyY8DFnPg/348s.jpg,4.5,5,Little India,"['Vietnamese', 'Barbeque']",2.0
Farrer Park,Sushi Jin,www.yelp.com/biz/sushi-jin-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/2iPsZO3OhO5AGOAB-d4nKw/348s.jpg,4,8,Little India,['Japanese'],3.0
Farrer Park,Everest Kitchen,www.yelp.com/biz/everest-kitchen-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/E-mUeKOgnIVxqqS99rh_5A/348s.jpg,4.5,7,Little India,"['Himalayan/Nepalese', 'Indian']",
Farrer Park,Toast Box,www.yelp.com/biz/toast-box-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/zHvL8ceKI2zMdAeToLHEKw/348s.jpg,4,13,Little India,['Cafes'],1.0
Farrer Park,House of Commons,www.yelp.com/biz/house-of-commons-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/HGuCh1qyMokPd2HaeuAgFw/348s.jpg,3.5,2,Farrer Park,"['Coffee & Tea', 'Breakfast & Brunch']",2.0
Farrer Park,Swee Choon Tim Sum,www.yelp.com/biz/swee-choon-tim-sum-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ZMV_6YVtVn3jCFpIIiHLqw/348s.jpg,4,76,Little India,['Dim Sum'],1.0
Farrer Park,Whampoa Keng,www.yelp.com/biz/whampoa-keng-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/wXQjdUmNtHlCzGwhoZ13mQ/348s.jpg,4,3,Farrer Park,['Teochew'],2.0
Farrer Park,Pek Kio Seafood Delight,www.yelp.com/biz/pek-kio-seafood-delight-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/svYVAg65KslUTddFlet8ZA/348s.jpg,4,2,Farrer Park,"['Seafood', 'Food Stands']",
Farrer Park,Lighthouse Bistro,www.yelp.com/biz/lighthouse-bistro-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/KVi-u596Tuireq8Izqm2VA/348s.jpg,5,1,Lavender,['Bistros'],
Farrer Park,Astons Specialities,www.yelp.com/biz/astons-specialities-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/_7c6dj-ooRTmzY_8bSsu5g/348s.jpg,4.5,6,Little India,"['American (Traditional)', 'Steakhouses']",1.0
Farrer Park,Tai Hwa Pork Noodle,www.yelp.com/biz/tai-hwa-pork-noodle-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/nxea-BvWww-FXGj6vEZ8kg/348s.jpg,4,86,Lavender,"['Chinese', 'Noodles']",1.0
Farrer Park,The Curry Culture - Farrer Park,www.yelp.com/biz/the-curry-culture-farrer-park-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/k872IAdIaZp5gTEJgxHz5Q/348s.jpg,4,1,Little India,['Indian'],
Farrer Park,Wah Kee Big Prawn Noodles,www.yelp.com/biz/wah-kee-big-prawn-noodles-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/02wUHH-98dq8ySRR_VPKMw/348s.jpg,4,7,Farrer Park,"['Chinese', 'Food Stands']",1.0
Farrer Park,Bar B Q Tonight,www.yelp.com/biz/bar-b-q-tonight-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/rnoiPH_gQy8fihzh-P2jmQ/348s.jpg,4,7,Little India,['Barbeque'],2.0
Farrer Park,MTR 1924,www.yelp.com/biz/mtr-1924-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/v4K6FzbZ9u2Wpz5yyl16qg/348s.jpg,4.5,35,Little India,['Indian'],1.0
Farrer Park,Muthu’s Curry,www.yelp.com/biz/muthus-curry-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/CAeVQHzfTc-9GL1OEZ-sWA/348s.jpg,3.5,26,Farrer Park,['Indian'],2.0
Farrer Park,Gu Cheng 古城,www.yelp.com/biz/gu-cheng-%E5%8F%A4%E5%9F%8E-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/YtQAj40TjJBagmrALPLuZg/348s.jpg,4,1,Lavender,['Malaysian'],
Farrer Park,The Royals Steakhouse,www.yelp.com/biz/the-royals-steakhouse-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/49KmdCP9uPjUnJwm8tG51A/348s.jpg,4.5,2,Arab Street,"['Halal', 'Steakhouses']",
Farrer Park,Wee Nam Kee Chicken Rice,www.yelp.com/biz/wee-nam-kee-chicken-rice-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/N7d5snBlYA_G4M7PwmtWIw/348s.jpg,4.5,47,Novena,"['Chicken Shop', 'Hainan']",1.0
Farrer Park,Da Lian Traditional Noodles,www.yelp.com/biz/da-lian-traditional-noodles-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/0Uq8G2ZfH6tazzJxcj71wg/348s.jpg,4,19,Lavender,"['Noodles', 'Teochew']",1.0
Farrer Park,Herbivore,www.yelp.com/biz/herbivore-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/v_X1DHDnbigiCMslz9nycg/348s.jpg,4.5,12,Bencoolen,"['Vegetarian', 'Japanese']",2.0
Farrer Park,Founder Bak Kut Teh,www.yelp.com/biz/founder-bak-kut-teh-no-title?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/vyaqSIemX43fcOPwCNtkjQ/348s.jpg,4,13,Lavender,['Singaporean'],2.0
Farrer Park,Xiang Yuan Ji - Shanghai Sheng Jian Bao,www.yelp.com/biz/xiang-yuan-ji-shanghai-sheng-jian-bao-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/BJhE5zTraRGmD4b9GGFiaQ/348s.jpg,4,5,Little India,['Chinese'],1.0
Farrer Park,Mrs Pho,www.yelp.com/biz/mrs-pho-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/dxejKPANhZ_aNgoN4dPqUw/348s.jpg,4,58,Arab Street,['Vietnamese'],1.0
Farrer Park,Earlybird,www.yelp.com/biz/earlybird-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/pvHt_Oay-j0csmJPUctMIA/348s.jpg,4.5,3,Lavender,"['Cafes', 'Breakfast & Brunch']",
Farrer Park,Tolido’s Espresso Nook,www.yelp.com/biz/tolidos-espresso-nook-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/40D0vX8qEoBwKFSplvDOHA/348s.jpg,4.5,66,Lavender,"['Breakfast & Brunch', 'Coffee & Tea']",2.0
Farrer Park,Amaravati,www.yelp.com/biz/amaravati-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/i5lQ38OmF9zRXSq1Z-Dk_Q/348s.jpg,4.5,9,Little India,['Indian'],
Farrer Park,The Clueless Goat,www.yelp.com/biz/the-clueless-goat-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/lg3GV-A6GhzSHosJ10VncQ/348s.jpg,4,16,Novena,"['Coffee & Tea', 'Breakfast & Brunch']",1.0
Farrer Park,Hambaobao,www.yelp.com/biz/hambaobao-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/p6ZCxwH63RHj15JnB6QyCg/348s.jpg,4.5,7,Little India,['Burgers'],1.0
Farrer Park,Subarashii Grill & Bar,www.yelp.com/biz/subarashii-grill-and-bar-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/vdW4R1ShaH75iWF1wt9q2A/348s.jpg,5,1,Bencoolen,"['Japanese', 'Barbeque', 'Asian Fusion']",
Farrer Park,Yakinikutei Ao-Chan,www.yelp.com/biz/yakinikutei-ao-chan-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/HywO1IP-_ulbi2UnGU6JlA/348s.jpg,5,4,Orchard,['Japanese'],
Farrer Park,Limaa,www.yelp.com/biz/limaa-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ag0cYXf_JyyW7waswr2aSQ/348s.jpg,5,2,Arab Street,['Cafes'],
