neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Ghim Moh,Sala Thai Kitchen,www.yelp.com/biz/sala-thai-kitchen-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/gwI4z1yoPEuAg2ZlJS5oRg/348s.jpg,4,1,one-north,['Thai'],
Ghim Moh,Bread Yard,www.yelp.com/biz/bread-yard-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/PN0FGzFITXkYrAFxHUzZzw/348s.jpg,4,9,one-north,"['Bakeries', 'Breakfast & Brunch']",1.0
Ghim Moh,Da Paolo Gastronomia - Holland Village,www.yelp.com/biz/da-paolo-gastronomia-holland-village-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/jnM6KBMR15P2yT6OAgqnWg/348s.jpg,4,15,Holland Village,"['Italian', 'Patisserie/Cake Shop', 'Pizza']",2.0
Ghim Moh,Yuan Hokkien Fried Prawn Mee,www.yelp.com/biz/yuan-hokkien-fried-prawn-mee-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/V8KAO7_ADMtLdqNQ-orOug/348s.jpg,5,1,Ghim Moh,['Noodles'],
Ghim Moh,Enaq The Prata Shop,www.yelp.com/biz/enaq-the-prata-shop-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/MzJ7KcbEf_wLnvMPHCFaKQ/348s.jpg,4.5,4,Ghim Moh,['Indian'],
Ghim Moh,The Seasons 四季风光,www.yelp.com/biz/the-seasons-%E5%9B%9B%E5%AD%A3%E9%A3%8E%E5%85%89-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Jv8cNbCfU6tsCnZPC6EagA/348s.jpg,4,1,Holland Village,"['Chinese', 'Thai']",
Ghim Moh,Nakhon Kitchen,www.yelp.com/biz/nakhon-kitchen-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/VvNGGOWGD7GvR_bC4WnsyA/348s.jpg,3.5,27,Holland Village,['Thai'],1.0
Ghim Moh,Ristorante Pietrasanta,www.yelp.com/biz/ristorante-pietrasanta-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Dp1nYuMhf4EbT2c-TDXdfQ/348s.jpg,4,18,one-north,"['Italian', 'Diners', 'Pizza']",3.0
Ghim Moh,Caveman Food,www.yelp.com/biz/caveman-food-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/xwZ6DziX58O0MRRr9AXWMw/348s.jpg,4,1,,"['Gluten-Free', 'Salad']",
Ghim Moh,Master Crab Seafood Restaurant,www.yelp.com/biz/master-crab-seafood-restaurant-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/UC767CA9QzSGh8c4Ffd6MQ/348s.jpg,3.5,6,Ghim Moh,['Seafood'],1.0
