neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Kent Ridge,Paddy Hills,www.yelp.com/biz/paddy-hills-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/3HDfWqmHS5jnFTqfKq5kDg/348s.jpg,4,16,Kent Ridge,"['Asian Fusion', 'Cafes', 'Breakfast & Brunch']",3.0
Kent Ridge,Takagi Ramen,www.yelp.com/biz/takagi-ramen-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/zWivtplR-KQN8WNsWYxbJA/348s.jpg,3,1,Kent Ridge,['Ramen'],
Kent Ridge,Chuckwagon BBQ & Grill,www.yelp.com/biz/chuckwagon-bbq-and-grill-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/1CWt0HEhmG9vmwQODOHVVg/348s.jpg,4.5,3,Wessex Estate,"['Barbeque', 'Steakhouses']",
Kent Ridge,Tokyo Joe,www.yelp.com/biz/tokyo-joe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/JlVPqmjU3_9tkX9oV86rIw/348s.jpg,4,1,Kent Ridge,['Japanese'],
Kent Ridge,Ju Shin Jung,www.yelp.com/biz/ju-shin-jung-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/7Fz7kt1gXsakmyR1Xb-70A/348s.jpg,4,5,Pasir Panjang,['Korean'],3.0
Kent Ridge,timbre+,www.yelp.com/biz/timbre-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/c6hhUVJU1MzAlVkMfVPWYA/348s.jpg,3.5,18,one-north,"['Food Court', 'Venues & Event Spaces']",2.0
Kent Ridge,Waa Cow!,www.yelp.com/biz/waa-cow-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ZfTCgwExzk5ydFws3HwIGw/348s.jpg,4,5,Dover,['Japanese'],
Kent Ridge,Roots One North,www.yelp.com/biz/roots-one-north-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/JVKI7Jx6FRI3ZQU-L8CULw/348s.jpg,4,2,one-north,['Cafes'],
Kent Ridge,Bodacious Bar and Bistro,www.yelp.com/biz/bodacious-bar-and-bistro-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/6_Wm-y9Fr_4EvFiSV6PLnQ/348s.jpg,4,5,one-north,"['Cocktail Bars', 'Cafes', 'Gastropubs']",2.0
Kent Ridge,Vietnamese - Authentic Vietnamese Cuisine,www.yelp.com/biz/vietnamese-authentic-vietnamese-cuisine-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/1Zj29y2Lkhho5ugz_dIFlw/348s.jpg,4,12,Ghim Moh,['Vietnamese'],1.0
Kent Ridge,La Bussola,www.yelp.com/biz/la-bussola-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/APNART9h3wQtqqOCxMRHuw/348s.jpg,4,1,Wessex Estate,"['Vegetarian', 'Italian']",
Kent Ridge,The Pirate Sheep,www.yelp.com/biz/the-pirate-sheep-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/QLpAeeg6AHHrxNx1UjlYsA/348s.jpg,5,1,Pasir Panjang,"['Asian Fusion', 'Tapas/Small Plates', 'Imported Food']",
Kent Ridge,Ristorante Pietrasanta,www.yelp.com/biz/ristorante-pietrasanta-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Dp1nYuMhf4EbT2c-TDXdfQ/348s.jpg,4,18,one-north,"['Italian', 'Diners', 'Pizza']",3.0
Kent Ridge,Iskina Cebu,www.yelp.com/biz/iskina-cebu-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/qwklOkEONGO8cIbd7li6nw/348s.jpg,5,1,one-north,"['Barbeque', 'Filipino']",
Kent Ridge,Foodgle Hub,www.yelp.com/biz/foodgle-hub-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/X0R0Illern_tRzKlB3y7yw/348s.jpg,3,1,Kent Ridge,['Food Court'],
Kent Ridge,Fat Saigon Boy,www.yelp.com/biz/fat-saigon-boy-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/IoCAJtO7LsTWbSPcXyIyXA/348s.jpg,3.5,2,Kent Ridge,['Vietnamese'],
Kent Ridge,The Royals Bistro,www.yelp.com/biz/the-royals-bistro-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/2_3QvHTmQhNHdgeKF6EVuw/348s.jpg,3.5,4,Dover,"['Halal', 'Bistros', 'Coffee & Tea']",
Kent Ridge,Ya Kun Kaya Toast,www.yelp.com/biz/ya-kun-kaya-toast-singapore-26?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/qhQflyLe9ybEgS1HkS_Rjg/348s.jpg,4,2,Kent Ridge,"['Diners', 'Breakfast & Brunch', 'Imported Food']",1.0
Kent Ridge,Colbar - Colonial Bar,www.yelp.com/biz/colbar-colonial-bar-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/5lovqWoNlrJTlGCzNITJLg/348s.jpg,3.5,17,Wessex Estate,"['Bars', 'Chinese', 'Singaporean']",2.0
Kent Ridge,Bread Yard,www.yelp.com/biz/bread-yard-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/PN0FGzFITXkYrAFxHUzZzw/348s.jpg,4,9,one-north,"['Bakeries', 'Breakfast & Brunch']",1.0
Kent Ridge,Manhill Restaurant,www.yelp.com/biz/manhill-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/9joPeb5w6C2C53FkMLoEzA/348s.jpg,4.5,5,Pasir Panjang,['Cantonese'],2.0
Kent Ridge,Daehwa Vegetarian,www.yelp.com/biz/daehwa-vegetarian-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/DmLQRwWXBgiXUHA6YaunBg/348s.jpg,4.5,5,one-north,"['Korean', 'Vegetarian']",
Kent Ridge,Island Penang Kitchen,www.yelp.com/biz/island-penang-kitchen-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/4XQ9iB0eyh0eAxwjm2DTog/348s.jpg,4,5,Pasir Panjang,['Malaysian'],1.0
Kent Ridge,Wildfire Chicken and Burger,www.yelp.com/biz/wildfire-chicken-and-burger-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/AQ42g1wdFlzIsmJVJp0ZyA/348s.jpg,4,1,Kent Ridge,"['Burgers', 'Bars', 'Fast Food']",
Kent Ridge,Chili Padi Nonya Cafe,www.yelp.com/biz/chili-padi-nonya-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/0C8a9ni1NCRbl1UlV1tjQQ/348s.jpg,3,5,Pasir Panjang,['Cafes'],
Kent Ridge,Auntie Kim’s Korean Restaurant,www.yelp.com/biz/auntie-kims-korean-restaurant-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/3-PM68eb7mczenjLESBkwg/348s.jpg,4,3,Alexandra,"['Korean', 'Barbeque']",2.0
Kent Ridge,He Ji Braised Duck Rice Porridge Noodles,www.yelp.com/biz/he-ji-braised-duck-rice-porridge-noodles-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/mtQX2heme_4041fjgqai9Q/348s.jpg,5,1,Pasir Panjang,"['Chinese', 'Singaporean']",
Kent Ridge,Gaia Korean Grill + Bar,www.yelp.com/biz/gaia-korean-grill-bar-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/1HDYtnIZJitQ9aTxp2inRA/348s.jpg,5,2,Holland Village,"['Korean', 'Asian Fusion', 'Tapas/Small Plates']",
Kent Ridge,Ah Hoe Mee Pok,www.yelp.com/biz/ah-hoe-mee-pok-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/UmUfJw0rRQRrpyE4LGLRhQ/348s.jpg,4,11,Pasir Panjang,['Singaporean'],1.0
