neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Lavender,Piedra Negra,www.yelp.com/biz/piedra-negra-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/g7gLlyo7noIfv_ZWnXreKw/348s.jpg,3.5,36,Arab Street,"['Mexican', 'Bars']",2.0
Lavender,Cheng Cheng Mun Chee Kee Pig Organ Soup,www.yelp.com/biz/cheng-cheng-mun-chee-kee-pig-organ-soup-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/oe7zCDMaK2Pvbv__jn1Dew/348s.jpg,3,8,Little India,['Chinese'],1.0
Lavender,Talay Thai,www.yelp.com/biz/talay-thai-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/8QiguiAO3TjZ3WQiw8lhhQ/348s.jpg,5,1,Clarke Quay,"['Thai', 'Seafood', 'Asian Fusion']",
Lavender,Violet Oon Satay & Grill,www.yelp.com/biz/violet-oon-satay-and-grill-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/-MlEj6uihMDbQ8DEya_l2A/348s.jpg,4,10,Clarke Quay,"['Seafood', 'Singaporean']",
Lavender,Oriental Ice Bistro,www.yelp.com/biz/oriental-ice-bistro-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/MlZ-Usd_FWrtbv4aUzstRg/348s.jpg,5,1,Farrer Park,"['Desserts', 'Cafes', 'Asian Fusion']",1.0
Lavender,Warong Nasi Pariaman,www.yelp.com/biz/warong-nasi-pariaman-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/TNuQ_xRAiFcGXh0NIh47RQ/348s.jpg,3.5,13,Arab Street,['Indonesian'],
Lavender,Kantipur Tandoori,www.yelp.com/biz/kantipur-tandoori-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/XB6WCjxRY6F4AmauikZgVw/348s.jpg,4,1,Little India,['Restaurants'],3.0
Lavender,Hopheads,www.yelp.com/biz/hopheads-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/U3lWyD14HOaB-H5Glrgp5g/348s.jpg,3.5,3,Dhoby Ghaut,"['Bistros', 'Tapas/Small Plates']",2.0
Lavender,Killiney Kopitiam,www.yelp.com/biz/killiney-kopitiam-singapore-6?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/wPzrJteRHK9bwAHT4lBn-Q/348s.jpg,4,7,Bras Brasah,"['Coffee & Tea', 'Breakfast & Brunch']",1.0
Lavender,Koon Bak Kut Teh,www.yelp.com/biz/koon-bak-kut-teh-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/rWZkXEuwvBj05_5hJyp6Hw/348s.jpg,3,2,Lavender,['Soup'],
Lavender,Outram Park Fried Kway Teow Mee,www.yelp.com/biz/outram-park-fried-kway-teow-mee-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ByS6_1iGeSM2Sk7yE66n4w/348s.jpg,4.5,28,Chinatown,"['Singaporean', 'Food Stands', 'Noodles']",1.0
Lavender,Pizza Fabbrica,www.yelp.com/biz/pizza-fabbrica-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Pu9AHjKy8NjoE4nSnqx6xQ/348s.jpg,4,12,Arab Street,"['Italian', 'Pizza']",3.0
Lavender,旺角點心 Mongkok Dim Sum,www.yelp.com/biz/%E6%97%BA%E8%A7%92%E9%BB%9E%E5%BF%83-mongkok-dim-sum-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/UmNo8niqt2PFYRmIRZmCoQ/348s.jpg,3.5,10,Geylang,['Dim Sum'],1.0
Lavender,Famous Sungei Road Trishaw Laksa,www.yelp.com/biz/famous-sungei-road-trishaw-laksa-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/OtsO2kuP2Xsw9fNmxpK1VA/348s.jpg,4.5,9,Chinatown,"['Hawker Centre', 'Asian Fusion']",1.0
Lavender,Cafe NIDO,www.yelp.com/biz/cafe-nido-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/4d3FzTvL3SgxDHKWdbbD9Q/348s.jpg,4,1,,"['Coffee & Tea', 'Cafes', 'Desserts']",
Lavender,Lubnan,www.yelp.com/biz/lubnan-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/dN8XufBNFHUJk3oed3ii7w/348s.jpg,3.5,2,Arab Street,"['Lebanese', 'Mediterranean', 'Greek']",2.0
Lavender,Hawaiian Kitchen ALOHA Ma Maison,www.yelp.com/biz/hawaiian-kitchen-aloha-ma-maison-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/BR4QXI1UfvW6zkBOiref4w/348s.jpg,4,2,Bencoolen,['Hawaiian'],
Lavender,Twenty Grammes,www.yelp.com/biz/twenty-grammes-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Yjb_ru1WvCK8J8V3VDSEZQ/348s.jpg,3.5,3,Arab Street,['Cafes'],2.0
Lavender,Blu Jaz Cafe,www.yelp.com/biz/blu-jaz-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/5M5VQvd2IzVnySYG7dZLEQ/348s.jpg,3.5,27,Arab Street,"['Cafes', 'Dance Clubs']",2.0
Lavender,Sabar Menanti & Menunggu,www.yelp.com/biz/sabar-menanti-and-menunggu-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/4SRfkmt-OHqm0VgrpJXPfQ/348s.jpg,3,1,Arab Street,"['Halal', 'Indonesian']",
Lavender,NatureCafe,www.yelp.com/biz/naturecafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Zyf5wO82CMXjjUefSYb2dQ/348s.jpg,4,1,Lavender,"['Organic Stores', 'Vegetarian']",1.0
Lavender,Mrs Pho House Rangoon,www.yelp.com/biz/mrs-pho-house-rangoon-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/sRYym5uYaZvI6SWIaDEBEA/348s.jpg,5,4,Farrer Park,['Vietnamese'],
Lavender,Chix Hot Chicken,www.yelp.com/biz/chix-hot-chicken-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/6N6_hvKhg-CLC_U1ZkdI4w/348s.jpg,3,1,Arab Street,['Chicken Shop'],
Lavender,Killiney Kopitiam,www.yelp.com/biz/killiney-kopitiam-singapore-6?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/wPzrJteRHK9bwAHT4lBn-Q/348s.jpg,4,7,Bras Brasah,"['Coffee & Tea', 'Breakfast & Brunch']",1.0
