neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Little India,Sungei Road Laksa,www.yelp.com/biz/sungei-road-laksa-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/TD2qcEtt-AEJ0U0JAIeRpQ/348s.jpg,4.5,72,Lavender,"['Singaporean', 'Chinese', 'Noodles']",1.0
Little India,Swee Choon Tim Sum,www.yelp.com/biz/swee-choon-tim-sum-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ZMV_6YVtVn3jCFpIIiHLqw/348s.jpg,4,76,Little India,['Dim Sum'],1.0
Little India,Kailash Parbat,www.yelp.com/biz/kailash-parbat-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Z3pPJDPfLwNr8IEhp7r3Tg/348s.jpg,4.5,5,Little India,['Indian'],
Little India,Lang Nuong Viet Nam,www.yelp.com/biz/lang-nuong-viet-nam-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/PKKRtfZKUrjEkDyY8DFnPg/348s.jpg,4.5,5,Little India,"['Vietnamese', 'Barbeque']",2.0
Little India,Usman Restaurant,www.yelp.com/biz/usman-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/kj9PUDk9_MRrICblisAPlA/348s.jpg,4,35,Little India,['Indian'],1.0
Little India,Khansama Tandoori,www.yelp.com/biz/khansama-tandoori-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/0-h3tBYYbiPhCHpcFWLWJg/348s.jpg,4,63,Little India,['Indian'],2.0
Little India,Holycrab,www.yelp.com/biz/holycrab-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/XVXC7btsXlWlRMeQUbMcvA/348s.jpg,4.5,19,Bugis,"['Singaporean', 'Chinese', 'Seafood']",4.0
Little India,Astons Specialities,www.yelp.com/biz/astons-specialities-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/_7c6dj-ooRTmzY_8bSsu5g/348s.jpg,4.5,6,Little India,"['American (Traditional)', 'Steakhouses']",1.0
Little India,Toast Box,www.yelp.com/biz/toast-box-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/zHvL8ceKI2zMdAeToLHEKw/348s.jpg,4,13,Little India,['Cafes'],1.0
Little India,Da Lian Traditional Noodles,www.yelp.com/biz/da-lian-traditional-noodles-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/0Uq8G2ZfH6tazzJxcj71wg/348s.jpg,4,19,Lavender,"['Noodles', 'Teochew']",1.0
