neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Mandai,Shami Banana Leaf Delights,www.yelp.com/biz/shami-banana-leaf-delights-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/y5R_KLtMHMTZvCzb-F5XtQ/348s.jpg,4.5,2,Woodlands,['Indian'],1.0
Mandai,Citrus By The Pool,www.yelp.com/biz/citrus-by-the-pool-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/HqIEB1OUop1L3gyB55P8cw/348s.jpg,4,7,Woodlands,"['Desserts', 'Cafes', 'Asian Fusion']",1.0
Mandai,Orchid Live Seafood,www.yelp.com/biz/orchid-live-seafood-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/9ahWopaWb8TOBL-OiFTvbg/348s.jpg,4.5,8,Yishun,['Seafood'],3.0
Mandai,Jing Dian Seafood,www.yelp.com/biz/jing-dian-seafood-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/H5EeEIaZUo0v7QW9JPsC4A/348s.jpg,4,1,Choa Chu Kang,['Singaporean'],
Mandai,Sunset Grill & Pub,www.yelp.com/biz/sunset-grill-and-pub-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/75CEsFFnf3yY3nLMDDrjTw/348s.jpg,3,5,Sembawang,['American (Traditional)'],2.0
Mandai,Sin Heng Kee Porridge,www.yelp.com/biz/sin-heng-kee-porridge-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/781AQ5zZIEtFKVdDSKXdwg/348s.jpg,5,10,Hougang,"['Singaporean', 'Congee']",1.0
Mandai,The Black Sheep Cafe,www.yelp.com/biz/the-black-sheep-cafe-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/rEUbJfZyM05YPvm_P_8G1A/348s.jpg,4,6,Thomson,['French'],4.0
Mandai,Verdure Cafe,www.yelp.com/biz/verdure-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/lhf5zWrefRt6nyJ5GIFfqg/348s.jpg,4,1,Mandai,['Cafes'],
Mandai,Karu’s Indian Banana Leaf,www.yelp.com/biz/karus-indian-banana-leaf-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/QS3V9hTI1G3eoFHQu3_y8g/348s.jpg,4.5,8,Bukit Panjang,['Indian'],1.0
Mandai,Cheval,www.yelp.com/biz/cheval-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/UNvIZq_R4yFD4k1sdjO1oA/348s.jpg,4,1,Woodlands,"['Bars', 'Seafood', 'Sandwiches']",
