neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Mount Sophia,Holycrab,www.yelp.com/biz/holycrab-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/XVXC7btsXlWlRMeQUbMcvA/348s.jpg,4.5,19,Bugis,"['Singaporean', 'Chinese', 'Seafood']",4.0
Mount Sophia,Twenty Eight Cafe,www.yelp.com/biz/twenty-eight-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/asqBm4HrgBqnA4-d5N7uwg/348s.jpg,4.5,4,Mount Sophia,['Cafes'],
Mount Sophia,Stuttgart Blackforest Boutique S-Cafe,www.yelp.com/biz/stuttgart-blackforest-boutique-s-cafe-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/kgXXzrOtaj8YHGNhB_urbA/348s.jpg,4,2,Bencoolen,['German'],
Mount Sophia,Subarashii Grill & Bar,www.yelp.com/biz/subarashii-grill-and-bar-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/vdW4R1ShaH75iWF1wt9q2A/348s.jpg,5,1,Bencoolen,"['Japanese', 'Barbeque', 'Asian Fusion']",
Mount Sophia,EL CUBANOS,www.yelp.com/biz/el-cubanos-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/BNi3Gzd2UPVr85uRDc2SCg/348s.jpg,4,5,Bencoolen,"['Sandwiches', 'Halal', 'Pasta Shops']",
Mount Sophia,Happy Tummy,www.yelp.com/biz/happy-tummy-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/CRh4v-pGnrzymOSUKW0EUA/348s.jpg,5,4,Mount Sophia,"['Desserts', 'Salad', 'Cafes']",1.0
Mount Sophia,Isle Eating House,www.yelp.com/biz/isle-eating-house-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/2RMii1rYF__LomFaIT8OdQ/348s.jpg,4.5,3,Mount Sophia,"['Coffee & Tea', 'Food Court', 'Asian Fusion']",1.0
Mount Sophia,Mangiamo Pizzeria,www.yelp.com/biz/mangiamo-pizzeria-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/BvmvguN8JeWVRNfdLRwe9Q/348s.jpg,4.5,3,Bencoolen,"['Italian', 'Pizza']",
Mount Sophia,Hanis,www.yelp.com/biz/hanis-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/MfzmBFntpeqDIf5o1WEFXg/348s.jpg,3.5,2,Mount Sophia,"['Bakeries', 'Cafes']",1.0
Mount Sophia,Sungei Road Laksa,www.yelp.com/biz/sungei-road-laksa-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/TD2qcEtt-AEJ0U0JAIeRpQ/348s.jpg,4.5,72,Lavender,"['Singaporean', 'Chinese', 'Noodles']",1.0
Mount Sophia,Herbivore,www.yelp.com/biz/herbivore-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/v_X1DHDnbigiCMslz9nycg/348s.jpg,4.5,12,Bencoolen,"['Vegetarian', 'Japanese']",2.0
Mount Sophia,Yakinikutei Ao-Chan,www.yelp.com/biz/yakinikutei-ao-chan-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/HywO1IP-_ulbi2UnGU6JlA/348s.jpg,5,4,Orchard,['Japanese'],
Mount Sophia,National Kitchen By Violet Oon,www.yelp.com/biz/national-kitchen-by-violet-oon-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/G2xYewOZsMsguentS_j7tA/348s.jpg,4.5,39,City Hall,"['Asian Fusion', 'Singaporean']",3.0
Mount Sophia,Komala Vilas Restaurant,www.yelp.com/biz/komala-vilas-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/th00l65Jq43uMDQDIMHtWQ/348s.jpg,4,67,Little India,"['Indian', 'Vegetarian']",1.0
Mount Sophia,Curious Palette,www.yelp.com/biz/curious-palette-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/zJ0QO9lJTSMKUY5YSb-RxQ/348s.jpg,3.5,23,Bencoolen,"['Bistros', 'Bars', 'Cafes']",2.0
Mount Sophia,Tim Ho Wan,www.yelp.com/biz/tim-ho-wan-singapore-7?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/L_YN4BIaEEpuNEeEAzXv-g/348s.jpg,4.5,32,City Hall,"['Dim Sum', 'Cantonese']",1.0
Mount Sophia,Fat Bird,www.yelp.com/biz/fat-bird-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/8HxttET2IY8prO9svdyxLg/348s.jpg,4,9,Bugis,['Chinese'],2.0
Mount Sophia,Owls Brew,www.yelp.com/biz/owls-brew-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/YuXmt8ZKzQgh4w8-Gu_dLA/348s.jpg,4,5,Mount Sophia,"['Bars', 'Gastropubs']",2.0
Mount Sophia,Coriander Leaf,www.yelp.com/biz/coriander-leaf-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/MpEDkxv4JjrlQ_zhC-1DMw/348s.jpg,4.5,13,Bras Brasah,['Asian Fusion'],
Mount Sophia,Wild Oats,www.yelp.com/biz/wild-oats-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/5ARsLgBGE01P9uxF8kvPVA/348s.jpg,2.5,2,Mount Sophia,['Cafes'],
Mount Sophia,Aroy Dee,www.yelp.com/biz/aroy-dee-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/CrXz8cMlcUGLZrjVHhAs-A/348s.jpg,4,14,Bencoolen,['Thai'],2.0
Mount Sophia,Five Guys,www.yelp.com/biz/five-guys-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/btu1OeBviPpNft4AieBGog/348s.jpg,3,5,Dhoby Ghaut,"['Fast Food', 'Burgers']",
Mount Sophia,Jai Thai,www.yelp.com/biz/jai-thai-singapore-5?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/siNy846086lEy88UXaBWKg/348s.jpg,4,1,Dhoby Ghaut,['Thai'],
Mount Sophia,Kim Dae Mun,www.yelp.com/biz/kim-dae-mun-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/9912wHvzfHgaqH7PeFotog/348s.jpg,3.5,8,Orchard,['Korean'],
Mount Sophia,Food Republic,www.yelp.com/biz/food-republic-singapore-19?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/oI67vPo8jsmss8nu_IUKzw/348s.jpg,3,8,Bencoolen,"['Food Court', 'Singaporean']",1.0
Mount Sophia,Hopheads,www.yelp.com/biz/hopheads-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/U3lWyD14HOaB-H5Glrgp5g/348s.jpg,3.5,3,Dhoby Ghaut,"['Bistros', 'Tapas/Small Plates']",2.0
Mount Sophia,The Banana Leaf Apolo,www.yelp.com/biz/the-banana-leaf-apolo-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/H8QzhiJxj5uphyC-hOsuow/348s.jpg,4,41,Farrer Park,"['Indian', 'Asian Fusion']",2.0
Mount Sophia,Sakae Teppanyaki,www.yelp.com/biz/sakae-teppanyaki-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Ax9CKcJZgC0cbZ6Qpjg2tA/348s.jpg,5,1,Mount Sophia,['Japanese'],
Mount Sophia,Riverside Indonesian BBQ,www.yelp.com/biz/riverside-indonesian-bbq-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Z5eUqOWchEw78Dfw7WRZYw/348s.jpg,4.5,5,Mount Sophia,"['Indonesian', 'Barbeque']",1.0
Mount Sophia,Vatos Urban Tacos,www.yelp.com/biz/vatos-urban-tacos-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/O7cE5crP8GRG6LNZMUBlYA/348s.jpg,4,90,Bugis,['Mexican'],2.0
Mount Sophia,Sri Vijaya,www.yelp.com/biz/sri-vijaya-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/g6OfMHgDUDLMjTmqRBgVWw/348s.jpg,4,2,Mount Sophia,"['Indian', 'Vegetarian', 'Imported Food']",
Mount Sophia,Let’s Meat Up Robatayaki,www.yelp.com/biz/lets-meat-up-robatayaki-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/JRZKDkOWhYI2QYZXPUihTw/348s.jpg,4,2,Mount Sophia,['Japanese'],
Mount Sophia,Maki-San,www.yelp.com/biz/maki-san-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/A2kzEngRkz7n2PHgq_iClw/348s.jpg,4.5,15,Dhoby Ghaut,['Japanese'],1.0
Mount Sophia,Jai Thai,www.yelp.com/biz/jai-thai-singapore-5?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/siNy846086lEy88UXaBWKg/348s.jpg,4,1,Dhoby Ghaut,['Thai'],
Mount Sophia,Hospoda Microbrewery,www.yelp.com/biz/hospoda-microbrewery-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/5E_rwxYzzX2LsTpJU5R4pw/348s.jpg,3.5,5,Bencoolen,"['Breweries', 'Modern European']",2.0
Mount Sophia,Food Republic,www.yelp.com/biz/food-republic-singapore-19?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/oI67vPo8jsmss8nu_IUKzw/348s.jpg,3,8,Bencoolen,"['Food Court', 'Singaporean']",1.0
Mount Sophia,Vietnamese Stall - Sim Lim Square Food Court,www.yelp.com/biz/vietnamese-stall-sim-lim-square-food-court-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/PwnKn0v8WsHnk3ktisXqSg/348s.jpg,4.5,4,Bencoolen,['Vietnamese'],
Mount Sophia,Allauddin’s Briyani,www.yelp.com/biz/allauddins-briyani-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/_kQo9MeYP_hzHcyYsP5T2w/348s.jpg,4,8,Little India,"['Indian', 'Halal', 'Street Vendors']",1.0
Mount Sophia,Hai Xian Lao,www.yelp.com/biz/hai-xian-lao-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/2vVUDbPziUPcL0LGQrQZDw/348s.jpg,2.5,2,Mount Sophia,['Hot Pot'],
