neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Newton,Eggslut,www.yelp.com/biz/eggslut-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/arcU0YDyMlU0ifgqVMaBYw/348s.jpg,3,1,Orchard,"['Sandwiches', 'Breakfast & Brunch']",
Newton,Fatboy’s The Burger Bar,www.yelp.com/biz/fatboys-the-burger-bar-singapore-7?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/hwUj8zzKoA3s_nN6WLdwRQ/348s.jpg,4,19,Orchard,['Burgers'],2.0
Newton,Hong Kong Street Family Restaurant,www.yelp.com/biz/hong-kong-street-family-restaurant-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/NL32zt4446GpKU10XYoelA/348s.jpg,4.5,13,Novena,['Cantonese'],1.0
Newton,Smiths Authentic British Fish And Chips,www.yelp.com/biz/smiths-authentic-british-fish-and-chips-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/9bHzh19wPvLne77XxOGZDA/348s.jpg,3,8,Newton,"['British', 'Fish & Chips']",2.0
Newton,Tatsuya,www.yelp.com/biz/tatsuya-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/eoiQBnfGVGZmO3Z3-vbL6A/348s.jpg,4,21,Newton,"['Japanese', 'Sushi Bars']",4.0
Newton,Lang Nuong Viet Nam,www.yelp.com/biz/lang-nuong-viet-nam-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/PKKRtfZKUrjEkDyY8DFnPg/348s.jpg,4.5,5,Little India,"['Vietnamese', 'Barbeque']",2.0
Newton,La Strada,www.yelp.com/biz/la-strada-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/JJIHBU2QNI3F3cuRF3sPdQ/348s.jpg,4.5,16,Tanglin,['Italian'],3.0
Newton,Indian Palace,www.yelp.com/biz/indian-palace-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/woyoP8Dve_s93hOS8atH6w/348s.jpg,4,2,Newton,['Indian'],
Newton,Ng Ah Sio Bak Kut Teh @ Chui Huay Lim Club,www.yelp.com/biz/ng-ah-sio-bak-kut-teh-chui-huay-lim-club-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/wCfIdoWNnmql-y60J03BdA/348s.jpg,3.5,5,Newton,['Singaporean'],
Newton,Shabu Shabu Tajimaya,www.yelp.com/biz/shabu-shabu-tajimaya-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/pnkEhsd2EqB6HmAOONnqOw/348s.jpg,4.5,4,Orchard,"['Japanese', 'Hot Pot']",3.0
Newton,hans im glück,www.yelp.com/biz/hans-im-gl%C3%BCck-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/pMYf0Gy8NOoNOeooI-O7Cw/348s.jpg,4,13,Tanglin,"['German', 'Burgers']",
Newton,10 Scotts,www.yelp.com/biz/10-scotts-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/7t5s7AyDILUxt-oiT8YpCA/348s.jpg,4,14,Orchard,"['Buffets', 'Lounges']",3.0
Newton,Teochew Restaurant Huat Kee,www.yelp.com/biz/teochew-restaurant-huat-kee-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/lzTTdLvSm7K9ewR3VTNXsQ/348s.jpg,4.5,2,Tanglin,['Chinese'],4.0
Newton,Ippudo Shaw Centre,www.yelp.com/biz/ippudo-shaw-centre-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/pk7UgkZ1Kt1Xy5F-LAlRbA/348s.jpg,4,14,Tanglin,['Ramen'],2.0
Newton,Food Republic,www.yelp.com/biz/food-republic-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/gDu6ujrGrsIAqsa3WxD2IQ/348s.jpg,4,9,Somerset,['Food Court'],1.0
Newton,Souper Tang,www.yelp.com/biz/souper-tang-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/IC4RdIIQFYkPMUtgXq-j0A/348s.jpg,4.5,2,Somerset,"['Soup', 'Chinese']",
Newton,Imperial Treasure Nan Bei Restaurant,www.yelp.com/biz/imperial-treasure-nan-bei-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/0_DT1z37jRIW133COKXroA/348s.jpg,4.5,13,Orchard,['Chinese'],2.0
