neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Outram,The Butcher’s Wife,www.yelp.com/biz/the-butchers-wife-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/LnKKyxbUPNeZ_H-aP5B_mw/348s.jpg,5,5,Tiong Bahru,['Gluten-Free'],
Outram,Tian Tian Seafood Restaurant,www.yelp.com/biz/tian-tian-seafood-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/C8s14mmHuGmv1jdjM0u3Qw/348s.jpg,4.5,2,Tiong Bahru,"['Seafood', 'Chinese']",2.0
Outram,Chapter 55,www.yelp.com/biz/chapter-55-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/O8n8PNr4vATfKSw4So9qpg/348s.jpg,4,12,Tiong Bahru,"['Bistros', 'Italian', 'Ice Cream & Frozen Yogurt']",2.0
Outram,Merci Marcel,www.yelp.com/biz/merci-marcel-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ce0zPdtttw7kv8hTXoWuog/348s.jpg,4.5,6,Tiong Bahru,['French'],
Outram,Heart of Darkness Singapore,www.yelp.com/biz/heart-of-darkness-singapore-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/wbW1UMVdDUurKI3MucLicA/348s.jpg,5,4,Chinatown,"['Bars', 'Tapas/Small Plates', 'Gastropubs']",
Outram,Jian Bo Shui Kueh,www.yelp.com/biz/jian-bo-shui-kueh-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/HymSZkYCFScMsVaaHSHOwQ/348s.jpg,4.5,16,Tiong Bahru,"['Singaporean', 'Food Stands']",1.0
Outram,House of Peranakan Petit,www.yelp.com/biz/house-of-peranakan-petit-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/l6xwKAqD1f0MUpSpXF1Lug/348s.jpg,4,8,Tiong Bahru,['Malaysian'],2.0
Outram,Ah Chiang’s Porridge,www.yelp.com/biz/ah-chiangs-porridge-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/pAOBg1L4RJLWvhdaRFxKuQ/348s.jpg,3.5,15,Tiong Bahru,['Congee'],1.0
Outram,Tiong Bahru Pau,www.yelp.com/biz/tiong-bahru-pau-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/3do7CtTfjqYOUsBeTJ7IWg/348s.jpg,4,5,Tiong Bahru,['Dim Sum'],1.0
Outram,Kafe Utu,www.yelp.com/biz/kafe-utu-no-title?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/MnE6aQuBk4phxz_CImVh4Q/348s.jpg,5,4,Chinatown,['Cafes'],
Outram,Tiong Bahru Pau,www.yelp.com/biz/tiong-bahru-pau-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/3do7CtTfjqYOUsBeTJ7IWg/348s.jpg,4,5,Tiong Bahru,['Dim Sum'],1.0
Outram,Botanist,www.yelp.com/biz/botanist-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/r83ds2JdDdGQXRF4uFxOaA/348s.jpg,4,6,Chinatown,['Cafes'],
Outram,Liao Fan Hawker Chan,www.yelp.com/biz/liao-fan-hawker-chan-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/LMpD02h3B5mvUyBs894lcQ/348s.jpg,4,140,Chinatown,"['Noodles', 'Chicken Shop']",1.0
Outram,Unique Pot,www.yelp.com/biz/unique-pot-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/oIjfov96xr5zXrovRXyIgA/348s.jpg,5,1,Tiong Bahru,"['Singaporean', 'Chinese']",
Outram,Man Man Japanese Unagi,www.yelp.com/biz/man-man-japanese-unagi-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/O7IShQvGWku0u6y9uTohzA/348s.jpg,5,19,Chinatown,['Japanese'],2.0
Outram,Ya Hua Bak Kut Teh,www.yelp.com/biz/ya-hua-bak-kut-teh-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/WdmLxtGEiPOpnnLcUJg3dg/348s.jpg,4.5,12,Tiong Bahru,['Chinese'],2.0
Outram,Zhong Guo La Mian Xiao Long Bao,www.yelp.com/biz/zhong-guo-la-mian-xiao-long-bao-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/9eg43-cvcykPeufa1sLoIQ/348s.jpg,4.5,30,Chinatown,"['Shanghainese', 'Dim Sum', 'Noodles']",1.0
Outram,Kok Sen Restaurant,www.yelp.com/biz/kok-sen-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/_9Bs9pqeQZzfvA5vPjHTwQ/348s.jpg,4,18,Chinatown,['Asian Fusion'],2.0
Outram,Tiong Bahru Bakery,www.yelp.com/biz/tiong-bahru-bakery-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/RfwcH7BQ4rnFkepV5IojUQ/348s.jpg,4,69,Tiong Bahru,"['Cafes', 'Bakeries']",2.0
Outram,Sam Yat Coffee,www.yelp.com/biz/sam-yat-coffee-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/FPjYJ6mMnENuM3Y2LeTsYg/348s.jpg,4.5,5,Tiong Bahru,"['Desserts', 'Coffee & Tea', 'Breakfast & Brunch']",1.0
Outram,Bakalaki Greek Taverna,www.yelp.com/biz/bakalaki-greek-taverna-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/7PPJ1oXYRdtTtFw6ARoocA/348s.jpg,4.5,21,Tiong Bahru,"['Mediterranean', 'Greek']",4.0
Outram,Beast & Butterflies,www.yelp.com/biz/beast-and-butterflies-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/lqGImsd-mFmqI-PwLH6duA/348s.jpg,3.5,4,Robertson Quay,"['Asian Fusion', 'Bars']",2.0
Outram,Long Ji Zi Char,www.yelp.com/biz/long-ji-zi-char-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/PhyhScodEIsP4noED5qXpA/348s.jpg,4.5,7,Tiong Bahru,['Seafood'],2.0
Outram,Ting Heng Seafood Restaurant,www.yelp.com/biz/ting-heng-seafood-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/uMp3areLANigBSaA-DqbUQ/348s.jpg,4.5,3,Tiong Bahru,['Seafood'],2.0
Outram,Po Restaurant,www.yelp.com/biz/po-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/5pK-GM5OzjtgER4kwtqcrQ/348s.jpg,3.5,7,$$$$,['Singaporean'],4.0
Outram,Hokkaido Ramen Santouka,www.yelp.com/biz/hokkaido-ramen-santouka-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/OMwe1DFAL5onX-DrCT404A/348s.jpg,4.5,59,Clarke Quay,['Ramen'],2.0
