neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Pasir Panjang,Paddy Hills,www.yelp.com/biz/paddy-hills-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/3HDfWqmHS5jnFTqfKq5kDg/348s.jpg,4,16,Kent Ridge,"['Asian Fusion', 'Cafes', 'Breakfast & Brunch']",3.0
Pasir Panjang,Da Lian Traditional Noodles,www.yelp.com/biz/da-lian-traditional-noodles-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/0Uq8G2ZfH6tazzJxcj71wg/348s.jpg,4,19,Lavender,"['Noodles', 'Teochew']",1.0
Pasir Panjang,Chuckwagon BBQ & Grill,www.yelp.com/biz/chuckwagon-bbq-and-grill-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/1CWt0HEhmG9vmwQODOHVVg/348s.jpg,4.5,3,Wessex Estate,"['Barbeque', 'Steakhouses']",
Pasir Panjang,Waa Cow!,www.yelp.com/biz/waa-cow-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ZfTCgwExzk5ydFws3HwIGw/348s.jpg,4,5,Dover,['Japanese'],
Pasir Panjang,The Pirate Sheep,www.yelp.com/biz/the-pirate-sheep-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/QLpAeeg6AHHrxNx1UjlYsA/348s.jpg,5,1,Pasir Panjang,"['Asian Fusion', 'Tapas/Small Plates', 'Imported Food']",
Pasir Panjang,timbre+,www.yelp.com/biz/timbre-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/c6hhUVJU1MzAlVkMfVPWYA/348s.jpg,3.5,18,one-north,"['Food Court', 'Venues & Event Spaces']",2.0
Pasir Panjang,Ju Shin Jung,www.yelp.com/biz/ju-shin-jung-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/7Fz7kt1gXsakmyR1Xb-70A/348s.jpg,4,5,Pasir Panjang,['Korean'],3.0
Pasir Panjang,La Bussola,www.yelp.com/biz/la-bussola-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/APNART9h3wQtqqOCxMRHuw/348s.jpg,4,1,Wessex Estate,"['Vegetarian', 'Italian']",
Pasir Panjang,Gaia Korean Grill + Bar,www.yelp.com/biz/gaia-korean-grill-bar-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/1HDYtnIZJitQ9aTxp2inRA/348s.jpg,5,2,Holland Village,"['Korean', 'Asian Fusion', 'Tapas/Small Plates']",
Pasir Panjang,Roots One North,www.yelp.com/biz/roots-one-north-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/JVKI7Jx6FRI3ZQU-L8CULw/348s.jpg,4,2,one-north,['Cafes'],
Pasir Panjang,Gyu-Kaku,www.yelp.com/biz/gyu-kaku-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Zx_vQmaqlfpG2Y85NjamSQ/348s.jpg,4,6,Novena,"['Japanese', 'Barbeque']",3.0
Pasir Panjang,National Kitchen By Violet Oon,www.yelp.com/biz/national-kitchen-by-violet-oon-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/G2xYewOZsMsguentS_j7tA/348s.jpg,4.5,39,City Hall,"['Asian Fusion', 'Singaporean']",3.0
Pasir Panjang,Nakhon Kitchen,www.yelp.com/biz/nakhon-kitchen-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/VvNGGOWGD7GvR_bC4WnsyA/348s.jpg,3.5,27,Holland Village,['Thai'],1.0
Pasir Panjang,Kaiseki Yoshiyuki,www.yelp.com/biz/kaiseki-yoshiyuki-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/i6qIw6ed5NGaL3hNhEUbeQ/348s.jpg,4.5,2,Tanglin,['Japanese'],
Pasir Panjang,The RiceTable,www.yelp.com/biz/the-ricetable-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/oIWGJRpxE1maurzeqkE2Dg/348s.jpg,4.5,9,Tanglin,['Indonesian'],2.0
Pasir Panjang,Beng Hiang Restaurant,www.yelp.com/biz/beng-hiang-restaurant-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/AqJVahJiILyMJ2Q4c5y_Eg/348s.jpg,5,1,Jurong,['Hokkien'],2.0
Pasir Panjang,The Cliff at Sentosa,www.yelp.com/biz/the-cliff-at-sentosa-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/BUl2k-hcyJ66Q5wZh5GScQ/348s.jpg,4.5,4,Sentosa,['Modern European'],4.0
Pasir Panjang,Ma Maison,www.yelp.com/biz/ma-maison-singapore-5?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/TZS9ZXy_J2OpaudYX7bO-w/348s.jpg,4.5,2,Alexandra,['Asian Fusion'],2.0
Pasir Panjang,Curate,www.yelp.com/biz/curate-southern-islands?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/b_EvIZc12DEBdQeSSU5RFg/348s.jpg,5,2,Sentosa,['Pop-Up Restaurants'],4.0
Pasir Panjang,Cafe on the Ridge,www.yelp.com/biz/cafe-on-the-ridge-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/ec91c6e75078/assets/img/default_avatars/business_medium_square.png,4,2,Pasir Panjang,['Bistros'],2.0
Pasir Panjang,Dario pizza&more,www.yelp.com/biz/dario-pizza-and-more-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/8_h5p_Nz5z6hHwO8KPBxog/348s.jpg,4,4,Pasir Panjang,"['Pizza', 'Italian', 'Gastropubs']",
Pasir Panjang,Unique Pot,www.yelp.com/biz/unique-pot-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/oIjfov96xr5zXrovRXyIgA/348s.jpg,5,1,Tiong Bahru,"['Singaporean', 'Chinese']",
Pasir Panjang,Fat Belly,www.yelp.com/biz/fat-belly-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/KgAxIRc-gakWiNnFXyUIug/348s.jpg,5,2,Bukit Timah,['Steakhouses'],
Pasir Panjang,John’s Pizzeria and Bakery,www.yelp.com/biz/johns-pizzeria-and-bakery-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/KSL4fJ202zgv1VmaeVFd6Q/348s.jpg,5,1,Alexandra,['Pizza'],
Pasir Panjang,Kaz Japanese Fusion Sushi,www.yelp.com/biz/kaz-japanese-fusion-sushi-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/5c4N_85q-w5iNSI0M9eQ3w/348s.jpg,5,1,$$,['Japanese'],2.0
Pasir Panjang,Sanpoutei Ramen,www.yelp.com/biz/sanpoutei-ramen-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/C8irUP8vFRrWj6cWSyFsGA/348s.jpg,4,17,Holland Village,['Ramen'],2.0
Pasir Panjang,Holland Village XO Fish Head Bee Hun Restaurant,www.yelp.com/biz/holland-village-xo-fish-head-bee-hun-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Mp6tBeS9RKCcUXKx1AqocA/348s.jpg,4,18,Dover,['Chinese'],1.0
