neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Queenstown,Candlenut,www.yelp.com/biz/candlenut-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/N1JIjyLDVS6puaTR51ug3Q/348s.jpg,3.5,36,Dempsey Hill,"['Asian Fusion', 'Singaporean', 'Chinese']",4.0
Queenstown,Soi Thai Soi Nice,www.yelp.com/biz/soi-thai-soi-nice-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/qmndjmkNW-8efdtjqW6WMw/348s.jpg,4.5,2,Alexandra,['Thai'],
Queenstown,Chang Korean Charcoal BBQ,www.yelp.com/biz/chang-korean-charcoal-bbq-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/toDGABnS2FnFRorziUyY8Q/348s.jpg,3.5,9,Dempsey Hill,['Korean'],2.0
Queenstown,Jones the Grocer,www.yelp.com/biz/jones-the-grocer-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/r5nxVGjjWTCAOwNn_jTNcg/348s.jpg,3.5,33,Dempsey Hill,"['Coffee & Tea', 'Breakfast & Brunch', 'Grocery']",3.0
Queenstown,Tawandang Microbrewery,www.yelp.com/biz/tawandang-microbrewery-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/bzTVGS7BGAtVWHPTQ6NPfg/348s.jpg,3.5,18,Dempsey Hill,"['Thai', 'Beer, Wine & Spirits', 'Breweries']",3.0
Queenstown,Din Tai Fung,www.yelp.com/biz/din-tai-fung-singapore-5?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/fxsbP8mMJJSZdD1e9P6nFA/348s.jpg,4.5,132,Orchard,"['Taiwanese', 'Dim Sum', 'Dumplings']",2.0
Queenstown,The White Rabbit,www.yelp.com/biz/the-white-rabbit-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/d1oKECNyuKIxLPulVr6uBg/348s.jpg,3.5,37,Queenstown,"['Bars', 'Modern European']",3.0
Queenstown,Lao You Xuan Noodle Kitchen,www.yelp.com/biz/lao-you-xuan-noodle-kitchen-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Rt3ZSpDTg1K01W3HnQe-0A/348s.jpg,5,1,River Valley,"['Singaporean', 'Noodles', 'Soup']",1.0
Queenstown,Hainanese Delicacy Chicken Rice,www.yelp.com/biz/hainanese-delicacy-chicken-rice-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/-kiR85TeeIryfwD6HCo4gw/348s.jpg,4.5,39,Orchard,"['Chicken Shop', 'Hainan']",1.0
Queenstown,La Salsa,www.yelp.com/biz/la-salsa-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/jUSw_npuf0nCX7mLJk1RbQ/348s.jpg,3.5,12,Dempsey Hill,['Mexican'],2.0
Queenstown,Jumbo Seafood,www.yelp.com/biz/jumbo-seafood-singapore-7?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/cHYGNe0sTqSF2z8Gzm0Jjg/348s.jpg,4,40,Dempsey Hill,['Seafood'],3.0
Queenstown,Tai Liok Claypot Chicken Rice,www.yelp.com/biz/tai-liok-claypot-chicken-rice-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/QdwWgDk-D7ZxD2QjQqQEXg/348s.jpg,5,1,Alexandra,"['Street Vendors', 'Chinese']",
Queenstown,Pistachio,www.yelp.com/biz/pistachio-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Ugqd9d02qjcYDgPmlQaZnw/348s.jpg,4,10,Tanglin,"['Mediterranean', 'Middle Eastern']",
Queenstown,Ah Pang Steamboat Seafood,www.yelp.com/biz/ah-pang-steamboat-seafood-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/i5EcafS44kF8IGRe37i02Q/348s.jpg,4,1,Queenstown,"['Street Vendors', 'Seafood', 'Chinese']",1.0
Queenstown,Jian Bo Shui Kueh,www.yelp.com/biz/jian-bo-shui-kueh-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/HymSZkYCFScMsVaaHSHOwQ/348s.jpg,4.5,16,Tiong Bahru,"['Singaporean', 'Food Stands']",1.0
Queenstown,Chuan Kee Seafood,www.yelp.com/biz/chuan-kee-seafood-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/5rpvK161BLLV3qhmj6s6Nw/348s.jpg,4,1,Redhill,['Seafood'],
