neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
River Valley,Lao You Xuan Noodle Kitchen,www.yelp.com/biz/lao-you-xuan-noodle-kitchen-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Rt3ZSpDTg1K01W3HnQe-0A/348s.jpg,5,1,River Valley,"['Singaporean', 'Noodles', 'Soup']",1.0
River Valley,IndoChili Indonesian Restaurant,www.yelp.com/biz/indochili-indonesian-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/LxWPi53jYp5ePuNAfSiQ9Q/348s.jpg,3.5,9,River Valley,"['Indonesian', 'Halal', 'Seafood']",2.0
River Valley,The Butcher’s Wife,www.yelp.com/biz/the-butchers-wife-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/LnKKyxbUPNeZ_H-aP5B_mw/348s.jpg,5,5,Tiong Bahru,['Gluten-Free'],
River Valley,Crystal Jade La Mian Xiao Long Bao,www.yelp.com/biz/crystal-jade-la-mian-xiao-long-bao-singapore-5?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/xCzIHKr1BY15-cyBKX4hRQ/348s.jpg,4.5,2,River Valley,"['Chinese', 'Asian Fusion']",
River Valley,Boon Tong Kee,www.yelp.com/biz/boon-tong-kee-singapore-5?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/cVe2fSmTn82FJ4bfm5NLKQ/348s.jpg,3.5,40,River Valley,"['Chinese', 'Chicken Shop']",2.0
River Valley,Ginza Anzu,www.yelp.com/biz/ginza-anzu-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/dgjzMdBYoiEABClEq2Yzqg/348s.jpg,4.5,3,River Valley,['Japanese'],
River Valley,Ya Hua Bak Kut Teh,www.yelp.com/biz/ya-hua-bak-kut-teh-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/WdmLxtGEiPOpnnLcUJg3dg/348s.jpg,4.5,12,Tiong Bahru,['Chinese'],2.0
River Valley,Bistro Du Vin,www.yelp.com/biz/bistro-du-vin-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/gkzcenzw4LWll31NfrJ-5w/348s.jpg,4,14,River Valley,['French'],3.0
River Valley,The Blue Ginger,www.yelp.com/biz/the-blue-ginger-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/a5ASTgxkzG9FnX1NUzjG7Q/348s.jpg,4,1,River Valley,"['Seafood', 'Noodles', 'Soup']",
River Valley,Men-ichi Sapporo Ramen,www.yelp.com/biz/men-ichi-sapporo-ramen-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/u9nvp2liYGbO0u8-Iz3ErQ/348s.jpg,5,1,River Valley,['Ramen'],
River Valley,Beast & Butterflies,www.yelp.com/biz/beast-and-butterflies-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/lqGImsd-mFmqI-PwLH6duA/348s.jpg,3.5,4,Robertson Quay,"['Asian Fusion', 'Bars']",2.0
River Valley,Cibo Italiano,www.yelp.com/biz/cibo-italiano-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/h_Sgi7fdD0H2OEnJTt-3Ug/348s.jpg,4,6,River Valley,"['Wine Bars', 'Italian', 'Imported Food']",2.0
River Valley,Lim Joo Hin Eating House,www.yelp.com/biz/lim-joo-hin-eating-house-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/mkgicb0UUA0S7MCYOU_--w/348s.jpg,4,4,Tiong Bahru,['Singaporean'],
River Valley,Boon Tong Kee Kway Chap,www.yelp.com/biz/boon-tong-kee-kway-chap-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/4HG5snoMZWcG-zwP5bke5w/348s.jpg,4.5,3,River Valley,['Chinese'],
River Valley,Din Tai Fung,www.yelp.com/biz/din-tai-fung-singapore-5?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/fxsbP8mMJJSZdD1e9P6nFA/348s.jpg,4.5,132,Orchard,"['Taiwanese', 'Dim Sum', 'Dumplings']",2.0
River Valley,Tanglin Food Hall,www.yelp.com/biz/tanglin-food-hall-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Qr53WJVC2e_6X5KXcleDZw/348s.jpg,4.5,3,Tanglin,['Food Court'],
River Valley,No. 18 Zion Road Char Kway Teow,www.yelp.com/biz/no-18-zion-road-char-kway-teow-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/w5gIeItqOY2mSCG3_Pb4TQ/348s.jpg,4,20,River Valley,"['Asian Fusion', 'Singaporean', 'Noodles']",1.0
River Valley,Spize,www.yelp.com/biz/spize-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/l2okANRhVoUKovyxxpa8IA/348s.jpg,3.5,42,River Valley,"['Cafes', 'Asian Fusion']",2.0
River Valley,2it & Drink,www.yelp.com/biz/2it-and-drink-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/wT9vcbiYxS9Tv0uEdJfiug/348s.jpg,4.5,11,River Valley,"['Italian', 'Bars', 'Pizza']",
River Valley,Jin Tian Seafood Stir Fried Delights,www.yelp.com/biz/jin-tian-seafood-stir-fried-delights-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/mAjCf5JBW_5XTlFp5iFtQA/348s.jpg,4,1,River Valley,['Seafood'],
River Valley,Jumbo,www.yelp.com/biz/jumbo-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Z_yMmQdBLCRh20e_le2Zvw/348s.jpg,4.5,6,Orchard,"['Seafood', 'Singaporean']",
River Valley,Boon Tiong Kee Hainanese Chicken Rice,www.yelp.com/biz/boon-tiong-kee-hainanese-chicken-rice-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/sSCQhm83s7YKJnpvt-gOlg/348s.jpg,4,1,River Valley,['Chinese'],
River Valley,Peperoni Pizzeria,www.yelp.com/biz/peperoni-pizzeria-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/t66AC13dGCfqD0ZiY7Y7-g/348s.jpg,3.5,21,River Valley,['Pizza'],2.0
River Valley,Killiney Kopitiam,www.yelp.com/biz/killiney-kopitiam-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/1iXwlxT7ESULYVh_YsKPOg/348s.jpg,4,49,Somerset,"['Breakfast & Brunch', 'Coffee & Tea']",1.0
River Valley,Hokkaido Ramen Santouka,www.yelp.com/biz/hokkaido-ramen-santouka-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/OMwe1DFAL5onX-DrCT404A/348s.jpg,4.5,59,Clarke Quay,['Ramen'],2.0
River Valley,Unique Pot,www.yelp.com/biz/unique-pot-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/oIjfov96xr5zXrovRXyIgA/348s.jpg,5,1,Tiong Bahru,"['Singaporean', 'Chinese']",
River Valley,Three Buns,www.yelp.com/biz/three-buns-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/1x6m1kvFYn3_2RHX5hNs7A/348s.jpg,4.5,8,Robertson Quay,"['Burgers', 'Cocktail Bars']",
