neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Sembawang,Sunset Grill & Pub,www.yelp.com/biz/sunset-grill-and-pub-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/75CEsFFnf3yY3nLMDDrjTw/348s.jpg,3,5,Sembawang,['American (Traditional)'],2.0
Sembawang,Beaulieu House,www.yelp.com/biz/beaulieu-house-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/AZxhadATzhNlajXQHThRgg/348s.jpg,4,6,Sembawang,['Chinese'],
Sembawang,Taste of Thailand,www.yelp.com/biz/taste-of-thailand-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/AdAKHqGM-4KjVQvvOyb51g/348s.jpg,4.5,4,Sembawang,['Thai'],
Sembawang,1036 Live Seafood,www.yelp.com/biz/1036-live-seafood-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/SLfssG_QU7oBCBC-2-LG4w/348s.jpg,3.5,4,Sembawang,"['Chinese', 'Seafood']",2.0
Sembawang,Wheeler’s Estate,www.yelp.com/biz/wheelers-estate-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/gV0Mty2f0Tf73XcXMTVe9w/348s.jpg,3,5,Seletar,"['Bistros', 'Breakfast & Brunch']",2.0
Sembawang,Wildseed Café by The Summerhouse,www.yelp.com/biz/wildseed-caf%C3%A9-by-the-summerhouse-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/4jHxLLmtZ4g5W01bIn17iA/348s.jpg,1.5,15,Seletar,['Cafes'],
Sembawang,You Huak Restaurant: Sembawang White Bee Hoon,www.yelp.com/biz/you-huak-restaurant-sembawang-white-bee-hoon-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/rdfvUpZmK9IE8fLVnmzqoA/348s.jpg,4,19,Sembawang,['Chinese'],1.0
Sembawang,Flamingg Mangos,www.yelp.com/biz/flamingg-mangos-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/U0k4lQg5Q9-ICcbuFlnBiw/348s.jpg,3.5,2,Sembawang,['Cafes'],
Sembawang,Yi Shi Kitchen,www.yelp.com/biz/yi-shi-kitchen-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/a0AFYYbSgk18pZR_GVTHBA/348s.jpg,4,1,Yishun,['Chinese'],
Sembawang,Shami Banana Leaf Delights,www.yelp.com/biz/shami-banana-leaf-delights-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/y5R_KLtMHMTZvCzb-F5XtQ/348s.jpg,4.5,2,Woodlands,['Indian'],1.0
Sembawang,White Restaurant - The Original Sembawang White Beehoon,www.yelp.com/biz/white-restaurant-the-original-sembawang-white-beehoon-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/XadcABZ83ht1-I9H_vW3fg/348s.jpg,4,1,Sembawang,['Chinese'],
Sembawang,Woody Family Cafe,www.yelp.com/biz/woody-family-cafe-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/oIzjDhEDXzbLvZBm8_pIAQ/348s.jpg,3,1,Sembawang,['Cafes'],2.0
Sembawang,Authentic Penang Food,www.yelp.com/biz/authentic-penang-food-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/ec91c6e75078/assets/img/default_avatars/business_medium_square.png,5,1,Yishun,['Malaysian'],
Sembawang,Eatzi Steakhouse & Bistro,www.yelp.com/biz/eatzi-steakhouse-and-bistro-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/YatLikUdBDVauKyiWaMNrw/348s.jpg,4,2,Yishun,"['American (Traditional)', 'Halal', 'Bistros']",
Sembawang,Orchid Live Seafood,www.yelp.com/biz/orchid-live-seafood-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/9ahWopaWb8TOBL-OiFTvbg/348s.jpg,4.5,8,Yishun,['Seafood'],3.0
Sembawang,Sum’s Kitchen & Hong Kong Roasted Meat,www.yelp.com/biz/sums-kitchen-and-hong-kong-roasted-meat-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/9rv1ZY8vb_nK0_RgggVinQ/348s.jpg,4,1,Sembawang,['Chinese'],
Sembawang,Tea Garden,www.yelp.com/biz/tea-garden-masai?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/pdqi7tRPhzd_p70DqOIAyQ/348s.jpg,3,2,,['Malaysian'],
Sembawang,Restoran Todak,www.yelp.com/biz/restoran-todak-masai?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/aNjitOlKon3I6pungx4P-Q/348s.jpg,3.5,2,,['Restaurants'],
Sembawang,1036 Eating House,www.yelp.com/biz/1036-eating-house-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/ec91c6e75078/assets/img/default_avatars/business_medium_square.png,3,1,Sembawang,['Singaporean'],
Sembawang,Prosperous Kitchen,www.yelp.com/biz/prosperous-kitchen-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/fT7nhFia6_l-Z_Lkrx2CTw/348s.jpg,4,1,Sembawang,['Chinese'],
Sembawang,Tasty Loong,www.yelp.com/biz/tasty-loong-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/f10Ja46XVLfuVxRztpg0gA/348s.jpg,5,1,Yishun,"['Chinese', 'Seafood', 'Singaporean']",
Sembawang,Soek Seng 1954,www.yelp.com/biz/soek-seng-1954-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/QEOjzc9dvC8CO15kQJq7DQ/348s.jpg,3.5,6,Seletar,"['Cafes', 'Bikes']",2.0
Sembawang,Sembawang Traditional Claypot Rice,www.yelp.com/biz/sembawang-traditional-claypot-rice-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/KvdYvlFes1-vmVs9IbV2fg/348s.jpg,3.5,4,Sembawang,['Chinese'],2.0
Sembawang,Pin Si,www.yelp.com/biz/pin-si-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Ma87QevBUP-F6ZASMpCjVA/348s.jpg,4.5,6,Yishun,['Chinese'],3.0
Sembawang,Young’s Bar & Resturant,www.yelp.com/biz/youngs-bar-and-resturant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/o1veoFta7RiD1R1NyQ074Q/348s.jpg,2,2,Seletar,"['Italian', 'Bars', 'Modern European']",
Sembawang,东小馆,www.yelp.com/biz/east-bistro-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Z3xevCvhhw-CS4WcsM9bUw/348s.jpg,3.5,3,Sembawang,['Dim Sum'],
Sembawang,Ming Kitchen,www.yelp.com/biz/ming-kitchen-singapore-5?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/pckSp99mc27iKNqG1Pq9WA/348s.jpg,4,1,Woodlands,"['Seafood', 'Chinese']",1.0
Sembawang,Seoul Chicken,www.yelp.com/biz/seoul-chicken-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/95hfqS6KoHywdIa7RIvmLQ/348s.jpg,3,1,Yishun,['Korean'],
Sembawang,Chye Lye Curry Fish Head,www.yelp.com/biz/chye-lye-curry-fish-head-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/F_A1P6OF2Op3hzXSq62VQw/348s.jpg,4,1,Sembawang,['Seafood'],
Sembawang,Ocean Spoon Dining,www.yelp.com/biz/ocean-spoon-dining-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Ai4zPHTCbhrbCC0rJQ8NBw/348s.jpg,3,1,Sembawang,['Chinese'],
Sembawang,Chong Pang Market & Food Centre,www.yelp.com/biz/chong-pang-market-and-food-centre-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/hf_Hm_-6-1leORlyxRQMOA/348s.jpg,4.5,2,Yishun,['Asian Fusion'],1.0
Sembawang,101 Seafood Gourmet,www.yelp.com/biz/101-seafood-gourmet-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/QpWS9LqzZSWYI-ethNyI7g/348s.jpg,4,1,Yishun,['Chinese'],
Sembawang,Long Jiang Chinos,www.yelp.com/biz/long-jiang-chinos-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Z8IGhsLVMGJ8FIRO11SI8w/348s.jpg,3.5,2,Yishun,['Chinese'],
Sembawang,928 Yishun Laksa,www.yelp.com/biz/928-yishun-laksa-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/zLJUwf1bB7dAKk7ODk0O4Q/348s.jpg,4,5,Yishun,"['Street Vendors', 'Noodles']",1.0
Sembawang,Peri Peri,www.yelp.com/biz/peri-peri-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/4EqvRDC4VqcW3q9D9MNFQA/348s.jpg,1,2,Mandai,['Breakfast & Brunch'],
Sembawang,Bei Sheng Seafood Restaurant,www.yelp.com/biz/bei-sheng-seafood-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/PfnxRBysefAt87CUwtzg9Q/348s.jpg,4.5,3,Yishun,"['Chinese', 'Thai']",1.0
