neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Simei,Porta Porta Italian,www.yelp.com/biz/porta-porta-italian-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/5TcTQOu-Ez9XdZGacIp6Hw/348s.jpg,5,5,Simei,"['Modern European', 'Italian']",4.0
Simei,Ambeng Cafe,www.yelp.com/biz/ambeng-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/KK5TAkar6bCT3RlSn_vKMg/348s.jpg,5,1,Simei,['Indonesian'],
Simei,Momoya Japanese Restaurant,www.yelp.com/biz/momoya-japanese-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/uEAnWcPYuAMi8JFdksEFog/348s.jpg,4,4,Simei,['Japanese'],
Simei,Lao Huo Tang,www.yelp.com/biz/lao-huo-tang-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/SELgMSo6DlgfNNDUyqcIqA/348s.jpg,5,1,Tampines,['Chinese'],
Simei,Big Eater Seafood,www.yelp.com/biz/big-eater-seafood-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/lQhjIvsSLPRtMkChut8vbw/348s.jpg,3,9,Simei,"['Chinese', 'Seafood']",2.0
Simei,Five Izakaya,www.yelp.com/biz/five-izakaya-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/8jt60y-uQbEN2pruP3ZuKg/348s.jpg,3.5,5,Changi,"['Izakaya', 'Bars']",
Simei,The Burning Oak,www.yelp.com/biz/the-burning-oak-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/BkAmfjK4xofHCAbjSJDpxA/348s.jpg,3.5,3,Simei,"['American (Traditional)', 'Asian Fusion']",1.0
Simei,Ssikkek BBQ,www.yelp.com/biz/ssikkek-bbq-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/f0vx3gc40wJAn-Jq2xGhlg/348s.jpg,3.5,3,Tampines,['Korean'],2.0
Simei,AS Seafood Soup,www.yelp.com/biz/as-seafood-soup-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/4TaQ5g9unJN5RkAmllelzA/348s.jpg,4,1,Bedok North,"['Seafood', 'Soup', 'Food Stands']",1.0
Simei,Saizeriya,www.yelp.com/biz/saizeriya-singapore-8?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/UAzFL6Zzbp7h_tyeC-koLQ/348s.jpg,4.5,3,Simei,['Italian'],2.0
