neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Tampines,Ssikkek BBQ,www.yelp.com/biz/ssikkek-bbq-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/f0vx3gc40wJAn-Jq2xGhlg/348s.jpg,3.5,3,Tampines,['Korean'],2.0
Tampines,Sakura International Buffet Restaurant,www.yelp.com/biz/sakura-international-buffet-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/VdGQTOGzN1zmtadwVDCdoA/348s.jpg,4,1,Pasir Ris,['Buffets'],
Tampines,Mellben Food Palace,www.yelp.com/biz/mellben-food-palace-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/2Qu64I3RthL5nh19zy5btg/348s.jpg,4,5,Pasir Ris,['Seafood'],2.0
Tampines,Five Spice,www.yelp.com/biz/five-spice-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/offahgAmebNrdpmdicp87g/348s.jpg,5,1,Changi,['Food Court'],
Tampines,Lao Huo Tang,www.yelp.com/biz/lao-huo-tang-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/SELgMSo6DlgfNNDUyqcIqA/348s.jpg,5,1,Tampines,['Chinese'],
Tampines,Coastal Rhythm Cafe & Bar,www.yelp.com/biz/coastal-rhythm-cafe-and-bar-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/RW2R7HXTteeB6ECpouB1yQ/348s.jpg,5,1,Marine Parade,"['Bars', 'Cafes']",
Tampines,Refuel Cafe,www.yelp.com/biz/refuel-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Rl461NZ6MMImIio9Eqt92w/348s.jpg,4,6,Bedok Reservoir,"['Cafes', 'Breakfast & Brunch']",1.0
Tampines,Ambeng Cafe,www.yelp.com/biz/ambeng-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/KK5TAkar6bCT3RlSn_vKMg/348s.jpg,5,1,Simei,['Indonesian'],
Tampines,Forty Hands East Coast,www.yelp.com/biz/forty-hands-east-coast-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/1OYL8OuFAspKZoCd0hHMrg/348s.jpg,4.5,2,Katong,['Cafes'],
Tampines,Porta Porta Italian,www.yelp.com/biz/porta-porta-italian-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/5TcTQOu-Ez9XdZGacIp6Hw/348s.jpg,5,5,Simei,"['Modern European', 'Italian']",4.0
Tampines,Hansik Korean Restaurant,www.yelp.com/biz/hansik-korean-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Cg7LBeUc9NT-Caz84ogLEQ/348s.jpg,4,6,$$$,['Korean'],3.0
Tampines,Sin Heng Kee Porridge,www.yelp.com/biz/sin-heng-kee-porridge-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/781AQ5zZIEtFKVdDSKXdwg/348s.jpg,5,10,Hougang,"['Singaporean', 'Congee']",1.0
Tampines,Happy Crab,www.yelp.com/biz/happy-crab-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/lGWzdL3aDbsa9jsLWjtl7Q/348s.jpg,4.5,11,Arab Street,"['Seafood', 'Singaporean']",3.0
Tampines,Stella,www.yelp.com/biz/stella-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/GokbFGYvWLHXBuns8WZVKQ/348s.jpg,4,8,Changi,"['Diners', 'Bars']",2.0
Tampines,419 F&B P/L,www.yelp.com/biz/419-f-and-b-p-l-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/7n4loBQhsCovdUy0DQhg_A/348s.jpg,4,1,Tampines,['Food Court'],
Tampines,AS Seafood Soup,www.yelp.com/biz/as-seafood-soup-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/4TaQ5g9unJN5RkAmllelzA/348s.jpg,4,1,Bedok North,"['Seafood', 'Soup', 'Food Stands']",1.0
Tampines,Rong Kee,www.yelp.com/biz/rong-kee-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/jWFfPmISf3YQ7hQt-kW0xQ/348s.jpg,5,1,Tampines,['Asian Fusion'],1.0
Tampines,Magic Wok,www.yelp.com/biz/magic-wok-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/tS14zfQI9oVObUcSRXi7hw/348s.jpg,4.5,3,Pasir Ris,['Singaporean'],
