neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Tanglin,Tanglin Food Hall,www.yelp.com/biz/tanglin-food-hall-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Qr53WJVC2e_6X5KXcleDZw/348s.jpg,4.5,3,Tanglin,['Food Court'],
Tanglin,Opus Bar & Grill,www.yelp.com/biz/opus-bar-and-grill-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/uRDXyxbqSMqEKnxr63G5Gg/348s.jpg,4.5,7,Tanglin,"['Bars', 'Seafood', 'Steakhouses']",
Tanglin,Jumbo,www.yelp.com/biz/jumbo-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Z_yMmQdBLCRh20e_le2Zvw/348s.jpg,4.5,6,Orchard,"['Seafood', 'Singaporean']",
Tanglin,Fat Cow,www.yelp.com/biz/fat-cow-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/LvOScn9lRIhNS_e3m6tY3A/348s.jpg,4,34,Tanglin,"['Japanese', 'Steakhouses']",4.0
Tanglin,Cosmo Restaurant And Wine Bar,www.yelp.com/biz/cosmo-restaurant-and-wine-bar-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/GOalL111CKUWRyvVUhB59Q/348s.jpg,5,1,Tanglin,"['Wine Bars', 'French', 'Modern European']",
Tanglin,Trattoria Lafiandra,www.yelp.com/biz/trattoria-lafiandra-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/EwSSGeT3oG0ycbM5erlceQ/348s.jpg,4,19,Tanglin,"['Italian', 'Wine Bars']",2.0
Tanglin,Summer Palace,www.yelp.com/biz/summer-palace-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Uk2bR7bCF3kyatD5ob2YYg/348s.jpg,4,11,Tanglin,"['Dim Sum', 'Cantonese']",4.0
Tanglin,Din Tai Fung,www.yelp.com/biz/din-tai-fung-singapore-5?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/fxsbP8mMJJSZdD1e9P6nFA/348s.jpg,4.5,132,Orchard,"['Taiwanese', 'Dim Sum', 'Dumplings']",2.0
Tanglin,Basilico,www.yelp.com/biz/basilico-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/QHT9AzsI_n7kclDK7j-YbA/348s.jpg,4.5,18,Tanglin,"['Italian', 'Buffets']",4.0
Tanglin,The Butcher’s Wife,www.yelp.com/biz/the-butchers-wife-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/LnKKyxbUPNeZ_H-aP5B_mw/348s.jpg,5,5,Tiong Bahru,['Gluten-Free'],
Tanglin,Pistachio,www.yelp.com/biz/pistachio-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Ugqd9d02qjcYDgPmlQaZnw/348s.jpg,4,10,Tanglin,"['Mediterranean', 'Middle Eastern']",
Tanglin,Mo’mor Izakaya,www.yelp.com/biz/momor-izakaya-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/JWmz9Yq5c-m0_JmEDWa7Og/348s.jpg,3.5,4,Tanglin,"['Japanese', 'Seafood']",
Tanglin,Lao You Xuan Noodle Kitchen,www.yelp.com/biz/lao-you-xuan-noodle-kitchen-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Rt3ZSpDTg1K01W3HnQe-0A/348s.jpg,5,1,River Valley,"['Singaporean', 'Noodles', 'Soup']",1.0
Tanglin,Jewel Coffee,www.yelp.com/biz/jewel-coffee-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ImLxPjDJB53zEwolFNBckg/348s.jpg,4.5,8,Tanglin,"['Coffee & Tea', 'Breakfast & Brunch']",2.0
Tanglin,Kaiseki Yoshiyuki,www.yelp.com/biz/kaiseki-yoshiyuki-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/i6qIw6ed5NGaL3hNhEUbeQ/348s.jpg,4.5,2,Tanglin,['Japanese'],
Tanglin,The Other Room,www.yelp.com/biz/the-other-room-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Yu_GAI9-ABvUxGGOI74opQ/348s.jpg,4.5,15,Orchard,"['Tapas/Small Plates', 'Cocktail Bars']",2.0
Tanglin,Shinji By Kanesaka,www.yelp.com/biz/shinji-by-kanesaka-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/GO31cJPJy3vUnAAEutZrBA/348s.jpg,4.5,7,Tanglin,"['Sushi Bars', 'Japanese']",4.0
Tanglin,Shang Palace,www.yelp.com/biz/shang-palace-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/nbg4OLbfzHSzPlV3dMaGRw/348s.jpg,4.5,8,Tanglin,"['Cantonese', 'Dim Sum']",3.0
Tanglin,The Halia,www.yelp.com/biz/the-halia-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/tjpRGzjdtcL1V3_QmXs5jA/348s.jpg,4,27,Bukit Timah,"['Asian Fusion', 'Halal']",2.0
Tanglin,Shabu Shabu Tajimaya,www.yelp.com/biz/shabu-shabu-tajimaya-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/pnkEhsd2EqB6HmAOONnqOw/348s.jpg,4.5,4,Orchard,"['Japanese', 'Hot Pot']",3.0
Tanglin,Su Korean Cuisine,www.yelp.com/biz/su-korean-cuisine-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/sJSH825q3wV2R2yJX5rYkA/348s.jpg,5,1,Orchard,['Korean'],1.0
Tanglin,Teochew Restaurant Huat Kee,www.yelp.com/biz/teochew-restaurant-huat-kee-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/lzTTdLvSm7K9ewR3VTNXsQ/348s.jpg,4.5,2,Tanglin,['Chinese'],4.0
Tanglin,Ma Maison,www.yelp.com/biz/ma-maison-singapore-5?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/TZS9ZXy_J2OpaudYX7bO-w/348s.jpg,4.5,2,Alexandra,['Asian Fusion'],2.0
Tanglin,Beast & Butterflies,www.yelp.com/biz/beast-and-butterflies-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/lqGImsd-mFmqI-PwLH6duA/348s.jpg,3.5,4,Robertson Quay,"['Asian Fusion', 'Bars']",2.0
