neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Tanjong Pagar,Tian Tian Hainanese Chicken Rice,www.yelp.com/biz/tian-tian-hainanese-chicken-rice-singapore-7?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/UJ5Kp3NWi5vyCnUf_ftiFQ/348s.jpg,4,385,Tanjong Pagar,"['Hainan', 'Chicken Shop']",1.0
Tanjong Pagar,A Noodle Story,www.yelp.com/biz/a-noodle-story-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/t9OHmhmOvYa42ltyRYVDxQ/348s.jpg,4.5,28,Tanjong Pagar,"['Food Stands', 'Ramen', 'Singaporean']",1.0
Tanjong Pagar,Torasho Ramen & Charcoal Bar,www.yelp.com/biz/torasho-ramen-and-charcoal-bar-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/8n0lsCecR6zLwq_K5d9B0A/348s.jpg,4.5,4,Tanjong Pagar,"['Bars', 'Ramen']",
Tanjong Pagar,ShuKuu Izakaya,www.yelp.com/biz/shukuu-izakaya-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Fp425O0SUrA6cI693ljfAw/348s.jpg,4,12,Tanjong Pagar,['Izakaya'],2.0
Tanjong Pagar,The Ottoman Room,www.yelp.com/biz/the-ottoman-room-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/YQ02j1jcAlGfoeT5BY6hUA/348s.jpg,5,2,Tanjong Pagar,"['Turkish', 'Middle Eastern']",
Tanjong Pagar,Ah Tai Hainanese Chicken Rice,www.yelp.com/biz/ah-tai-hainanese-chicken-rice-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/rVZe-rS7E6mmqyQX-8zO4w/348s.jpg,4.5,56,Tanjong Pagar,"['Chicken Shop', 'Hainan']",1.0
Tanjong Pagar,My Little Tapas Bar,www.yelp.com/biz/my-little-tapas-bar-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/6sG-gKPVP-bQTAw7GIh4uw/348s.jpg,4.5,8,Ann Siang Hill,"['Tapas/Small Plates', 'Spanish']",3.0
Tanjong Pagar,VENUE By Sebastian,www.yelp.com/biz/venue-by-sebastian-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/v8OBkfGASCxqpFtyTeG5xw/348s.jpg,4.5,4,Tanjong Pagar,['Modern European'],
Tanjong Pagar,Superstar K,www.yelp.com/biz/superstar-k-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/NvgN5y5lZ3JDAxvL1GfoPA/348s.jpg,4.5,14,Duxton Hill,"['Korean', 'Barbeque']",3.0
Tanjong Pagar,Yu Tang Clan - Guoco Tower,www.yelp.com/biz/yu-tang-clan-guoco-tower-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/g4gX-238meMYO9xR8VmpQw/348s.jpg,4,1,Tanjong Pagar,"['Soup', 'Seafood', 'Singaporean']",
Tanjong Pagar,Hamburg Steak Keisuke,www.yelp.com/biz/hamburg-steak-keisuke-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/6YKlONiE935JUHHX8JQTKg/348s.jpg,4.5,11,Tanjong Pagar,"['Teppanyaki', 'Steakhouses']",2.0
Tanjong Pagar,Two Blur Guys,www.yelp.com/biz/two-blur-guys-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/6Beitpp6_pnbBu0K6ByEkg/348s.jpg,4,25,Tanjong Pagar,"['Cafes', 'Burgers']",2.0
Tanjong Pagar,Five Oars Coffee Roasters,www.yelp.com/biz/five-oars-coffee-roasters-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/7ERJ44MysrQoDG6exkdFdg/348s.jpg,4.5,6,Duxton Hill,"['Coffee Roasteries', 'Breakfast & Brunch']",2.0
Tanjong Pagar,Zhong Guo La Mian Xiao Long Bao,www.yelp.com/biz/zhong-guo-la-mian-xiao-long-bao-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/9eg43-cvcykPeufa1sLoIQ/348s.jpg,4.5,30,Chinatown,"['Shanghainese', 'Dim Sum', 'Noodles']",1.0
Tanjong Pagar,The Tippling Club,www.yelp.com/biz/the-tippling-club-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/7F0Ahajk80jl_1X-hB2xvA/348s.jpg,4.5,26,Duxton Hill,"['Bars', 'Vegetarian', 'Asian Fusion']",4.0
Tanjong Pagar,Chico Loco,www.yelp.com/biz/chico-loco-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/xFnRW-g3WPn8O3iSvFeHLQ/348s.jpg,4.5,2,Tanjong Pagar,['Mexican'],
Tanjong Pagar,Hwang Sil,www.yelp.com/biz/hwang-sil-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/FXivD3Fkau_c5hyGIiS1UA/348s.jpg,4,2,Tanjong Pagar,"['Korean', 'Chinese']",2.0
Tanjong Pagar,The Coconut Club - CLOSED,www.yelp.com/biz/the-coconut-club-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/oHFxEPUxeJ63iRhRv4g5nQ/348s.jpg,4,27,Ann Siang Hill,"['Nasi Lemak', 'Singaporean', 'Malaysian']",
Tanjong Pagar,Two Men Bagel House,www.yelp.com/biz/two-men-bagel-house-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/g1bRzXGxoIFwUxlg-bswKQ/348s.jpg,4.5,76,Tanjong Pagar,"['Bagels', 'Breakfast & Brunch', 'Sandwiches']",1.0
