neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Thomson,The Black Sheep Cafe,www.yelp.com/biz/the-black-sheep-cafe-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/rEUbJfZyM05YPvm_P_8G1A/348s.jpg,4,6,Thomson,['French'],4.0
Thomson,The Hideout,www.yelp.com/biz/the-hideout-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/6S_yIAlawYGiwB7Fo3fMKw/348s.jpg,4,1,Bishan,['Bistros'],
Thomson,Trattoria da Mimmo,www.yelp.com/biz/trattoria-da-mimmo-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Hy9bkj6DsRGRbv3sT1bibQ/348s.jpg,5,3,Bishan,['Italian'],
Thomson,Happy Kampong Seafood,www.yelp.com/biz/happy-kampong-seafood-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/rFwdaSepImBU4bxO9Elw1w/348s.jpg,4.5,2,Thomson,"['Chinese', 'Singaporean']",
Thomson,Nanyang Old Taste,www.yelp.com/biz/nanyang-old-taste-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/N_witKz_D3M1647hXhRxhQ/348s.jpg,5,1,Geylang,['Singaporean'],
Thomson,Sakurazaka,www.yelp.com/biz/sakurazaka-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/c-wQBInHuNq3NfQ7TBcwOw/348s.jpg,4.5,3,Bukit Timah,['Japanese'],3.0
Thomson,Wheeler’s Yard,www.yelp.com/biz/wheelers-yard-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/FZbaNN2HiRKWqPxjP1tQXQ/348s.jpg,3.5,24,Novena,"['Cafes', 'Bikes']",2.0
Thomson,Warehouse Bistro,www.yelp.com/biz/warehouse-bistro-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/P27hORkb0QBguWU4w1qUuQ/348s.jpg,4.5,3,Clarke Quay,"['American (Traditional)', 'Italian', 'Singaporean']",
Thomson,Columbus Coffee Co.,www.yelp.com/biz/columbus-coffee-co-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/KkzITSMrXcJM5J2LiowRkw/348s.jpg,5,1,Thomson,['Cafes'],
Thomson,La Pizzaiola,www.yelp.com/biz/la-pizzaiola-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ybhtuLkA6zxatcqFdOOXpw/348s.jpg,4.5,4,Thomson,"['Italian', 'Salad', 'Wine Bars']",3.0
