neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Tiong Bahru,House of Peranakan Petit,www.yelp.com/biz/house-of-peranakan-petit-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/l6xwKAqD1f0MUpSpXF1Lug/348s.jpg,4,8,Tiong Bahru,['Malaysian'],2.0
Tiong Bahru,Bernard’s Kitchen,www.yelp.com/biz/bernards-kitchen-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/c4wpO7JeG_8WjHPPkfDcuA/348s.jpg,4,1,Tiong Bahru,['Singaporean'],1.0
Tiong Bahru,Tuan Yuan Pork Ribs Soup,www.yelp.com/biz/tuan-yuan-pork-ribs-soup-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/UdZIsJe1yGBtdhs7vLiHzA/348s.jpg,5,4,Tiong Bahru,['Chinese'],
Tiong Bahru,Bakalaki Greek Taverna,www.yelp.com/biz/bakalaki-greek-taverna-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/7PPJ1oXYRdtTtFw6ARoocA/348s.jpg,4.5,21,Tiong Bahru,"['Mediterranean', 'Greek']",4.0
Tiong Bahru,Creamier Handcrafted Ice Cream and Coffee,www.yelp.com/biz/creamier-handcrafted-ice-cream-and-coffee-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/u4hzgLzBhZbzDf77faxUkA/348s.jpg,4.5,7,Tiong Bahru,"['Coffee & Tea', 'Waffles', 'Ice Cream & Frozen Yogurt']",
Tiong Bahru,Bincho at Hua Bee,www.yelp.com/biz/bincho-at-hua-bee-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/5iHWx7yCJrNqv4rP6MeAwA/348s.jpg,4,15,Tiong Bahru,['Japanese'],3.0
Tiong Bahru,Beast & Butterflies,www.yelp.com/biz/beast-and-butterflies-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/lqGImsd-mFmqI-PwLH6duA/348s.jpg,3.5,4,Robertson Quay,"['Asian Fusion', 'Bars']",2.0
Tiong Bahru,IndoChili Indonesian Restaurant,www.yelp.com/biz/indochili-indonesian-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/LxWPi53jYp5ePuNAfSiQ9Q/348s.jpg,3.5,9,River Valley,"['Indonesian', 'Halal', 'Seafood']",2.0
Tiong Bahru,Hai San Chicken Rice,www.yelp.com/biz/hai-san-chicken-rice-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/UwAw4swmvCHPj-B2c8iF3g/348s.jpg,5,1,Tiong Bahru,['Chinese'],1.0
Tiong Bahru,TBB Tiong Bahru Bar,www.yelp.com/biz/tbb-tiong-bahru-bar-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/EcHteBGpJU6FixNUmJtH7Q/348s.jpg,3.5,6,Tiong Bahru,"['Wine Bars', 'Gastropubs', 'Music Venues']",2.0
