neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Toa Payoh,Toa Payoh Lor 4 Market,www.yelp.com/biz/toa-payoh-lor-4-market-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/OxTQVPdYbxMLeV3oucS31Q/348s.jpg,3,1,Toa Payoh,['Food Court'],
Toa Payoh,One Ocean,www.yelp.com/biz/one-ocean-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/V9L7G-DRmvkQv09_HmTMJA/348s.jpg,3.5,2,Toa Payoh,"['Chinese', 'Seafood']",
Toa Payoh,Pin Xiang 品香,www.yelp.com/biz/pin-xiang-%E5%93%81%E9%A6%99-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/ec91c6e75078/assets/img/default_avatars/business_medium_square.png,4,1,Toa Payoh,"['Cantonese', 'Ramen']",
Toa Payoh,Jai Thai,www.yelp.com/biz/jai-thai-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Q1PJLqJmWN0i_1VAYL-O7Q/348s.jpg,4,15,Bishan,['Thai'],1.0
Toa Payoh,Gyu-Kaku,www.yelp.com/biz/gyu-kaku-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Zx_vQmaqlfpG2Y85NjamSQ/348s.jpg,4,6,Novena,"['Japanese', 'Barbeque']",3.0
Toa Payoh,New Ubin,www.yelp.com/biz/new-ubin-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/ec91c6e75078/assets/img/default_avatars/business_medium_square.png,5,1,Novena,"['Seafood', 'Singaporean']",
Toa Payoh,Dian Xiao Er,www.yelp.com/biz/dian-xiao-er-singapore-5?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/mLaThewjlU405yYzRDi3ew/348s.jpg,5,3,Bishan,['Chinese'],4.0
Toa Payoh,Pek Kio Market & Food Centre,www.yelp.com/biz/pek-kio-market-and-food-centre-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/abT1vZ3UM9hLC-TdLIqn9g/348s.jpg,4.5,10,Farrer Park,"['Coffee & Tea', 'Breakfast & Brunch']",1.0
Toa Payoh,Once Upon A Thyme,www.yelp.com/biz/once-upon-a-thyme-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/XdpxQgWaJn8RInxB0G_p4Q/348s.jpg,4.5,6,Novena,"['Street Vendors', 'Italian']",1.0
Toa Payoh,Smiths Authentic British Fish And Chips,www.yelp.com/biz/smiths-authentic-british-fish-and-chips-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/9bHzh19wPvLne77XxOGZDA/348s.jpg,3,8,Newton,"['British', 'Fish & Chips']",2.0
