neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Tuas,Green House Cafe,www.yelp.com/biz/green-house-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/rC3cpm2kjUal_1ipEcRLxg/348s.jpg,4,1,Tuas,['Cafes'],
Tuas,Tan Chin Lee Sea-Fresh Restaurant,www.yelp.com/biz/tan-chin-lee-sea-fresh-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/ec91c6e75078/assets/img/default_avatars/business_medium_square.png,3,1,Tuas,['Seafood'],
Tuas,Cosmo,www.yelp.com/biz/cosmo-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/MitguccpZU6yr--h-yTMAQ/348s.jpg,5,1,Boon Lay,['Singaporean'],
Tuas,Raffles Marina Bistro,www.yelp.com/biz/raffles-marina-bistro-no-title?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/FLdNYI3Kmzn_Uw6WusGTGw/348s.jpg,3,5,Tuas,['Singaporean'],2.0
Tuas,Jurong West Hotplate BBQ,www.yelp.com/biz/jurong-west-hotplate-bbq-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/AYZdzSQH5Y2HR_PZzwv-bw/348s.jpg,5,1,Boon Lay,['Seafood'],
Tuas,Kotobuki,www.yelp.com/biz/kotobuki-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/BO_BiSbVDKP-6yYH09768A/348s.jpg,4.5,2,Jurong,['Restaurants'],
Tuas,Crab Corner,www.yelp.com/biz/crab-corner-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/YSzmHwX4oN_xZsvVNQ3iGA/348s.jpg,2.5,4,Boon Lay,"['Seafood', 'Chinese']",
Tuas,Captain’s Table,www.yelp.com/biz/captains-table-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ss47SplUF-i73GgYVR6-4g/348s.jpg,2.5,3,Tuas,['Chinese'],3.0
Tuas,Uncle Leong Seafood,www.yelp.com/biz/uncle-leong-seafood-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/65V1xoFOzh-8wRlDJpTqlw/348s.jpg,3.5,3,Bukit Batok,['Chinese'],3.0
Tuas,Tsukada Nojo,www.yelp.com/biz/tsukada-nojo-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/rTY5njHAyr_igHtMzr6AKQ/348s.jpg,4.5,4,Jurong,"['Japanese', 'Soup']",2.0
Tuas,Malaysia Boleh!,www.yelp.com/biz/malaysia-boleh-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/CHx8_kVgnuUX7W0OJdhL3g/348s.jpg,4.5,7,Boon Lay,"['Asian Fusion', 'Food Court']",2.0
Tuas,Paik’s Bibim,www.yelp.com/biz/paiks-bibim-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/fKD2UhtJnK8d3yCiHn_Z8g/348s.jpg,5,1,Boon Lay,['Korean'],
Tuas,The Carving Board,www.yelp.com/biz/the-carving-board-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/xYrZ3uxkBHOLiSPBa6h-MQ/348s.jpg,3.5,5,Bukit Batok,"['Burgers', 'Barbeque', 'American (Traditional)']",2.0
Tuas,Shokutsu 10-Osaka,www.yelp.com/biz/shokutsu-10-osaka-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/imhbv8jmuFUn4gCOU58Sxg/348s.jpg,5,2,Boon Lay,"['Japanese', 'Sushi Bars']",
Tuas,81 Seafood Restaurant,www.yelp.com/biz/81-seafood-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ZO1mekmcJPtaJMWtX5kIGw/348s.jpg,5,1,Boon Lay,"['Chinese', 'Seafood']",
Tuas,Beng Hiang Restaurant,www.yelp.com/biz/beng-hiang-restaurant-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/AqJVahJiILyMJ2Q4c5y_Eg/348s.jpg,5,1,Jurong,['Hokkien'],2.0
Tuas,Boon Lay Market & Food Village,www.yelp.com/biz/boon-lay-market-and-food-village-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/x0RYzxlecTv8McaFtE2VzA/348s.jpg,3.5,2,Boon Lay,['Food Court'],1.0
Tuas,Vegetarian @ Koufu Pioneer Mall,www.yelp.com/biz/vegetarian-koufu-pioneer-mall-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/gN9Ug6kk38UDXn8dHWxZwg/348s.jpg,4,1,Boon Lay,['Vegan'],1.0
Tuas,Hong Kiat Seafood Restaurant,www.yelp.com/biz/hong-kiat-seafood-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/UyezD-QUXkXjvBlIE6vDgg/348s.jpg,3,1,Choa Chu Kang,['Seafood'],
Tuas,Eggs & Berries,www.yelp.com/biz/eggs-and-berries-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/dMqyTobATOxQdCHaUUvUKw/348s.jpg,5,1,Boon Lay,['Breakfast & Brunch'],
Tuas,The Soup Spoon Union,www.yelp.com/biz/the-soup-spoon-union-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/J0Nt54JYS1YLI6TneqqIHA/348s.jpg,4,1,Boon Lay,"['Salad', 'Soup']",
Tuas,Olio Cafe,www.yelp.com/biz/olio-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Q---MQUFm396sF3dcOtU_w/348s.jpg,4,1,Choa Chu Kang,['Cafes'],
Tuas,Din Tai Fung,www.yelp.com/biz/din-tai-fung-singapore-14?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/v9QkPpO-QwIWDblgZHdh5g/348s.jpg,3.5,6,Boon Lay,"['Shanghainese', 'Taiwanese', 'Dumplings']",2.0
Tuas,Grandma’s,www.yelp.com/biz/grandmas-singapore-8?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/BhrNKKg2EffWUFlzATviwg/348s.jpg,4,1,Boon Lay,['Cafes'],
Tuas,Paradise Dynasty,www.yelp.com/biz/paradise-dynasty-singapore-5?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/yKB6yzsMsZ3E3quttDSdTQ/348s.jpg,4,2,Choa Chu Kang,['Chinese'],2.0
Tuas,Astons’s Specialities,www.yelp.com/biz/astonss-specialities-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/718k-j7WgwJMfAzFDfTGoQ/348s.jpg,3.5,3,Jurong,"['American (Traditional)', 'Steakhouses']",
