neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Ubi,Knots Cafe & Living,www.yelp.com/biz/knots-cafe-and-living-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/csHQWwhGm-IrFYrfmli5YQ/348s.jpg,4.5,7,Ubi,"['Coffee & Tea', 'Breakfast & Brunch']",
Ubi,Yamato Izakaya,www.yelp.com/biz/yamato-izakaya-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/hEHe-nQwcA1Ea-LwIcoNtQ/348s.jpg,4,5,Ubi,"['Sushi Bars', 'Ramen']",
Ubi,Jai’s Thai-Vientiane Cuisine,www.yelp.com/biz/jais-thai-vientiane-cuisine-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/gKJPXEH_8Oheb9DmCSv6dg/348s.jpg,5,1,Ubi,['Thai'],1.0
Ubi,Fragrant Garden,www.yelp.com/biz/fragrant-garden-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/lS8AP26coBUEXVdeDrLX_Q/348s.jpg,5,4,$,['Teochew'],1.0
Ubi,Ubi 33 Food House,www.yelp.com/biz/ubi-33-food-house-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/spadCeRqm-Aq8xcm5CFpMQ/348s.jpg,3,1,Ubi,['Food Court'],
Ubi,Forty Hands East Coast,www.yelp.com/biz/forty-hands-east-coast-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/1OYL8OuFAspKZoCd0hHMrg/348s.jpg,4.5,2,Katong,['Cafes'],
Ubi,Himalaya Kitchen,www.yelp.com/biz/himalaya-kitchen-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/puLYVqbznx6o6BZdOOn5FA/348s.jpg,5,1,Macpherson,"['Himalayan/Nepalese', 'Vegetarian', 'Indian']",
Ubi,Burp Kitchen & Bar - Bedok Reservoir,www.yelp.com/biz/burp-kitchen-and-bar-bedok-reservoir-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/plSYaOWu9rU55v3adMfE_A/348s.jpg,3.5,3,Bedok Reservoir,"['Bars', 'Cafes', 'Venues & Event Spaces']",2.0
Ubi,Goldhill Hakka Restaurant,www.yelp.com/biz/goldhill-hakka-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ay3ualRA0ksXMaG-Fljuyw/348s.jpg,5,5,,"['Hakka', 'Seafood']",
Ubi,Eatzi Gourmet Bistro,www.yelp.com/biz/eatzi-gourmet-bistro-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/w3e8611diezs-wHmtGNqPw/348s.jpg,4,1,Eunos,"['Steakhouses', 'Breakfast & Brunch', 'Halal']",
Ubi,Little Vietnam Restaurant & Cafe,www.yelp.com/biz/little-vietnam-restaurant-and-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/FUTn42NhHq7HaU6oA8B73w/348s.jpg,3.5,9,Geylang,['Vietnamese'],1.0
Ubi,JB Ah Meng,www.yelp.com/biz/jb-ah-meng-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/R1O2t4Mlj2EXMCpGDpEe8Q/348s.jpg,4.5,21,Geylang,"['Chinese', 'Seafood']",2.0
Ubi,Refuel Cafe,www.yelp.com/biz/refuel-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Rl461NZ6MMImIio9Eqt92w/348s.jpg,4,6,Bedok Reservoir,"['Cafes', 'Breakfast & Brunch']",1.0
Ubi,Builders Cafe,www.yelp.com/biz/builders-cafe-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Af00wM1hornJGNsFWZ6Q3Q/348s.jpg,4.5,2,Geylang,['Cafes'],
Ubi,Ming Kee Live Seafood,www.yelp.com/biz/ming-kee-live-seafood-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/o1jVdGAzRcFsxLF5AkjGbg/348s.jpg,4,7,Macpherson,['Seafood'],2.0
Ubi,Nanyang Old Taste,www.yelp.com/biz/nanyang-old-taste-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/N_witKz_D3M1647hXhRxhQ/348s.jpg,5,1,Geylang,['Singaporean'],
Ubi,Wicked Grill,www.yelp.com/biz/wicked-grill-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/qRZPGlbwamww9GkCrE9QIg/348s.jpg,3.5,4,Katong,"['Steakhouses', 'Beer Bar', 'Barbeque']",1.0
Ubi,Tsuta Japanese Soba Noodles,www.yelp.com/biz/tsuta-japanese-soba-noodles-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/P3qrG-NLXx-3KiqNMnfGLg/348s.jpg,4.5,6,Macpherson,"['Ramen', 'Noodles']",2.0
Ubi,Goki Day Korean BBQ Buffet Restaurant,www.yelp.com/biz/goki-day-korean-bbq-buffet-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/DwgcZazWVlpj33cFCLdeLQ/348s.jpg,4.5,2,Serangoon,"['Korean', 'Buffets']",2.0
Ubi,Source,www.yelp.com/biz/source-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/emP5WqeLpSlaw6_PTTUigQ/348s.jpg,3,1,Bedok North,"['Cafes', 'Gastropubs']",
Ubi,Source,www.yelp.com/biz/source-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/emP5WqeLpSlaw6_PTTUigQ/348s.jpg,3,1,Bedok North,"['Cafes', 'Gastropubs']",
Ubi,Meat N Malts,www.yelp.com/biz/meat-n-malts-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/GlzGt3J7acjiDe5kXDpK7A/348s.jpg,4,1,Macpherson,"['Bars', 'American (Traditional)']",
Ubi,The Boneless Kitchen,www.yelp.com/biz/the-boneless-kitchen-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/CBUJoDcEKpaIoidPMC_cUw/348s.jpg,3.5,5,Macpherson,"['Korean', 'Vegan', 'Vegetarian']",
Ubi,5 Little Bears,www.yelp.com/biz/5-little-bears-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/9sACU6d_sszzpu7GlGGJHQ/348s.jpg,3.5,2,Eunos,['Taiwanese'],
Ubi,23 Jumpin,www.yelp.com/biz/23-jumpin-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/NTNZVEDRKDVbWsR4lhKiKA/348s.jpg,3.5,5,Macpherson,['Bistros'],2.0
Ubi,Don Lechon,www.yelp.com/biz/don-lechon-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/vC_H5zAqiLl_QlhxnZJG0Q/348s.jpg,5,1,Geylang,['Filipino'],
Ubi,83 Seafood Restaurant,www.yelp.com/biz/83-seafood-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/rt7zSoxvschmJrYRZ5Jm3Q/348s.jpg,5,1,Macpherson,['Seafood'],
Ubi,Comida Mexicana,www.yelp.com/biz/comida-mexicana-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/xgzAeZomdKoj8FJD9o3XVA/348s.jpg,4,1,Siglap,['Mexican'],
Ubi,旺角點心 Mongkok Dim Sum,www.yelp.com/biz/%E6%97%BA%E8%A7%92%E9%BB%9E%E5%BF%83-mongkok-dim-sum-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/UmNo8niqt2PFYRmIRZmCoQ/348s.jpg,3.5,10,Geylang,['Dim Sum'],1.0
Ubi,Dolphins,www.yelp.com/biz/dolphins-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/cyNrZFgJ7NnoJqa59HlzKQ/348s.jpg,4,2,Macpherson,['Restaurants'],2.0
Ubi,Ju Shin Jung,www.yelp.com/biz/ju-shin-jung-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/E97UHpfFV_xtTv5mfhfpGA/348s.jpg,3.5,2,Geylang,['Korean'],
Ubi,Penang Seafood Restaurant,www.yelp.com/biz/penang-seafood-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/n8F45PR_g6bxTL22eFZqPA/348s.jpg,4,12,Geylang,"['Malaysian', 'Seafood']",1.0
Ubi,Trattoria L’Operetta,www.yelp.com/biz/trattoria-l-operetta-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/9Xgpa0J4HnbUx6MywuZtYg/348s.jpg,3.5,9,Katong,"['Pizza', 'Italian']",3.0
Ubi,Streets of London @ British Hainan,www.yelp.com/biz/streets-of-london-british-hainan-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Vvvez3MuUOiryDucmg3Chw/348s.jpg,4.5,5,Joo Chiat,['British'],2.0
Ubi,The Tuckshop,www.yelp.com/biz/the-tuckshop-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/byzresXnEKNMsHzlOPUmRQ/348s.jpg,3.5,10,Geylang,"['Bars', 'Gastropubs']",2.0
Ubi,Old Bibik’s Peranakan Kitchen,www.yelp.com/biz/old-bibiks-peranakan-kitchen-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/GejCAWuuMqU7NWMBr_Xzrg/348s.jpg,4.5,3,Joo Chiat,"['Asian Fusion', 'Seafood']",1.0
Ubi,The BOILER Seafood Bar & Beer,www.yelp.com/biz/the-boiler-seafood-bar-and-beer-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/x4Ekir-s0H8O18APbPx19A/348s.jpg,4,16,Macpherson,"['Seafood', 'Bars']",4.0
Ubi,Charcoal-Grill & Salad Bar Keisuke,www.yelp.com/biz/charcoal-grill-and-salad-bar-keisuke-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/lqSNBwq32bM5OHJrbkGotg/348s.jpg,4,1,Eunos,['Ramen'],
Ubi,Ponggol Nasi Lemak,www.yelp.com/biz/ponggol-nasi-lemak-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/35R8_YvS2YY8RpSyk1mcUg/348s.jpg,4,13,Tanjong Rhu,['Singaporean'],1.0
Ubi,Joan Bowen The Special Culinary Centre,www.yelp.com/biz/joan-bowen-the-special-culinary-centre-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/kwfNP3Tr6b269YB7TUAoRw/348s.jpg,5,1,Macpherson,"['American (Traditional)', 'Desserts', 'Coffee & Tea']",
Ubi,Collin’s Grill,www.yelp.com/biz/collins-grill-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/4V3U0h2Dmd5uu0GJMsLWYA/348s.jpg,5,1,Geylang,"['Restaurants', 'Street Vendors']",
Ubi,Ah Seah Teochew Porridge,www.yelp.com/biz/ah-seah-teochew-porridge-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/kLxbXgnJY9SI8vTJjUtspA/348s.jpg,3.5,8,Serangoon,['Chinese'],1.0
Ubi,Rice & Fries,www.yelp.com/biz/rice-and-fries-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/tvSndFcU_8KSQsoj8KM--g/348s.jpg,3.5,5,Telok Kurau,['Cafes'],2.0
Ubi,Mr Lorbak,www.yelp.com/biz/mr-lorbak-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/PFsawrCzdN8STPtNIQCy7Q/348s.jpg,4,1,Ubi,['Chinese'],
