neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Ulu Pandan,French Ladle,www.yelp.com/biz/french-ladle-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/GShMZ0hD2c9l9xrBc8d00Q/348s.jpg,5,5,Ulu Pandan,['French'],1.0
Ulu Pandan,La Bussola,www.yelp.com/biz/la-bussola-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/APNART9h3wQtqqOCxMRHuw/348s.jpg,4,1,Wessex Estate,"['Vegetarian', 'Italian']",
Ulu Pandan,E-Sarn Thai Cuisine,www.yelp.com/biz/e-sarn-thai-cuisine-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/v1tO2ub8DEaynnSs-1JuMw/348s.jpg,3.5,5,Ulu Pandan,['Thai'],2.0
Ulu Pandan,Gaia Korean Grill + Bar,www.yelp.com/biz/gaia-korean-grill-bar-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/1HDYtnIZJitQ9aTxp2inRA/348s.jpg,5,2,Holland Village,"['Korean', 'Asian Fusion', 'Tapas/Small Plates']",
Ulu Pandan,Chuckwagon BBQ & Grill,www.yelp.com/biz/chuckwagon-bbq-and-grill-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/1CWt0HEhmG9vmwQODOHVVg/348s.jpg,4.5,3,Wessex Estate,"['Barbeque', 'Steakhouses']",
Ulu Pandan,Waa Cow!,www.yelp.com/biz/waa-cow-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ZfTCgwExzk5ydFws3HwIGw/348s.jpg,4,5,Dover,['Japanese'],
Ulu Pandan,Vietnamese - Authentic Vietnamese Cuisine,www.yelp.com/biz/vietnamese-authentic-vietnamese-cuisine-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/1Zj29y2Lkhho5ugz_dIFlw/348s.jpg,4,12,Ghim Moh,['Vietnamese'],1.0
Ulu Pandan,Valle Bar Cafe,www.yelp.com/biz/valle-bar-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/wTwDr3PUNN0pNnn2Dx-vYg/348s.jpg,4,1,Ulu Pandan,['Cafes'],2.0
Ulu Pandan,Ristorante Pietrasanta,www.yelp.com/biz/ristorante-pietrasanta-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Dp1nYuMhf4EbT2c-TDXdfQ/348s.jpg,4,18,one-north,"['Italian', 'Diners', 'Pizza']",3.0
Ulu Pandan,timbre+,www.yelp.com/biz/timbre-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/c6hhUVJU1MzAlVkMfVPWYA/348s.jpg,3.5,18,one-north,"['Food Court', 'Venues & Event Spaces']",2.0
