neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Yishun,Tasty Loong,www.yelp.com/biz/tasty-loong-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/f10Ja46XVLfuVxRztpg0gA/348s.jpg,5,1,Yishun,"['Chinese', 'Seafood', 'Singaporean']",
Yishun,Eatzi Steakhouse & Bistro,www.yelp.com/biz/eatzi-steakhouse-and-bistro-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/YatLikUdBDVauKyiWaMNrw/348s.jpg,4,2,Yishun,"['American (Traditional)', 'Halal', 'Bistros']",
Yishun,Pin Si,www.yelp.com/biz/pin-si-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Ma87QevBUP-F6ZASMpCjVA/348s.jpg,4.5,6,Yishun,['Chinese'],3.0
Yishun,Taste of Thailand,www.yelp.com/biz/taste-of-thailand-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/AdAKHqGM-4KjVQvvOyb51g/348s.jpg,4.5,4,Sembawang,['Thai'],
Yishun,Orchid Live Seafood,www.yelp.com/biz/orchid-live-seafood-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/9ahWopaWb8TOBL-OiFTvbg/348s.jpg,4.5,8,Yishun,['Seafood'],3.0
Yishun,Sunset Grill & Pub,www.yelp.com/biz/sunset-grill-and-pub-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/75CEsFFnf3yY3nLMDDrjTw/348s.jpg,3,5,Sembawang,['American (Traditional)'],2.0
Yishun,Authentic Penang Food,www.yelp.com/biz/authentic-penang-food-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/ec91c6e75078/assets/img/default_avatars/business_medium_square.png,5,1,Yishun,['Malaysian'],
Yishun,Canton Paradise,www.yelp.com/biz/canton-paradise-singapore-8?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/UDexhpk3sBQMQGkBiyL2Tg/348s.jpg,3.5,2,Yishun,"['Dim Sum', 'Cantonese']",
Yishun,Beaulieu House,www.yelp.com/biz/beaulieu-house-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/AZxhadATzhNlajXQHThRgg/348s.jpg,4,6,Sembawang,['Chinese'],
Yishun,Hansik Korean Restaurant,www.yelp.com/biz/hansik-korean-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Cg7LBeUc9NT-Caz84ogLEQ/348s.jpg,4,6,$$$,['Korean'],3.0
Yishun,928 Yishun Laksa,www.yelp.com/biz/928-yishun-laksa-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/zLJUwf1bB7dAKk7ODk0O4Q/348s.jpg,4,5,Yishun,"['Street Vendors', 'Noodles']",1.0
Yishun,iSteaks Grillhouse,www.yelp.com/biz/isteaks-grillhouse-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/GHw6_hFbhi1BKkxxvsvGEQ/348s.jpg,4,9,Serangoon Gardens,"['Steakhouses', 'Diners']",2.0
Yishun,Goki Day Korean BBQ Buffet Restaurant,www.yelp.com/biz/goki-day-korean-bbq-buffet-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/DwgcZazWVlpj33cFCLdeLQ/348s.jpg,4.5,2,Serangoon,"['Korean', 'Buffets']",2.0
Yishun,101 Seafood Gourmet,www.yelp.com/biz/101-seafood-gourmet-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/QpWS9LqzZSWYI-ethNyI7g/348s.jpg,4,1,Yishun,['Chinese'],
Yishun,Flamingg Mangos,www.yelp.com/biz/flamingg-mangos-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/U0k4lQg5Q9-ICcbuFlnBiw/348s.jpg,3.5,2,Sembawang,['Cafes'],
Yishun,东小馆,www.yelp.com/biz/east-bistro-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Z3xevCvhhw-CS4WcsM9bUw/348s.jpg,3.5,3,Sembawang,['Dim Sum'],
