neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
one-north,timbre+,www.yelp.com/biz/timbre-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/c6hhUVJU1MzAlVkMfVPWYA/348s.jpg,3.5,18,one-north,"['Food Court', 'Venues & Event Spaces']",2.0
one-north,Greenwitch,www.yelp.com/biz/greenwitch-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/3EDPHdspts0ruplTooCnaA/348s.jpg,5,1,one-north,"['Salad', 'Fast Food', 'Vegetarian']",
one-north,Ristorante Pietrasanta,www.yelp.com/biz/ristorante-pietrasanta-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Dp1nYuMhf4EbT2c-TDXdfQ/348s.jpg,4,18,one-north,"['Italian', 'Diners', 'Pizza']",3.0
one-north,Bread Yard,www.yelp.com/biz/bread-yard-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/PN0FGzFITXkYrAFxHUzZzw/348s.jpg,4,9,one-north,"['Bakeries', 'Breakfast & Brunch']",1.0
one-north,Paddy Hills,www.yelp.com/biz/paddy-hills-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/3HDfWqmHS5jnFTqfKq5kDg/348s.jpg,4,16,Kent Ridge,"['Asian Fusion', 'Cafes', 'Breakfast & Brunch']",3.0
one-north,Arkadas Cafe,www.yelp.com/biz/arkadas-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/27XcF-AfQPyOx2hBRzTwYw/348s.jpg,4,12,one-north,['Turkish'],2.0
one-north,La Bussola,www.yelp.com/biz/la-bussola-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/APNART9h3wQtqqOCxMRHuw/348s.jpg,4,1,Wessex Estate,"['Vegetarian', 'Italian']",
one-north,Roots One North,www.yelp.com/biz/roots-one-north-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/JVKI7Jx6FRI3ZQU-L8CULw/348s.jpg,4,2,one-north,['Cafes'],
one-north,Bodacious Bar and Bistro,www.yelp.com/biz/bodacious-bar-and-bistro-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/6_Wm-y9Fr_4EvFiSV6PLnQ/348s.jpg,4,5,one-north,"['Cocktail Bars', 'Cafes', 'Gastropubs']",2.0
one-north,Chuckwagon BBQ & Grill,www.yelp.com/biz/chuckwagon-bbq-and-grill-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/1CWt0HEhmG9vmwQODOHVVg/348s.jpg,4.5,3,Wessex Estate,"['Barbeque', 'Steakhouses']",
