neighbourhood,name,href,rating,category
Alexandra,The Naked Finn,https://s3-media0.fl.yelpcdn.com/bphoto/ScSHvCNpbz7DI-_DsDDtaA/348s.jpg,4.5 star rating,['Seafood']
Alexandra,Keng Eng Kee Seafood,https://s3-media0.fl.yelpcdn.com/bphoto/1TziiZSLJKWzzD4tfscN2Q/348s.jpg,4 star rating,['Seafood']
Alexandra,Soi Thai Soi Nice,https://s3-media0.fl.yelpcdn.com/bphoto/qmndjmkNW-8efdtjqW6WMw/348s.jpg,4.5 star rating,['Thai']
Alexandra,Hong Kong Street Chun Kee,https://s3-media0.fl.yelpcdn.com/bphoto/abTYFOaSY9v5BxhSVfA6MQ/348s.jpg,5 star rating,['Chinese']
Alexandra,Ma Maison,https://s3-media0.fl.yelpcdn.com/bphoto/TZS9ZXy_J2OpaudYX7bO-w/348s.jpg,4.5 star rating,['Asian Fusion']
Alexandra,Tai Liok Claypot Chicken Rice,https://s3-media0.fl.yelpcdn.com/bphoto/QdwWgDk-D7ZxD2QjQqQEXg/348s.jpg,5 star rating,"['Street Vendors', 'Chinese']"
Alexandra,Auntie Kim’s Korean Restaurant,https://s3-media0.fl.yelpcdn.com/bphoto/3-PM68eb7mczenjLESBkwg/348s.jpg,4 star rating,"['Korean', 'Barbeque']"
Alexandra,Burger Barn,https://s3-media0.fl.yelpcdn.com/bphoto/ABw7yUzcQx2fGPqpODYDlg/348s.jpg,4 star rating,['Burgers']
Alexandra,Handlebar,https://s3-media0.fl.yelpcdn.com/bphoto/QW5T4m1L9KB7Sd7ntLnmWw/348s.jpg,4.5 star rating,"['American (Traditional)', 'Steakhouses']"
Alexandra,The Gogi,https://s3-media0.fl.yelpcdn.com/bphoto/srghHe9412BNLK_oG_vnGQ/348s.jpg,5 star rating,"['Korean', 'Barbeque']"
Alexandra,Masons,https://s3-media0.fl.yelpcdn.com/bphoto/nD043XG_x1c_b-vDHr2y4w/348s.jpg,3.5 star rating,['Modern European']
Alexandra,Gyu-Kaku Prime,https://s3-media0.fl.yelpcdn.com/bphoto/o2IQ37MJ3kXSMLMYYP7teg/348s.jpg,5 star rating,"['Japanese', 'Steakhouses', 'Barbeque']"
Alexandra,Smør,https://s3-media0.fl.yelpcdn.com/bphoto/dny4NA6chSiIG9sjDSbxUA/348s.jpg,4 star rating,"['Cafes', 'Scandinavian']"
Alexandra,The Food Barn,https://s3-media0.fl.yelpcdn.com/bphoto/X_zZ4NdUeXDu4iRtObmHdw/348s.jpg,5 star rating,"['Coffee & Tea', 'Cafes']"
Alexandra,Uncle Ho Tuckshop,https://s3-media0.fl.yelpcdn.com/bphoto/gEGIDKPr0GdlNNudCpmXxg/348s.jpg,4.5 star rating,['Vietnamese']
Alexandra,timbre @ gillman,https://s3-media0.fl.yelpcdn.com/bphoto/EIAuz85h54XUGaca15N3Cg/348s.jpg,2.5 star rating,['Gastropubs']
Alexandra,Wildseed Cafe,https://s3-media0.fl.yelpcdn.com/bphoto/QNjY1aQwm4TYhDaioD-EVQ/348s.jpg,4 star rating,"['Cafes', 'Bars', 'Juice Bars & Smoothies']"
Alexandra,Stirling Seafood,https://s3-media0.fl.yelpcdn.com/bphoto/pxEjYdp-XmL9h-Q6EY-LdQ/348s.jpg,5 star rating,['Singaporean']
Alexandra,Jack Ripper,https://s3-media0.fl.yelpcdn.com/bphoto/DC9neN-2tkWbrNwA-TjHGA/348s.jpg,4 star rating,['Burgers']
Alexandra,Stew Küche,https://s3-media0.fl.yelpcdn.com/bphoto/LISy-r6SFr6DzbmM-Vks_g/348s.jpg,3.5 star rating,['German']
Alexandra,Zi Yean Eating House,https://s3-media0.fl.yelpcdn.com/bphoto/1BNR5cnJJpinX3MQIBqCpg/348s.jpg,4 star rating,['Cantonese']
Alexandra,Stew Küche,https://s3-media0.fl.yelpcdn.com/bphoto/LISy-r6SFr6DzbmM-Vks_g/348s.jpg,3.5 star rating,['German']
Alexandra,BurgerLabo,https://s3-media0.fl.yelpcdn.com/bphoto/_GD61LWgokBsHI6zK-vekA/348s.jpg,5 star rating,['Burgers']
Alexandra,Tanglin Food Hall,https://s3-media0.fl.yelpcdn.com/bphoto/Qr53WJVC2e_6X5KXcleDZw/348s.jpg,4.5 star rating,['Food Court']
Alexandra,Fish Mart Sakuraya,https://s3-media0.fl.yelpcdn.com/bphoto/0Z1zigZw92HFzk5tWKmi3g/348s.jpg,4.5 star rating,['Japanese']
Alexandra,Vineyard,https://s3-media0.fl.yelpcdn.com/bphoto/TCAv69irrCP0p9oU9VeWXA/348s.jpg,2.5 star rating,['French']
Alexandra,Joe’s Kitchen Thai Cuisine,https://s3-media0.fl.yelpcdn.com/bphoto/IskX6CJotwRJGd4hOxsioQ/348s.jpg,4 star rating,['Thai']
Alexandra,Canton Paradise,https://s3-media0.fl.yelpcdn.com/bphoto/Jr1RloFu51YxJJGCopyjnQ/348s.jpg,4.5 star rating,['Cantonese']
Alexandra,Sum Kee,https://s3-media0.fl.yelpcdn.com/bphoto/xFz_AFXqu12PZXBtABn3fg/348s.jpg,3.5 star rating,['Chinese']
Alexandra,Manhill Restaurant,https://s3-media0.fl.yelpcdn.com/bphoto/9joPeb5w6C2C53FkMLoEzA/348s.jpg,4.5 star rating,['Cantonese']
Alexandra,Queensway Famous Curry Chicken,https://s3-media0.fl.yelpcdn.com/bphoto/vQAuV25Jr-GW_QClWj-FIQ/348s.jpg,4.5 star rating,['Singaporean']
Alexandra,Jiak Pa Lang Eating House,https://s3-media0.fl.yelpcdn.com/bphoto/sjKoYlJz6hhOYzokStHqDA/348s.jpg,4 star rating,['Singaporean']
Alexandra,Dempsey Hill,https://s3-media0.fl.yelpcdn.com/bphoto/_wQub1OooppZICJwxJOpUQ/348s.jpg,4.5 star rating,['Seafood']
Alexandra,Blu Kouzina,https://s3-media0.fl.yelpcdn.com/bphoto/Y95J1Oj4b82InEO62n73_g/348s.jpg,4.5 star rating,"['Mediterranean', 'Greek']"
