neighbourhood,name,href,rating,category
Ang Mo Kio,Hong Kong Street Zheng Ji,https://s3-media0.fl.yelpcdn.com/bphoto/nifoovE43JapE3dnpJH7pQ/348s.jpg,5 star rating,['Cantonese']
Ang Mo Kio,Sin Heng Kee Porridge,https://s3-media0.fl.yelpcdn.com/bphoto/781AQ5zZIEtFKVdDSKXdwg/348s.jpg,5 star rating,"['Singaporean', 'Congee']"
Ang Mo Kio,Canopy Garden Dining & Bar,https://s3-media0.fl.yelpcdn.com/bphoto/w_0BoMo1QFN7AhMmao_kmg/348s.jpg,3 star rating,['Gastropubs']
Ang Mo Kio,AMK Fried Kway Teow,https://s3-media0.fl.yelpcdn.com/bphoto/8EX8Pn1seDSBOChygb5OZw/348s.jpg,5 star rating,['Asian Fusion']
Ang Mo Kio,Kowloon Hong Kong Dim Sum,https://s3-media0.fl.yelpcdn.com/bphoto/WNfBR5MJ6p_y4qxJHz-2OQ/348s.jpg,4 star rating,['Dim Sum']
Ang Mo Kio,Trattoria da Mimmo,https://s3-media0.fl.yelpcdn.com/bphoto/Hy9bkj6DsRGRbv3sT1bibQ/348s.jpg,5 star rating,['Italian']
Ang Mo Kio,Goldhill Family Restruant,https://s3-media0.fl.yelpcdn.com/bphoto/QZajfc7vvfYXgoAYZ17_dw/348s.jpg,5 star rating,['Singaporean']
Ang Mo Kio,Hansik Korean Restaurant,https://s3-media0.fl.yelpcdn.com/bphoto/Cg7LBeUc9NT-Caz84ogLEQ/348s.jpg,4 star rating,['Korean']
Ang Mo Kio,Mellben Seafood,https://s3-media0.fl.yelpcdn.com/bphoto/GfAt00hnfx7MVwzn_4n1OA/348s.jpg,4 star rating,['Seafood']
Ang Mo Kio,Tong Shun,https://s3-media0.fl.yelpcdn.com/bphoto/e7mQM70Ko8J9x-y9x6fsnw/348s.jpg,5 star rating,"['Singaporean', 'Seafood', 'Noodles']"
Ang Mo Kio,Haru Haru Japanese Restaurant,https://s3-media0.fl.yelpcdn.com/bphoto/iB4NiX5BjZUgoA_aaS5qOg/348s.jpg,3.5 star rating,['Japanese']
Ang Mo Kio,Gim Tim,https://s3-media0.fl.yelpcdn.com/bphoto/JJFXkrClznQTLGNmToRv2A/348s.jpg,4 star rating,['Restaurants']
Ang Mo Kio,Soek Seng 1954,https://s3-media0.fl.yelpcdn.com/bphoto/QEOjzc9dvC8CO15kQJq7DQ/348s.jpg,3.5 star rating,"['Cafes', 'Bikes']"
Ang Mo Kio,Don Don Japanese Kitchen S11,https://s3-media0.fl.yelpcdn.com/bphoto/IoPW9yu88RzYX_YpNho71A/348s.jpg,5 star rating,['Fast Food']
Ang Mo Kio,GrillHouse Sevenlicious,https://s3-media0.fl.yelpcdn.com/bphoto/qZPbhnbIQcDB8wqq9j4QtQ/348s.jpg,5 star rating,"['Burgers', 'Steakhouses', 'Pizza']"
Ang Mo Kio,The Black Sheep Cafe,https://s3-media0.fl.yelpcdn.com/bphoto/rEUbJfZyM05YPvm_P_8G1A/348s.jpg,4 star rating,['French']
Ang Mo Kio,The Hideout,https://s3-media0.fl.yelpcdn.com/bphoto/6S_yIAlawYGiwB7Fo3fMKw/348s.jpg,4 star rating,['Bistros']
Ang Mo Kio,Sakura International Buffet,https://s3-media0.fl.yelpcdn.com/bphoto/biaZJryWDfJDrBB12X6gWA/348s.jpg,4 star rating,"['Buffets', 'Venues & Event Spaces']"
Ang Mo Kio,Seletar Hill,https://s3-media0.fl.yelpcdn.com/bphoto/Xi2Uft8fymZ4oP-QhrHURA/348s.jpg,5 star rating,['Szechuan']
Ang Mo Kio,218 Centre Hokkien Mee,https://s3-media0.fl.yelpcdn.com/bphoto/Bwd667PcCW8rDn1XWXF7Sg/348s.jpg,4.5 star rating,['Singaporean']
Ang Mo Kio,Eighteen Chefs,https://s3-media0.fl.yelpcdn.com/bphoto/EmRctN0A_90IOZlLjbc0oQ/348s.jpg,4 star rating,['Japanese']
Ang Mo Kio,Ban Leong Wah Hoe Seafood,https://s3-media0.fl.yelpcdn.com/bphoto/9rql-HVyYvMVJmQE8-2jJg/348s.jpg,4.5 star rating,['Seafood']
Ang Mo Kio,Bliss Restaurant,https://s3-media0.fl.yelpcdn.com/bphoto/dVmYbwPOh5aY4AGwxpaWqw/348s.jpg,3 star rating,['Diners']
Ang Mo Kio,Choupinette,https://s3-media0.fl.yelpcdn.com/bphoto/YRtZvTMH0AEfT4q8O43h0A/348s.jpg,4 star rating,"['Bakeries', 'Bistros', 'Breakfast & Brunch']"
Ang Mo Kio,Goki Day Korean BBQ Buffet Restaurant,https://s3-media0.fl.yelpcdn.com/bphoto/DwgcZazWVlpj33cFCLdeLQ/348s.jpg,4.5 star rating,"['Korean', 'Buffets']"
Ang Mo Kio,Hong Trang Nguyen,https://s3-media0.fl.yelpcdn.com/bphoto/PmnarCpLHdQ7N8LqRHRQXQ/348s.jpg,4 star rating,"['Vietnamese', 'Street Vendors']"
Ang Mo Kio,AMBUSH,https://s3-media0.fl.yelpcdn.com/bphoto/oJ0UrCgZXaqgwupaKrtbyA/348s.jpg,4 star rating,['Modern European']
Ang Mo Kio,Shanghai Ren Jia,https://s3-media0.fl.yelpcdn.com/bphoto/mAMaQb3GZEHQecz5wxdU7g/348s.jpg,4 star rating,['Chinese']
Ang Mo Kio,Bendemeer Prawn Noodle,https://s3-media0.fl.yelpcdn.com/bphoto/8qUFBE2WEe9Azr2tsEigmA/348s.jpg,4.5 star rating,['Noodles']
Ang Mo Kio,Lava Rock,https://s3-media0.fl.yelpcdn.com/bphoto/uHcMeWWjbcEEdksgNtRjng/348s.jpg,,['Singaporean']
Ang Mo Kio,Dju Dju Indonesian Nasi Padang,https://s3-media0.fl.yelpcdn.com/bphoto/7UeO_zCMYFVXQ78UaY88rw/348s.jpg,4 star rating,['Indonesian']
Ang Mo Kio,Happy Kampong Seafood,https://s3-media0.fl.yelpcdn.com/bphoto/rFwdaSepImBU4bxO9Elw1w/348s.jpg,4.5 star rating,"['Chinese', 'Singaporean']"
Ang Mo Kio,iSteaks Grillhouse,https://s3-media0.fl.yelpcdn.com/bphoto/GHw6_hFbhi1BKkxxvsvGEQ/348s.jpg,4 star rating,"['Steakhouses', 'Diners']"
Ang Mo Kio,China Whampoa Home Made Noodle,https://s3-media0.fl.yelpcdn.com/bphoto/ji7gJXzeECLGiSBrOnMEVw/348s.jpg,4.5 star rating,['Chinese']
Ang Mo Kio,Riders Cafe,https://s3-media0.fl.yelpcdn.com/bphoto/8vpX0GOuafKgkUsegzY6kg/348s.jpg,4 star rating,['Breakfast & Brunch']
Ang Mo Kio,Geylang Prawn Noodle,https://s3-media0.fl.yelpcdn.com/bphoto/G7Y97TfGRj6S4qNpH5K_kw/348s.jpg,4 star rating,"['Chinese', 'Noodles']"
Ang Mo Kio,Two Men Bagel House,https://s3-media0.fl.yelpcdn.com/bphoto/ZKdLDvsoEm8ePW9qj5fqaw/348s.jpg,5 star rating,"['Breakfast & Brunch', 'Bagels']"
Ang Mo Kio,Peach Garden,https://s3-media0.fl.yelpcdn.com/bphoto/UhpXISzkhuxSXIm8a268xQ/348s.jpg,3.5 star rating,['Chinese']
Ang Mo Kio,San Yuan Gourmet,https://s3-media0.fl.yelpcdn.com/bphoto/titObIFXWD9gYWVHXNwUFg/348s.jpg,5 star rating,['Chinese']
Ang Mo Kio,Flavour Flings,https://s3-media0.fl.yelpcdn.com/bphoto/ohg6aalPWilWCk-doYGwmQ/348s.jpg,4.5 star rating,['Cafes']
Ang Mo Kio,Rakuichi Sushi,https://s3-media0.fl.yelpcdn.com/bphoto/T9oE7-piqHYeGX2dMBzcqg/348s.jpg,4 star rating,['Japanese']
Ang Mo Kio,Columbus Coffee Co.,https://s3-media0.fl.yelpcdn.com/bphoto/KkzITSMrXcJM5J2LiowRkw/348s.jpg,5 star rating,['Cafes']
Ang Mo Kio,Westlake,https://s3-media0.fl.yelpcdn.com/bphoto/KYfJG-mc6HZSiE_mFWiMvg/348s.jpg,4 star rating,['Chinese']
Ang Mo Kio,Baci Baci,https://s3-media0.fl.yelpcdn.com/bphoto/fbebzHBX-6gezrS7lNSAdQ/348s.jpg,4.5 star rating,"['Pizza', 'Italian']"
Ang Mo Kio,YakiBaBar,https://s3-media0.fl.yelpcdn.com/bphoto/0_pkt48fHREmASS9TtejnQ/348s.jpg,3.5 star rating,['Yakitori']
Ang Mo Kio,Romano Ristorante,https://s3-media0.fl.yelpcdn.com/bphoto/96VzelW-kCcFfte_K6Yijg/348s.jpg,,['Italian']
Ang Mo Kio,Chef Kang’s Noodle House,https://s3-media0.fl.yelpcdn.com/bphoto/MIkeD369-_xzMF_cbU0xfQ/348s.jpg,5 star rating,['Noodles']
Ang Mo Kio,Knots Cafe & Living,https://s3-media0.fl.yelpcdn.com/bphoto/csHQWwhGm-IrFYrfmli5YQ/348s.jpg,4.5 star rating,"['Coffee & Tea', 'Breakfast & Brunch']"
