neighbourhood,name,href,rating,category
Ann Siang Hill,My Little Tapas Bar,https://s3-media0.fl.yelpcdn.com/bphoto/6sG-gKPVP-bQTAw7GIh4uw/348s.jpg,4.5 star rating,"['Tapas/Small Plates', 'Spanish']"
Ann Siang Hill,Tian Tian Hainanese Chicken Rice,https://s3-media0.fl.yelpcdn.com/bphoto/UJ5Kp3NWi5vyCnUf_ftiFQ/348s.jpg,4 star rating,"['Hainan', 'Chicken Shop']"
Ann Siang Hill,The Coconut Club - CLOSED,https://s3-media0.fl.yelpcdn.com/bphoto/oHFxEPUxeJ63iRhRv4g5nQ/348s.jpg,4 star rating,"['Nasi Lemak', 'Singaporean', 'Malaysian']"
Ann Siang Hill,Coriander Leaf Grill,https://s3-media0.fl.yelpcdn.com/bphoto/-HWWWK-Ig2P5lOb8o7qzvg/348s.jpg,4.5 star rating,"['Asian Fusion', 'Bars']"
Ann Siang Hill,Chico Loco,https://s3-media0.fl.yelpcdn.com/bphoto/xFnRW-g3WPn8O3iSvFeHLQ/348s.jpg,,['Mexican']
Ann Siang Hill,Les Bouchons,https://s3-media0.fl.yelpcdn.com/bphoto/2uMcTamUthsiiBs7vJ_X6w/348s.jpg,3 star rating,['French']
Ann Siang Hill,Blue Label Pizza & Wine,https://s3-media0.fl.yelpcdn.com/bphoto/GX0gB92c87i3zWTzCMK3fQ/348s.jpg,5 star rating,"['Pizza', 'Wine Bars']"
Ann Siang Hill,Caffé B,https://s3-media0.fl.yelpcdn.com/bphoto/9EGmCgnUN3U3Jw7FJ9YVIQ/348s.jpg,3.5 star rating,"['Italian', 'Japanese']"
Ann Siang Hill,The Disgruntled Chef,https://s3-media0.fl.yelpcdn.com/bphoto/Kr7X1HXaNyo_UZCI_4tgGg/348s.jpg,4 star rating,['Modern European']
Ann Siang Hill,Zhen Zhen Porridge,https://s3-media0.fl.yelpcdn.com/bphoto/k2VyZLvp4kBFXKfvgPVRmA/348s.jpg,4.5 star rating,"['Food Stands', 'Congee']"
Ann Siang Hill,Tok Tok Indonesian Soup House,https://s3-media0.fl.yelpcdn.com/bphoto/2tI86vi8jkh3hPE7Tkpg7w/348s.jpg,,"['Indonesian', 'Halal']"
Ann Siang Hill,WOLF X Bird Bird,https://s3-media0.fl.yelpcdn.com/bphoto/6v1oCm-VRxC5NOZgkKTneQ/348s.jpg,4 star rating,"['Burgers', 'Asian Fusion']"
Ann Siang Hill,IndoChine,https://s3-media0.fl.yelpcdn.com/bphoto/1eoS3U_XzNmSEbt5HzpkyQ/348s.jpg,5 star rating,['Thai']
Ann Siang Hill,Oxwell & Co,https://s3-media0.fl.yelpcdn.com/bphoto/pq1bVh_HR76a8CBxlEaAkQ/348s.jpg,3.5 star rating,"['British', 'Pubs']"
Ann Siang Hill,The Feather Blade,https://s3-media0.fl.yelpcdn.com/bphoto/QJi6XXMfS4-rniECQvVsSg/348s.jpg,2.5 star rating,['Steakhouses']
Ann Siang Hill,Dumpling Darlings,https://s3-media0.fl.yelpcdn.com/bphoto/2wqiGeAPthFS3IQElwr92A/348s.jpg,4.5 star rating,['Chinese']
Ann Siang Hill,Lolla,https://s3-media0.fl.yelpcdn.com/bphoto/XnYOAsJj2tOGWBQ0G9VCSg/348s.jpg,4 star rating,"['Mediterranean', 'Tapas/Small Plates']"
Ann Siang Hill,Wang Dae Bak Korean BBQ,https://s3-media0.fl.yelpcdn.com/bphoto/xexRjOHLrqvAQLbHhDucow/348s.jpg,4 star rating,"['Korean', 'Barbeque']"
