neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Punggol,JingLong Seafood Restaurant,www.yelp.com/biz/jinglong-seafood-restaurant-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/FGTocBnbg3RwR_Zz9Q-mdw/348s.jpg,5,1,Punggol,['Seafood'],3.0
Punggol,218 Centre Hokkien Mee,www.yelp.com/biz/218-centre-hokkien-mee-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Bwd667PcCW8rDn1XWXF7Sg/348s.jpg,4.5,2,Seletar,['Singaporean'],
Punggol,Le Steak By Chef Amri,www.yelp.com/biz/le-steak-by-chef-amri-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/4KMl7ra8OkvMg47MULw-Tw/348s.jpg,4,3,Yio Chu Kang,"['Halal', 'Steakhouses']",2.0
Punggol,Sin Heng Kee Porridge,www.yelp.com/biz/sin-heng-kee-porridge-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/781AQ5zZIEtFKVdDSKXdwg/348s.jpg,5,10,Hougang,"['Singaporean', 'Congee']",1.0
Punggol,Just The Place European Bistro,www.yelp.com/biz/just-the-place-european-bistro-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/2ZQtGSgrcYeWrqf0vmqXjg/348s.jpg,4,3,Punggol,['Bistros'],
Punggol,Tong Shun,www.yelp.com/biz/tong-shun-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/e7mQM70Ko8J9x-y9x6fsnw/348s.jpg,5,1,Yio Chu Kang,"['Singaporean', 'Seafood', 'Noodles']",
Punggol,Hao Xiang Seafood Garden,www.yelp.com/biz/hao-xiang-seafood-garden-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/TnHAcCcuREuqIsi-_qctig/348s.jpg,4,1,Punggol,['Chinese'],
Punggol,Goldhill Family Restruant,www.yelp.com/biz/goldhill-family-restruant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/QZajfc7vvfYXgoAYZ17_dw/348s.jpg,5,1,Hougang,['Singaporean'],1.0
Punggol,Jumping Jack,www.yelp.com/biz/jumping-jack-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/iNdIKJxqMlAmX8QKhVoQkQ/348s.jpg,4,1,Sengkang,"['Pizza', 'Steakhouses']",
Punggol,Mellben Food Palace,www.yelp.com/biz/mellben-food-palace-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/2Qu64I3RthL5nh19zy5btg/348s.jpg,4,5,Pasir Ris,['Seafood'],2.0
Punggol,Sakura Charcoal Grilled & Shabu Shabu,www.yelp.com/biz/sakura-charcoal-grilled-and-shabu-shabu-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/kBWEnhX3mMB3k39ak3_c3g/348s.jpg,3.5,2,Seletar,['Japanese'],
Punggol,Uncle Leong Seafood,www.yelp.com/biz/uncle-leong-seafood-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/oE1lj1ZLKMJrl0lIJ_3kVw/348s.jpg,3.5,3,Punggol,['Seafood'],4.0
Punggol,Leong Ji,www.yelp.com/biz/leong-ji-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/yff7KafvGk4zfUXZHZDmZg/348s.jpg,4,3,Punggol,"['Chinese', 'Seafood']",1.0
Punggol,Rise & Grind,www.yelp.com/biz/rise-and-grind-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/zvGmaM9GZN3tDA7BUGX0uQ/348s.jpg,4,1,Punggol,"['Cafes', 'Breakfast & Brunch']",
Punggol,Whisk & Paddle,www.yelp.com/biz/whisk-and-paddle-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/djIYvcg9jlzPn961P69jmA/348s.jpg,3,7,Punggol,['Cafes'],2.0
Punggol,Big Fish Small Fish,www.yelp.com/biz/big-fish-small-fish-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/jbF1DTib5_hnERHfic7Xwg/348s.jpg,3.5,3,Punggol,"['Fish & Chips', 'Salad', 'Sandwiches']",
Punggol,Wheeler’s Estate,www.yelp.com/biz/wheelers-estate-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/gV0Mty2f0Tf73XcXMTVe9w/348s.jpg,3,5,Seletar,"['Bistros', 'Breakfast & Brunch']",2.0
Punggol,Frienzie Bar & Bistro,www.yelp.com/biz/frienzie-bar-and-bistro-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/TnA6PG6nFYF7PuGVauSW2w/348s.jpg,3,4,Punggol,"['Bars', 'Bistros']",2.0
Punggol,Danro Japanese Hotpot Buffet,www.yelp.com/biz/danro-japanese-hotpot-buffet-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/HaYojunSCztCh4wR93rwgg/348s.jpg,4,1,Punggol,"['Japanese', 'Buffets', 'Hot Pot']",
Punggol,Magic Wok,www.yelp.com/biz/magic-wok-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/tS14zfQI9oVObUcSRXi7hw/348s.jpg,4.5,3,Pasir Ris,['Singaporean'],
Punggol,iSteaks Grillhouse,www.yelp.com/biz/isteaks-grillhouse-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/GHw6_hFbhi1BKkxxvsvGEQ/348s.jpg,4,9,Serangoon Gardens,"['Steakhouses', 'Diners']",2.0
Punggol,Christina Floating Resturant,www.yelp.com/biz/christina-floating-resturant-no-title?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/sa6rfkeo-4h1WmE_qDzi7w/348s.jpg,4,1,Pulau Ubin,['Seafood'],
Punggol,Baci Baci,www.yelp.com/biz/baci-baci-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/fbebzHBX-6gezrS7lNSAdQ/348s.jpg,4.5,6,Serangoon Gardens,"['Pizza', 'Italian']",3.0
Punggol,Lao Wang Claypot Delights,www.yelp.com/biz/lao-wang-claypot-delights-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/2CI4yDfHnFBFnFrjb193ww/348s.jpg,3.5,2,Punggol,['Chinese'],
Punggol,Wayne’s Chill Out,www.yelp.com/biz/waynes-chill-out-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/vfBiRFnYzp8JAoH5D64INw/348s.jpg,4,1,Punggol,"['Ice Cream & Frozen Yogurt', 'Pizza']",
Punggol,Fusion Mookata @ Punggol,www.yelp.com/biz/fusion-mookata-punggol-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/hAbxCJ4b73rDuVOcC9d_lg/348s.jpg,1,1,Punggol,"['Asian Fusion', 'Thai']",
Punggol,Soek Seng 1954,www.yelp.com/biz/soek-seng-1954-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/QEOjzc9dvC8CO15kQJq7DQ/348s.jpg,3.5,6,Seletar,"['Cafes', 'Bikes']",2.0
Punggol,Wildseed Café by The Summerhouse,www.yelp.com/biz/wildseed-caf%C3%A9-by-the-summerhouse-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/4jHxLLmtZ4g5W01bIn17iA/348s.jpg,1.5,15,Seletar,['Cafes'],
Punggol,Uncle Leong Seafood,www.yelp.com/biz/uncle-leong-seafood-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/oe8IRFHrVUL_lqZdk7A4WQ/348s.jpg,1,3,Punggol,"['Chinese', 'Seafood']",3.0
Punggol,Master Crab Seafood Restaurant,www.yelp.com/biz/master-crab-seafood-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/evBD-Jz6GFS3wHTC8HgOHw/348s.jpg,3.5,2,Punggol,['Seafood'],1.0
Punggol,Seletar Hill,www.yelp.com/biz/seletar-hill-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Xi2Uft8fymZ4oP-QhrHURA/348s.jpg,5,1,Yio Chu Kang,['Szechuan'],2.0
Punggol,Knuckles,www.yelp.com/biz/knuckles-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/8WEcBqo2ohUxTqlxEpyTZQ/348s.jpg,4,3,$,"['Bistros', 'Cafes']",
Punggol,House Of Seafood,www.yelp.com/biz/house-of-seafood-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/VkTVSBVV9EQrSDirJI0QBQ/348s.jpg,4.5,4,4,['Seafood'],4.0
Punggol,Lola’s Cafe,www.yelp.com/biz/lolas-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/iuQkBUrvQ5Y4FGKcIlkFfA/348s.jpg,3.5,20,20,"['Cafes', 'Breakfast & Brunch']",
Punggol,Lava Rock,www.yelp.com/biz/lava-rock-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/uHcMeWWjbcEEdksgNtRjng/348s.jpg,4,1,,['Singaporean'],
Punggol,Legend Kopitiam,www.yelp.com/biz/legend-kopitiam-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/4X3yuUKRfslGoucJNxw61Q/348s.jpg,1,2,Serangoon Gardens,"['Bistros', 'Coffee & Tea', 'Chinese']",1.0
Punggol,Mid Summer Nite Breeze,www.yelp.com/biz/mid-summer-nite-breeze-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/3gkR9mdFRSrt0ii9Gz-eaw/348s.jpg,4,1,Sengkang,"['Bars', 'American (Traditional)']",2.0
Punggol,Young’s Bar & Resturant,www.yelp.com/biz/youngs-bar-and-resturant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/o1veoFta7RiD1R1NyQ074Q/348s.jpg,2,2,Pasir Ris,"['Italian', 'Bars', 'Modern European']",
Punggol,Cheng Seafood Village,www.yelp.com/biz/cheng-seafood-village-no-title?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/dvYGmE1EoSFfWSiX_mxhtw/348s.jpg,3,1,Seletar,"['Chinese', 'Seafood']",2.0
Punggol,Mai Thai,www.yelp.com/biz/mai-thai-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/HpBUBsaORK_kNUS12JWrwg/348s.jpg,5,1,Punggol,['Thai'],
Punggol,Orchid Live Seafood,www.yelp.com/biz/orchid-live-seafood-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/wQHiEVAwZpYcISrGCS4cZA/348s.jpg,4.5,4,Yio Chu Kang,['Seafood'],
Punggol,Nit & Grit,www.yelp.com/biz/nit-and-grit-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/GDv_guALMp06CabGUMX6Hw/348s.jpg,4.5,3,Hougang,"['Waffles', 'Burgers', 'Fast Food']",
Punggol,Olivia & Co,www.yelp.com/biz/olivia-and-co-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Yv1H_xLBmF9zwkf56L9qmQ/348s.jpg,4,1,Sengkang,"['Coffee & Tea', 'Patisserie/Cake Shop', 'Breakfast & Brunch']",
Punggol,Jerry’s BBQ & Grill,www.yelp.com/biz/jerrys-bbq-and-grill-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/3Rv5cxW5KY_8h9OxHYPMUg/348s.jpg,3.5,4,Yio Chu Kang,['Barbeque'],2.0
Punggol,The French Table,www.yelp.com/biz/the-french-table-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/4GpimZFwYH7GKZUN9l-r_A/348s.jpg,2.5,3,Punggol,['French'],
Punggol,Hansik Korean Restaurant,www.yelp.com/biz/hansik-korean-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Cg7LBeUc9NT-Caz84ogLEQ/348s.jpg,4,6,$$$,['Korean'],
Punggol,Goodyear Seafood Village - Pontian Bak Kut Teh,www.yelp.com/biz/goodyear-seafood-village-pontian-bak-kut-teh-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/I1m0XtpeyrlRZM8plx-Gyw/348s.jpg,4,5,5,['Chinese'],1.0
Punggol,Simon Road Oyster Omelette Carrot Cake,www.yelp.com/biz/simon-road-oyster-omelette-carrot-cake-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/RE_D6OGHP5XSS_2003C0QA/348s.jpg,4.5,2,2,['Cafes'],
Punggol,Rong Kee,www.yelp.com/biz/rong-kee-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/jWFfPmISf3YQ7hQt-kW0xQ/348s.jpg,5,1,1,['Asian Fusion'],1.0
Punggol,Shen Xi Lao Huo Tang,www.yelp.com/biz/shen-xi-lao-huo-tang-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/oX4P7Z7tGgwWB8xvC5AGvw/348s.jpg,4,1,1,"['Soup', 'Cantonese']",
Punggol,Chicken Rice & Roasted Meat Stall Koufu Food Court,www.yelp.com/biz/chicken-rice-and-roasted-meat-stall-koufu-food-court-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/r8FY8wypYXJIUk5CF0uO6Q/348s.jpg,5,3,Changi,"['Asian Fusion', 'Chinese']",1.0
Punggol,Rakuichi Sushi,www.yelp.com/biz/rakuichi-sushi-seletar?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/T9oE7-piqHYeGX2dMBzcqg/348s.jpg,4,1,Yio Chu Kang,['Japanese'],2.0
Punggol,Yi Dian Xin Hong Kong Dim Sum,www.yelp.com/biz/yi-dian-xin-hong-kong-dim-sum-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/bE7-ixeHAlivfq096Y3_ig/348s.jpg,3.5,6,$,"['Delicatessen', 'Dim Sum']",
Punggol,The Basil Inn,www.yelp.com/biz/the-basil-inn-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/PDhsnKcJ05d_hKTeLpGCbg/348s.jpg,4.5,4,4,"['Thai', 'Salad', 'Asian Fusion']",1.0
Punggol,Bedok North 85 Carrot Cake and Fried Oyster,www.yelp.com/biz/bedok-north-85-carrot-cake-and-fried-oyster-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/8dWk_JjMymL_9EsDikdWYg/348s.jpg,5,1,1,"['Seafood', 'Bakeries']",1.0
Punggol,Georges,www.yelp.com/biz/georges-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/bnPVtoZWxG2ojfOa-mGhhg/348s.jpg,2,2,2,"['Beach Bars', 'Fish & Chips', 'Burgers']",
Punggol,Teochew Fish Soup - Fish Porridge,www.yelp.com/biz/teochew-fish-soup-fish-porridge-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/U3dppwYpReUPqqh-hNHwew/348s.jpg,4,1,1,"['Street Vendors', 'Singaporean', 'Chinese']",
Punggol,Sakura International Buffet Restaurant,www.yelp.com/biz/sakura-international-buffet-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/VdGQTOGzN1zmtadwVDCdoA/348s.jpg,4,1,1,['Buffets'],
Punggol,Fortune Food Homemade Springroll,www.yelp.com/biz/fortune-food-homemade-springroll-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/3j3-tEjgsohw9wR5uIPCDg/348s.jpg,5,1,1,['Singaporean'],
Punggol,Blanco Prawn Noodle House,www.yelp.com/biz/blanco-prawn-noodle-house-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/q6tl3fhpl7GTeYSBxIIzig/348s.jpg,4,2,2,"['Hokkien', 'Noodles']",1.0
Punggol,Hong Trang Nguyen,www.yelp.com/biz/hong-trang-nguyen-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/PmnarCpLHdQ7N8LqRHRQXQ/348s.jpg,4,1,Hougang,"['Vietnamese', 'Street Vendors']",
Punggol,Swatow Seafood,www.yelp.com/biz/swatow-seafood-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/z_WxBZN-npOBEx93zhr_ww/348s.jpg,5,1,Serangoon Gardens,"['Chinese', 'Seafood']",
Punggol,Ivins Nonya Specialities,www.yelp.com/biz/ivins-nonya-specialities-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/iUPJbP7rsOMOzUoxyJyLtg/348s.jpg,4,1,,['Asian Fusion'],
Punggol,Tang Tea House Jalan Kayu,www.yelp.com/biz/tang-tea-house-jalan-kayu-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/KqguNtmGKR2RnzE8F1Z8Ww/348s.jpg,3,1,Yio Chu Kang,['Chinese'],2.0
Punggol,Dim Sum Inc by Crystal Jade,www.yelp.com/biz/dim-sum-inc-by-crystal-jade-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/mS6nYFhRPocLOu7Hk8jKjQ/348s.jpg,1,1,Punggol,"['Dim Sum', 'Cantonese']",
Punggol,Pietro Ristorante Italiano,www.yelp.com/biz/pietro-ristorante-italiano-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/eLnM25jzZJ7BrI3DwOeQiw/348s.jpg,3,5,Yio Chu Kang,['Italian'],3.0
Punggol,YakiBaBar,www.yelp.com/biz/yakibabar-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/0_pkt48fHREmASS9TtejnQ/348s.jpg,3.5,3,Serangoon Gardens,['Yakitori'],
Punggol,White Restaurant - Sembawang White Bee Hoon,www.yelp.com/biz/white-restaurant-sembawang-white-bee-hoon-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/TLaiJW11NbX16H-smVs3nQ/348s.jpg,2.5,5,Punggol,['Chinese'],2.0
Punggol,Meal Solution,www.yelp.com/biz/meal-solution-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Xf9xXxkAu93QfoaSm_j-gg/348s.jpg,5,1,,['Chinese'],
Punggol,Silvery Moon,www.yelp.com/biz/silvery-moon-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/r7ZQC4xjw_CeueujKQN9xg/348s.jpg,3,1,Pasir Ris,"['Cafes', 'Fish & Chips']",2.0
Punggol,Silvery Moon,www.yelp.com/biz/silvery-moon-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/r7ZQC4xjw_CeueujKQN9xg/348s.jpg,3,1,Pasir Ris,"['Cafes', 'Fish & Chips']",2.0
