neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
one-north,Colbar - Colonial Bar,www.yelp.com/biz/colbar-colonial-bar-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/5lovqWoNlrJTlGCzNITJLg/348s.jpg,3.5,17,Wessex Estate,"['Bars', 'Chinese', 'Singaporean']",2.0
one-north,Gaia Korean Grill + Bar,www.yelp.com/biz/gaia-korean-grill-bar-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/1HDYtnIZJitQ9aTxp2inRA/348s.jpg,5,2,Holland Village,"['Korean', 'Asian Fusion', 'Tapas/Small Plates']",
one-north,Ju Shin Jung,www.yelp.com/biz/ju-shin-jung-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/7Fz7kt1gXsakmyR1Xb-70A/348s.jpg,4,5,Pasir Panjang,['Korean'],3.0
one-north,Auntie Kim’s Korean Restaurant,www.yelp.com/biz/auntie-kims-korean-restaurant-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/3-PM68eb7mczenjLESBkwg/348s.jpg,4,3,Alexandra,"['Korean', 'Barbeque']",2.0
one-north,The Daily Cut,www.yelp.com/biz/the-daily-cut-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/LXm8Lm_MNux8LEsWIF8fhw/348s.jpg,4,3,one-north,['Salad'],
one-north,Sunset Railway Cafe,www.yelp.com/biz/sunset-railway-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/i5n6a8NLjNyja5Xm0c50QQ/348s.jpg,4.5,3,Clementi,['Cafes'],1.0
one-north,The Meeting Place,www.yelp.com/biz/the-meeting-place-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/C9BwyK3dOf3jYiqf2luuYg/348s.jpg,5,3,Clementi,"['Street Vendors', 'Seafood']",2.0
one-north,Omoomodon,www.yelp.com/biz/omoomodon-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/YYueLjpZv0Ha8y8GheRXtQ/348s.jpg,4,3,$$,"['Japanese', 'Korean']",
one-north,Nakhon Kitchen,www.yelp.com/biz/nakhon-kitchen-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/VvNGGOWGD7GvR_bC4WnsyA/348s.jpg,3.5,27,27,['Thai'],1.0
one-north,Peperoni Pizzeria,www.yelp.com/biz/peperoni-pizzeria-singapore-7?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/t3bw-eoMk0_Fagw6Vcmvsw/348s.jpg,4.5,4,4,"['Pizza', 'Italian']",2.0
one-north,Uncle Ho Tuckshop,www.yelp.com/biz/uncle-ho-tuckshop-pasir-panjang?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/gEGIDKPr0GdlNNudCpmXxg/348s.jpg,4.5,2,Alexandra,['Vietnamese'],
one-north,Mac’s Cafe & Bar,www.yelp.com/biz/macs-cafe-and-bar-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/mcNUJzsUXSOGkXE55EHpqg/348s.jpg,4,1,one-north,"['Asian Fusion', 'Indian']",
one-north,Sixty40,www.yelp.com/biz/sixty40-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/fehjh_mWeI0vbkILepihZw/348s.jpg,3,1,,['Bars'],
one-north,Tokyo Joe,www.yelp.com/biz/tokyo-joe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/JlVPqmjU3_9tkX9oV86rIw/348s.jpg,4,1,Kent Ridge,['Japanese'],
one-north,Khansama Tandoori Village,www.yelp.com/biz/khansama-tandoori-village-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/_Zm6rxaoVUfk9l-7Br1fww/348s.jpg,3.5,6,Kent Ridge,['Indian'],1.0
one-north,Nakhon Kitchen,www.yelp.com/biz/nakhon-kitchen-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/VvNGGOWGD7GvR_bC4WnsyA/348s.jpg,3.5,27,Holland Village,['Thai'],1.0
