neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Alexandra,Soi Thai Soi Nice,www.yelp.com/biz/soi-thai-soi-nice-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/qmndjmkNW-8efdtjqW6WMw/348s.jpg,4.5,2,Alexandra,['Thai'],
Alexandra,Keng Eng Kee Seafood,www.yelp.com/biz/keng-eng-kee-seafood-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/1TziiZSLJKWzzD4tfscN2Q/348s.jpg,4,22,Alexandra,['Seafood'],2.0
Alexandra,The Naked Finn,www.yelp.com/biz/the-naked-finn-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ScSHvCNpbz7DI-_DsDDtaA/348s.jpg,4.5,19,Alexandra,['Seafood'],3.0
Alexandra,Handlebar,www.yelp.com/biz/handlebar-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/QW5T4m1L9KB7Sd7ntLnmWw/348s.jpg,4.5,3,Alexandra,"['American (Traditional)', 'Steakhouses']",3.0
Alexandra,Burger Barn,www.yelp.com/biz/burger-barn-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ABw7yUzcQx2fGPqpODYDlg/348s.jpg,4,4,Alexandra,['Burgers'],1.0
Alexandra,Hong Kong Street Chun Kee,www.yelp.com/biz/hong-kong-street-chun-kee-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/abTYFOaSY9v5BxhSVfA6MQ/348s.jpg,5,1,Alexandra,['Chinese'],1.0
Alexandra,Ma Maison,www.yelp.com/biz/ma-maison-singapore-5?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/TZS9ZXy_J2OpaudYX7bO-w/348s.jpg,4.5,2,Alexandra,['Asian Fusion'],2.0
Alexandra,Tai Liok Claypot Chicken Rice,www.yelp.com/biz/tai-liok-claypot-chicken-rice-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/QdwWgDk-D7ZxD2QjQqQEXg/348s.jpg,5,1,Alexandra,"['Street Vendors', 'Chinese']",
Alexandra,Auntie Kim’s Korean Restaurant,www.yelp.com/biz/auntie-kims-korean-restaurant-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/3-PM68eb7mczenjLESBkwg/348s.jpg,4,3,Alexandra,"['Korean', 'Barbeque']",2.0
Alexandra,Stew Küche,www.yelp.com/biz/stew-k%C3%BCche-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/LISy-r6SFr6DzbmM-Vks_g/348s.jpg,3.5,8,Alexandra,['German'],2.0
Alexandra,Stew Küche,www.yelp.com/biz/stew-k%C3%BCche-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/LISy-r6SFr6DzbmM-Vks_g/348s.jpg,3.5,8,Alexandra,['German'],2.0
Alexandra,Masons,www.yelp.com/biz/masons-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/nD043XG_x1c_b-vDHr2y4w/348s.jpg,3.5,7,Alexandra,['Modern European'],3.0
