neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Arab Street,Holycrab,www.yelp.com/biz/holycrab-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/XVXC7btsXlWlRMeQUbMcvA/348s.jpg,4.5,19,Bugis,"['Singaporean', 'Chinese', 'Seafood']",4.0
Arab Street,Happy Crab,www.yelp.com/biz/happy-crab-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/lGWzdL3aDbsa9jsLWjtl7Q/348s.jpg,4.5,11,Arab Street,"['Seafood', 'Singaporean']",3.0
Arab Street,Kampong Glam Cafe,www.yelp.com/biz/kampong-glam-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/fKa06CMs6qd5ddkUD48oBg/348s.jpg,4,26,Arab Street,['Indonesian'],1.0
Arab Street,Tabbouleh,www.yelp.com/biz/tabbouleh-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Eouyljx8GtvAAIZzODp9Ng/348s.jpg,3.5,14,Arab Street,"['Mediterranean', 'Lebanese']",2.0
Arab Street,Limaa,www.yelp.com/biz/limaa-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ag0cYXf_JyyW7waswr2aSQ/348s.jpg,5,2,Arab Street,['Cafes'],
Arab Street,Istanblue Mezze & Grill House,www.yelp.com/biz/istanblue-mezze-and-grill-house-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/uS5SSGmAJylx87JhOjWV5g/348s.jpg,3.5,4,Arab Street,['Turkish'],
Arab Street,The Royals Steakhouse,www.yelp.com/biz/the-royals-steakhouse-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/49KmdCP9uPjUnJwm8tG51A/348s.jpg,4.5,2,Arab Street,"['Halal', 'Steakhouses']",
Arab Street,Mrs Pho,www.yelp.com/biz/mrs-pho-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/dxejKPANhZ_aNgoN4dPqUw/348s.jpg,4,58,Arab Street,['Vietnamese'],1.0
Arab Street,Wakey Wakey,www.yelp.com/biz/wakey-wakey-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/TxiNAZG9zEc0pV6oMqHngQ/348s.jpg,5,4,Arab Street,['Cafes'],
Arab Street,Maison Ikkoku Restaurant & Bar,www.yelp.com/biz/maison-ikkoku-restaurant-and-bar-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/kdSVEHSeweDhwYoZNznNcg/348s.jpg,4,73,Arab Street,"['Cocktail Bars', 'Asian Fusion', 'Japanese']",2.0
Arab Street,13% Gastro Wine,www.yelp.com/biz/13-gastro-wine-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ff9wUipbw0M8cn0pj9Pexw/348s.jpg,4,2,Arab Street,"['Wine Bars', 'Modern European']",
Arab Street,Sungei Road Laksa,www.yelp.com/biz/sungei-road-laksa-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/TD2qcEtt-AEJ0U0JAIeRpQ/348s.jpg,4.5,71,Lavender,"['Singaporean', 'Chinese', 'Noodles']",1.0
Arab Street,Gu Cheng 古城,www.yelp.com/biz/gu-cheng-%E5%8F%A4%E5%9F%8E-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/YtQAj40TjJBagmrALPLuZg/348s.jpg,4,1,Lavender,['Malaysian'],
Arab Street,Nox - Dine in the Dark,www.yelp.com/biz/nox-dine-in-the-dark-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/zZb5v3r5c_SVY2Z0FX4-Hg/348s.jpg,4.5,20,Arab Street,['Modern European'],4.0
Arab Street,Earlybird,www.yelp.com/biz/earlybird-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/pvHt_Oay-j0csmJPUctMIA/348s.jpg,4.5,3,Lavender,"['Cafes', 'Breakfast & Brunch']",
Arab Street,Tolido’s Espresso Nook,www.yelp.com/biz/tolidos-espresso-nook-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/40D0vX8qEoBwKFSplvDOHA/348s.jpg,4.5,66,Lavender,"['Breakfast & Brunch', 'Coffee & Tea']",2.0
Arab Street,Ginger at PARKROYAL,www.yelp.com/biz/ginger-at-parkroyal-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/LdOYr-OOXZCf-p92ZkepTA/348s.jpg,4,1,Arab Street,['Buffets'],
Arab Street,Tian Fu Tea Room,www.yelp.com/biz/tian-fu-tea-room-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/AGoJxcfwPqsrYbLXfGX8VQ/348s.jpg,4,3,Arab Street,"['Dim Sum', 'Tea Rooms']",
Arab Street,Blu Jaz Cafe,www.yelp.com/biz/blu-jaz-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/5M5VQvd2IzVnySYG7dZLEQ/348s.jpg,3.5,27,Arab Street,"['Cafes', 'Dance Clubs']",2.0
Arab Street,Padi,www.yelp.com/biz/padi-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/iNnr7aglhKofF43LrBQdxA/348s.jpg,5,2,Arab Street,['Singaporean'],
Arab Street,Padi,www.yelp.com/biz/padi-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/iNnr7aglhKofF43LrBQdxA/348s.jpg,5,2,Arab Street,['Singaporean'],
Arab Street,Yamagawa Japanese Restaurant,www.yelp.com/biz/yamagawa-japanese-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/d0yXd_z8SwjiAvNIoy2Ksw/348s.jpg,4,5,Arab Street,['Japanese'],3.0
Arab Street,Going Om - Temp. CLOSED,www.yelp.com/biz/going-om-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/8gWEy6s9q1xQ52L3e40Yzg/348s.jpg,4.5,19,Arab Street,"['Bars', 'Cafes']",2.0
Arab Street,Chuan Guo Yan Yi,www.yelp.com/biz/chuan-guo-yan-yi-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/CJ1UqsR3jdNtMNqLQwsiXQ/348s.jpg,4,1,Arab Street,['Szechuan'],
Arab Street,Zam Zam Restaurant,www.yelp.com/biz/zam-zam-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/JBvPtqY1eHVf7N_F-kHMUQ/348s.jpg,4,94,Arab Street,"['Indian', 'Halal']",1.0
Arab Street,Piedra Negra,www.yelp.com/biz/piedra-negra-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/g7gLlyo7noIfv_ZWnXreKw/348s.jpg,3.5,36,Arab Street,"['Mexican', 'Bars']",2.0
Arab Street,Blanco Court Prawn Mee,www.yelp.com/biz/blanco-court-prawn-mee-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/B8-xH3YMSDgIXHs-EuwXrg/348s.jpg,4,18,Arab Street,['Noodles'],
Arab Street,Lubnan,www.yelp.com/biz/lubnan-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/dN8XufBNFHUJk3oed3ii7w/348s.jpg,3.5,2,Arab Street,"['Lebanese', 'Mediterranean', 'Greek']",2.0
Arab Street,Cicheti,www.yelp.com/biz/cicheti-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/zfPoNkxAsbeZdxU8vT0Y3Q/348s.jpg,4,34,Arab Street,"['Wine Bars', 'Italian', 'Pizza']",3.0
Arab Street,Tai Hwa Pork Noodle,www.yelp.com/biz/tai-hwa-pork-noodle-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/nxea-BvWww-FXGj6vEZ8kg/348s.jpg,4,85,Lavender,"['Chinese', 'Noodles']",1.0
Arab Street,Tai Hwa Pork Noodle,www.yelp.com/biz/tai-hwa-pork-noodle-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/nxea-BvWww-FXGj6vEZ8kg/348s.jpg,4,85,Lavender,"['Chinese', 'Noodles']",1.0
Arab Street,The Landmark,www.yelp.com/biz/the-landmark-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/EyOkEGgGrAUYOwhpTkcliA/348s.jpg,4,3,Arab Street,"['Halal', 'Buffets', 'International']",
Arab Street,Uni Gallery,www.yelp.com/biz/uni-gallery-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/0HET1y15m_rrG57zxer7wg/348s.jpg,5,2,Arab Street,['Japanese'],
Arab Street,Byblos Grill,www.yelp.com/biz/byblos-grill-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/cRFjhfeNc4q7i2Np_1Clcw/348s.jpg,3.5,10,Arab Street,['Lebanese'],2.0
Arab Street,Co Hai Banh Mi,www.yelp.com/biz/co-hai-banh-mi-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/CoGxEv5Sj_HznIEhiKoulg/348s.jpg,4,4,Arab Street,['Vietnamese'],
Arab Street,Alaturka,www.yelp.com/biz/alaturka-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/CeY-vQ-3_P75djhGzf25JQ/348s.jpg,3.5,21,Arab Street,"['Turkish', 'Mediterranean']",2.0
Arab Street,Flying Monkey,www.yelp.com/biz/flying-monkey-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/FS2Zb5N8R2ssNkT-UZ1FOg/348s.jpg,4.5,6,Arab Street,"['Indian', 'Cocktail Bars']",3.0
Arab Street,FatPapas,www.yelp.com/biz/fatpapas-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/DQXBwYskkgFGpZNkGhF3FQ/348s.jpg,5,2,Arab Street,"['Halal', 'Singaporean', 'Burgers']",
Arab Street,Tono Cevicheria,www.yelp.com/biz/tono-cevicheria-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/2zA4OeKFp31Ah8zWO18rgw/348s.jpg,4.5,7,Bugis,['Latin American'],
Arab Street,Luk Lu Eating House,www.yelp.com/biz/luk-lu-eating-house-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/T3XN8qH2ZaiPcRlcPQNZ4Q/348s.jpg,5,1,Arab Street,['Singaporean'],1.0
Arab Street,Sawadee Thai Cuisine,www.yelp.com/biz/sawadee-thai-cuisine-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/n8bPMEIEGLAxrgZ2Uc5O8Q/348s.jpg,4.5,14,Bugis,['Thai'],2.0
Arab Street,Jumbo Seafood,www.yelp.com/biz/jumbo-seafood-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/85hCRe6TJh0e670IadHemA/348s.jpg,4,188,Clarke Quay,['Seafood'],3.0
Arab Street,Selfie Coffee,www.yelp.com/biz/selfie-coffee-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/_r0NWApJbHf-WUiIdZREnA/348s.jpg,4,18,Arab Street,['Cafes'],1.0
Arab Street,The Beast,www.yelp.com/biz/the-beast-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/bKaU4QoR8_aJS48Uogu0xw/348s.jpg,3.5,29,Lavender,"['Bars', 'American (Traditional)', 'Burgers']",2.0
Arab Street,Seow Choon Hua Restaurant,www.yelp.com/biz/seow-choon-hua-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/C6T-1MmFrKWAZ-yms2qgZQ/348s.jpg,4,7,Arab Street,['Chinese'],1.0
Arab Street,Meomi Cat Cafe,www.yelp.com/biz/meomi-cat-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/tk3sUvw1Iw1qNFjHGzixsw/348s.jpg,4.5,12,Arab Street,"['Coffee & Tea', 'Cafes']",2.0
Arab Street,Fluff Bakery,www.yelp.com/biz/fluff-bakery-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/lZ4bdpzuEjcxbCBvvx0rvw/348s.jpg,4.5,9,Arab Street,"['Cupcakes', 'Patisserie/Cake Shop', 'Halal']",2.0
Arab Street,Pizza Fabbrica,www.yelp.com/biz/pizza-fabbrica-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Pu9AHjKy8NjoE4nSnqx6xQ/348s.jpg,4,12,Arab Street,"['Italian', 'Pizza']",3.0
Arab Street,Ah Loy Thai,www.yelp.com/biz/ah-loy-thai-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/7KTRO1IRxm6G6fY6NFCQIA/348s.jpg,5,5,Bugis,['Thai'],
Arab Street,Nefertiti Restaurant & Cafe,www.yelp.com/biz/nefertiti-restaurant-and-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/uAbMqlGvxkXqF0Gk4TT-ow/348s.jpg,3.5,3,Arab Street,"['Mediterranean', 'Turkish', 'Middle Eastern']",2.0
Arab Street,House Of Kebab,www.yelp.com/biz/house-of-kebab-rochor?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/-Ogoigc8MQFPFW6dqyZOrw/348s.jpg,3,11,Arab Street,['Kebab'],1.0
Arab Street,The Mad Sailors,www.yelp.com/biz/the-mad-sailors-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/mh4fZxTSA9Lzv2390YBvYg/348s.jpg,4,1,Arab Street,"['Halal', 'Cafes', 'British']",
Arab Street,Hararu Izakaya,www.yelp.com/biz/hararu-izakaya-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Y-hLrS-jdnpu-TmKJDCcjw/348s.jpg,3.5,2,Arab Street,['Izakaya'],3.0
Arab Street,Tarik Cafe,www.yelp.com/biz/tarik-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/EWQ8Ra5CvEkV9PsUPG_k0Q/348s.jpg,5,1,Arab Street,['Food Stands'],
Arab Street,Founder Bak Kut Teh,www.yelp.com/biz/founder-bak-kut-teh-no-title?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/vyaqSIemX43fcOPwCNtkjQ/348s.jpg,4,13,Lavender,['Singaporean'],2.0
Arab Street,Ambrosia,www.yelp.com/biz/ambrosia-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/zLNTsyHbucBjFaQxwh_Nxg/348s.jpg,1.5,2,Arab Street,"['Modern European', 'Middle Eastern', 'Mediterranean']",3.0
Arab Street,Ciao Italian Risto Bar,www.yelp.com/biz/ciao-italian-risto-bar-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/BnsHdw6h4DxNXOfSKpTcFg/348s.jpg,4,5,Arab Street,['Italian'],
Arab Street,Vatos Urban Tacos,www.yelp.com/biz/vatos-urban-tacos-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/O7cE5crP8GRG6LNZMUBlYA/348s.jpg,4,90,Bugis,['Mexican'],2.0
Arab Street,Sari Ratu,www.yelp.com/biz/sari-ratu-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/UhO_HU_jSd7uFdYPqKRByg/348s.jpg,4,1,Arab Street,['Indonesian'],
Arab Street,Choo Choo Chicken,www.yelp.com/biz/choo-choo-chicken-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/S67DfSDm5eisblxT36vCXw/348s.jpg,4,6,Arab Street,"['Korean', 'Imported Food']",2.0
Arab Street,Tash Tish Tosh,www.yelp.com/biz/tash-tish-tosh-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/kqwYyuTta1nbg5fy-pm5Sw/348s.jpg,5,1,Arab Street,"['Singaporean', 'Asian Fusion', 'Halal']",
Arab Street,Warong Nasi Pariaman,www.yelp.com/biz/warong-nasi-pariaman-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/TNuQ_xRAiFcGXh0NIh47RQ/348s.jpg,3.5,13,Arab Street,['Indonesian'],
Arab Street,Kumoya,www.yelp.com/biz/kumoya-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/tMnVXgFtY9q8nfxxbjdaiA/348s.jpg,3.5,6,Arab Street,"['Japanese', 'Themed Cafes']",
Arab Street,Amirah’s Grill Restaurant & Cafe,www.yelp.com/biz/amirahs-grill-restaurant-and-cafe-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ydeQ2tuKhlQP96Aztnf4cA/348s.jpg,2.5,5,Arab Street,"['Modern European', 'Middle Eastern', 'Mediterranean']",2.0
Arab Street,Ramadan Food Bazaar,www.yelp.com/biz/ramadan-food-bazaar-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/qcIO3Gs_vfO2UW6MUwVRkA/348s.jpg,5,1,Arab Street,"['Imported Food', 'Pop-Up Restaurants']",
Arab Street,Nan Hwa Chong Fish-Head Steamboat Corner,www.yelp.com/biz/nan-hwa-chong-fish-head-steamboat-corner-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/fcHoNmzUBzS4HnH1bt32UQ/348s.jpg,4,9,Arab Street,"['Seafood', 'Chinese']",2.0
