neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Bedok Reservoir,Knots Cafe & Living,www.yelp.com/biz/knots-cafe-and-living-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/csHQWwhGm-IrFYrfmli5YQ/348s.jpg,4.5,7,Ubi,"['Coffee & Tea', 'Breakfast & Brunch']",
Bedok Reservoir,Burp Kitchen & Bar - Bedok Reservoir,www.yelp.com/biz/burp-kitchen-and-bar-bedok-reservoir-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/plSYaOWu9rU55v3adMfE_A/348s.jpg,3.5,4,Bedok Reservoir,"['Bars', 'Cafes', 'Venues & Event Spaces']",2.0
Bedok Reservoir,Coastal Rhythm Cafe & Bar,www.yelp.com/biz/coastal-rhythm-cafe-and-bar-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/RW2R7HXTteeB6ECpouB1yQ/348s.jpg,5,1,Marine Parade,"['Bars', 'Cafes']",
Bedok Reservoir,Refuel Cafe,www.yelp.com/biz/refuel-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Rl461NZ6MMImIio9Eqt92w/348s.jpg,4,6,Bedok Reservoir,"['Cafes', 'Breakfast & Brunch']",1.0
Bedok Reservoir,Yamato Izakaya,www.yelp.com/biz/yamato-izakaya-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/hEHe-nQwcA1Ea-LwIcoNtQ/348s.jpg,4,5,Ubi,"['Sushi Bars', 'Ramen']",
Bedok Reservoir,Goldhill Family Restruant,www.yelp.com/biz/goldhill-family-restruant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/QZajfc7vvfYXgoAYZ17_dw/348s.jpg,5,1,Hougang,['Singaporean'],1.0
Bedok Reservoir,Thai Boat Noodle,www.yelp.com/biz/thai-boat-noodle-bedok-point?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Eo2G_f1K0vLEARdMZBmYoQ/348s.jpg,5,1,Bedok North,"['Street Vendors', 'Thai']",
Bedok Reservoir,Fragrant Garden,www.yelp.com/biz/fragrant-garden-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/lS8AP26coBUEXVdeDrLX_Q/348s.jpg,5,4,$,['Teochew'],
Bedok Reservoir,Forty Hands East Coast,www.yelp.com/biz/forty-hands-east-coast-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/1OYL8OuFAspKZoCd0hHMrg/348s.jpg,4.5,2,2,['Cafes'],
Bedok Reservoir,Jai’s Thai-Vientiane Cuisine,www.yelp.com/biz/jais-thai-vientiane-cuisine-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/gKJPXEH_8Oheb9DmCSv6dg/348s.jpg,5,1,1,['Thai'],1.0
Bedok Reservoir,Hao Lai Ke,www.yelp.com/biz/hao-lai-ke-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/A58pClXs-yk-kEMziVFxqQ/348s.jpg,4.5,2,Bedok North,"['Taiwanese', 'Chinese']",
Bedok Reservoir,Hansik Korean Restaurant,www.yelp.com/biz/hansik-korean-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Cg7LBeUc9NT-Caz84ogLEQ/348s.jpg,4,6,$$$,['Korean'],
Bedok Reservoir,Mellben Food Palace,www.yelp.com/biz/mellben-food-palace-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/2Qu64I3RthL5nh19zy5btg/348s.jpg,4,5,5,['Seafood'],2.0
Bedok Reservoir,Goldhill Hakka Restaurant,www.yelp.com/biz/goldhill-hakka-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ay3ualRA0ksXMaG-Fljuyw/348s.jpg,5,5,5,"['Hakka', 'Seafood']",
Bedok Reservoir,Nakhon Kitchen,www.yelp.com/biz/nakhon-kitchen-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/k9bfV8d0omBbdvTOf7CMeQ/348s.jpg,4,19,19,['Thai'],
Bedok Reservoir,Builders Cafe,www.yelp.com/biz/builders-cafe-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Af00wM1hornJGNsFWZ6Q3Q/348s.jpg,4.5,2,,['Cafes'],
Bedok Reservoir,Brawn & Brains Coffee,www.yelp.com/biz/brawn-and-brains-coffee-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/hjOEisgZi9IC1-Nsx4sqPA/348s.jpg,4,26,Geylang,"['Coffee & Tea', 'Sandwiches']",2.0
Bedok Reservoir,Little Vietnam Restaurant & Cafe,www.yelp.com/biz/little-vietnam-restaurant-and-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/FUTn42NhHq7HaU6oA8B73w/348s.jpg,3.5,9,Geylang,['Vietnamese'],1.0
Bedok Reservoir,Ubi 33 Food House,www.yelp.com/biz/ubi-33-food-house-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/spadCeRqm-Aq8xcm5CFpMQ/348s.jpg,3,1,Geylang,['Food Court'],
Bedok Reservoir,South Union Park,www.yelp.com/biz/south-union-park-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/5yQXWoWWAY0od_deRVblcg/348s.jpg,4,2,Ubi,['Cafes'],
Bedok Reservoir,Magic Wok,www.yelp.com/biz/magic-wok-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/tS14zfQI9oVObUcSRXi7hw/348s.jpg,4.5,3,Pasir Ris,['Singaporean'],
Bedok Reservoir,Ubi 33 Food House,www.yelp.com/biz/ubi-33-food-house-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/spadCeRqm-Aq8xcm5CFpMQ/348s.jpg,3,1,Ubi,['Food Court'],
Bedok Reservoir,Ambeng Cafe,www.yelp.com/biz/ambeng-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/KK5TAkar6bCT3RlSn_vKMg/348s.jpg,5,1,Simei,['Indonesian'],
Bedok Reservoir,Yi Dian Xin Hong Kong Dim Sum,www.yelp.com/biz/yi-dian-xin-hong-kong-dim-sum-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/bE7-ixeHAlivfq096Y3_ig/348s.jpg,3.5,6,$,"['Delicatessen', 'Dim Sum']",
Bedok Reservoir,Velu’S Curry,www.yelp.com/biz/velus-curry-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/_QaI2caWmk1ZnWIpBSDblA/348s.jpg,4.5,3,3,['Restaurants'],1.0
Bedok Reservoir,Nanyang Old Taste,www.yelp.com/biz/nanyang-old-taste-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/N_witKz_D3M1647hXhRxhQ/348s.jpg,5,1,1,['Singaporean'],
Bedok Reservoir,Knuckles,www.yelp.com/biz/knuckles-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/8WEcBqo2ohUxTqlxEpyTZQ/348s.jpg,4,3,3,"['Bistros', 'Cafes']",
Bedok Reservoir,Eat At Taipei,www.yelp.com/biz/eat-at-taipei-singapore-6?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/lEspbTuHc-ADsHl7lNqjUA/348s.jpg,3.5,6,,['Taiwanese'],2.0
Bedok Reservoir,Jin Wee Restaurant,www.yelp.com/biz/jin-wee-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/cwXuvAPu5c_6Hn7x36LuTQ/348s.jpg,4,4,Kallang,['Chinese'],1.0
Bedok Reservoir,Eatzi Gourmet Bistro,www.yelp.com/biz/eatzi-gourmet-bistro-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/w3e8611diezs-wHmtGNqPw/348s.jpg,4,1,Siglap,"['Steakhouses', 'Breakfast & Brunch', 'Halal']",
Bedok Reservoir,Eatzi Gourmet Bistro,www.yelp.com/biz/eatzi-gourmet-bistro-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/w3e8611diezs-wHmtGNqPw/348s.jpg,4,1,Eunos,"['Steakhouses', 'Breakfast & Brunch', 'Halal']",
Bedok Reservoir,Warong Java,www.yelp.com/biz/warong-java-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/AtfFNhjGpkWd_DuxCu9F4Q/348s.jpg,4,1,Bedok North,['Indonesian'],2.0
Bedok Reservoir,Jing Long Seafood Restaurant - BEDOK,www.yelp.com/biz/jing-long-seafood-restaurant-bedok-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/R1-v5D3xBWaEkQjoRAx5wg/348s.jpg,2.5,3,Bedok North,"['Chinese', 'Seafood']",3.0
Bedok Reservoir,Tasty Court By Chef Pung,www.yelp.com/biz/tasty-court-by-chef-pung-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/T1cauJL9acvyonTPaU1yCg/348s.jpg,3,3,Siglap,['Chinese'],
Bedok Reservoir,Aliff Nasi Lemak,www.yelp.com/biz/aliff-nasi-lemak-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/OszS9OiEK_deehybtZaXOw/348s.jpg,4,1,Bedok North,"['Halal', 'Singaporean', 'Breakfast & Brunch']",
