neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Bedok South,Lao Huo Tang,www.yelp.com/biz/lao-huo-tang-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/SELgMSo6DlgfNNDUyqcIqA/348s.jpg,5,1,Tampines,['Chinese'],
Bedok South,Hua Yu Wee,www.yelp.com/biz/hua-yu-wee-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/xzplGmVKPlEvbnO3ipGf_Q/348s.jpg,4.5,16,Bedok South,"['Chinese', 'Seafood']",2.0
Bedok South,Satay Solo,www.yelp.com/biz/satay-solo-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/caQXHjlnplDFYL2e1VkMGQ/348s.jpg,4,1,Bedok South,"['Indonesian', 'Street Vendors']",
Bedok South,Paik’s Bibimbap,www.yelp.com/biz/paiks-bibimbap-bedok?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/5Scg3VdeISSHiWSqHZUwRQ/348s.jpg,5,1,Bedok North,['Korean'],1.0
Bedok South,Momoya Japanese Restaurant,www.yelp.com/biz/momoya-japanese-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/uEAnWcPYuAMi8JFdksEFog/348s.jpg,4,4,Simei,['Japanese'],
Bedok South,Saboten,www.yelp.com/biz/saboten-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/gLMT2UhVkERWKjGmZyMx5Q/348s.jpg,4,15,Changi,['Japanese'],2.0
Bedok South,Bedok Corner Hokkien Prawn Mee,www.yelp.com/biz/bedok-corner-hokkien-prawn-mee-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/MV9cQzBdZb-7aw5_DBTvKg/348s.jpg,4,1,Bedok South,"['Hokkien', 'Noodles']",
Bedok South,Brew & Bar,www.yelp.com/biz/brew-and-bar-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/dEHlGo9AmzwK5dPBPIw1Ow/348s.jpg,4,3,Simei,"['Venues & Event Spaces', 'Wine Bars', 'Asian Fusion']",
Bedok South,AS Seafood Soup,www.yelp.com/biz/as-seafood-soup-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/4TaQ5g9unJN5RkAmllelzA/348s.jpg,4,1,Bedok North,"['Seafood', 'Soup', 'Food Stands']",1.0
Bedok South,Colonial Club,www.yelp.com/biz/colonial-club-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/f0aSLJ2VWoXL0BQgdgrx2A/348s.jpg,4.5,3,Changi,"['Singaporean', 'Malaysian']",
Bedok South,Slackers’ Bar & Café,www.yelp.com/biz/slackers-bar-and-caf%C3%A9-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/gHRLKl58LTh2vzRbaQAzYQ/348s.jpg,5,1,Changi,"['Bars', 'Cafes']",
Bedok South,Mookata,www.yelp.com/biz/mookata-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/f5nHa5JtZwzLP30-Wk0-Ug/348s.jpg,4,7,Katong,['Thai'],2.0
Bedok South,Katong Delights,www.yelp.com/biz/katong-delights-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/YJJ75G9EdwE9hzKMEvg0Tw/348s.jpg,5,1,Siglap,"['Asian Fusion', 'Caterers']",
Bedok South,Tim Ho Wan,www.yelp.com/biz/tim-ho-wan-singapore-11?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/oXXF74c71QXeLcfxZ5x4zg/348s.jpg,5,1,Changi,"['Dim Sum', 'Cantonese']",
Bedok South,The Burning Oak,www.yelp.com/biz/the-burning-oak-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/BkAmfjK4xofHCAbjSJDpxA/348s.jpg,3.5,3,Simei,"['American (Traditional)', 'Asian Fusion']",1.0
Bedok South,Changi Lor 108 Fei Lao Seafood,www.yelp.com/biz/changi-lor-108-fei-lao-seafood-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/BtpoECjmKOUeIqW45lkphA/348s.jpg,4,1,Simei,['Seafood'],2.0
Bedok South,Loh Nam Tai,www.yelp.com/biz/loh-nam-tai-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/fLSw4UPhRd31Z1uEHtpX5Q/348s.jpg,5,1,Changi,['Chinese'],
Bedok South,Caprilicious,www.yelp.com/biz/caprilicious-no-title?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/-yXogoPy_Ssr8rofNHGj0Q/348s.jpg,4,1,Changi,"['Asian Fusion', 'American (Traditional)']",
Bedok South,Alina’s Kitchen,www.yelp.com/biz/alinas-kitchen-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/FVSU2IjwDy8D8DpLoKt6AA/348s.jpg,4,2,Bedok South,['Thai'],
Bedok South,Tonkotsu King Matsuri,www.yelp.com/biz/tonkotsu-king-matsuri-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/EguLI6DIkyFHvdmVeq53wA/348s.jpg,4.5,6,Marine Parade,['Ramen'],2.0
Bedok South,Bedok Food Centre,www.yelp.com/biz/bedok-food-centre-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/x_BF8YjO-C_1b8C87sjSYA/348s.jpg,4,9,Bedok South,['Food Court'],1.0
Bedok South,Spring Ever Food Court,www.yelp.com/biz/spring-ever-food-court-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/-a5yNNbzMopm75NWtT7DoA/348s.jpg,3,1,Bedok South,['Food Court'],
Bedok South,The Kitchen by Wolfgang Puck,www.yelp.com/biz/the-kitchen-by-wolfgang-puck-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/agz3TdZfnR2eH6o3_Cjpkg/348s.jpg,4,4,Changi,"['Pizza', 'Burgers']",
Bedok South,Goodyear Seafood Village - Pontian Bak Kut Teh,www.yelp.com/biz/goodyear-seafood-village-pontian-bak-kut-teh-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/I1m0XtpeyrlRZM8plx-Gyw/348s.jpg,4,5,Tampines,['Chinese'],1.0
Bedok South,Metta Cafe,www.yelp.com/biz/metta-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ny1Cc_4tlm3BIoPJ7ok7kA/348s.jpg,5,1,Simei,"['Desserts', 'Coffee & Tea', 'Breakfast & Brunch']",1.0
