neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Bencoolen,Herbivore,www.yelp.com/biz/herbivore-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/v_X1DHDnbigiCMslz9nycg/348s.jpg,4.5,11,Bencoolen,"['Vegetarian', 'Japanese']",2.0
Bencoolen,Holycrab,www.yelp.com/biz/holycrab-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/XVXC7btsXlWlRMeQUbMcvA/348s.jpg,4.5,19,Bugis,"['Singaporean', 'Chinese', 'Seafood']",4.0
Bencoolen,Stuttgart Blackforest Boutique S-Cafe,www.yelp.com/biz/stuttgart-blackforest-boutique-s-cafe-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/kgXXzrOtaj8YHGNhB_urbA/348s.jpg,4,2,Bencoolen,['German'],
Bencoolen,Ya Kun Kaya Toast,www.yelp.com/biz/ya-kun-kaya-toast-singapore-22?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ruHRuJDeynfFGF-mdZRD_g/348s.jpg,4,13,Bencoolen,['Cafes'],1.0
Bencoolen,Vietnamese Stall - Sim Lim Square Food Court,www.yelp.com/biz/vietnamese-stall-sim-lim-square-food-court-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/PwnKn0v8WsHnk3ktisXqSg/348s.jpg,4.5,4,Bencoolen,['Vietnamese'],
Bencoolen,Hawaiian Kitchen ALOHA Ma Maison,www.yelp.com/biz/hawaiian-kitchen-aloha-ma-maison-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/BR4QXI1UfvW6zkBOiref4w/348s.jpg,4,2,Bencoolen,['Hawaiian'],
Bencoolen,Wing Seong Fatty’s,www.yelp.com/biz/wing-seong-fattys-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/HsRjbn6RtXDKYxsXYmhtHw/348s.jpg,4,15,Bencoolen,"['Chinese', 'Asian Fusion', 'Bars']",2.0
Bencoolen,Fat Bird,www.yelp.com/biz/fat-bird-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/8HxttET2IY8prO9svdyxLg/348s.jpg,4,9,Bugis,['Chinese'],2.0
Bencoolen,Artichoke Cafe & Bar,www.yelp.com/biz/artichoke-cafe-and-bar-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/fRIlGu1AoMnGUhi_QANxuA/348s.jpg,4,71,Bencoolen,"['Bars', 'Middle Eastern']",2.0
Bencoolen,New Rong Ge Liang Hong Kong Roast,www.yelp.com/biz/new-rong-ge-liang-hong-kong-roast-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/cVT-ui4C30WptgSY7sK_gw/348s.jpg,5,1,Bencoolen,['Chinese'],1.0
Bencoolen,Ash & Elm,www.yelp.com/biz/ash-and-elm-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/g5v1D4ZfcmzRwwjKniDD6A/348s.jpg,4,8,Bugis,['Modern European'],3.0
Bencoolen,Subarashii Grill & Bar,www.yelp.com/biz/subarashii-grill-and-bar-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/vdW4R1ShaH75iWF1wt9q2A/348s.jpg,5,1,Bencoolen,"['Japanese', 'Barbeque', 'Asian Fusion']",
Bencoolen,Rui Xiang Restaurant,www.yelp.com/biz/rui-xiang-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/vy5lCaqvn2hMVglS93LoKQ/348s.jpg,4,1,Bencoolen,['Singaporean'],
Bencoolen,Sungei Road Laksa,www.yelp.com/biz/sungei-road-laksa-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/TD2qcEtt-AEJ0U0JAIeRpQ/348s.jpg,4.5,71,Lavender,"['Singaporean', 'Chinese', 'Noodles']",1.0
Bencoolen,Queen St Prawn Noodles,www.yelp.com/biz/queen-st-prawn-noodles-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Ae-jjD-qKssQxbYBoElPIg/348s.jpg,4,1,Bencoolen,['Chinese'],
Bencoolen,Soi Aroy,www.yelp.com/biz/soi-aroy-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/c74_8uq9a57YnRM1nGdLBw/348s.jpg,3.5,2,Bencoolen,"['Thai', 'Noodles']",
Bencoolen,Leong Yeow Famous Waterloo Street Chicken Rice,www.yelp.com/biz/leong-yeow-famous-waterloo-street-chicken-rice-downtown-core?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/-lfLJrRX_6cWBzylmaOuJQ/348s.jpg,4,4,Bencoolen,['Chinese'],
Bencoolen,EL CUBANOS,www.yelp.com/biz/el-cubanos-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/BNi3Gzd2UPVr85uRDc2SCg/348s.jpg,4,5,Bencoolen,"['Sandwiches', 'Halal', 'Pasta Shops']",
Bencoolen,The American Taproom,www.yelp.com/biz/the-american-taproom-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/7rKZcNOA4QUdIEfurAO-pg/348s.jpg,4.5,2,Bencoolen,"['Beer Bar', 'American (Traditional)']",
Bencoolen,Coriander Leaf,www.yelp.com/biz/coriander-leaf-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/MpEDkxv4JjrlQ_zhC-1DMw/348s.jpg,4.5,13,Bras Brasah,['Asian Fusion'],
Bencoolen,Coriander Leaf,www.yelp.com/biz/coriander-leaf-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/MpEDkxv4JjrlQ_zhC-1DMw/348s.jpg,4.5,13,Bras Brasah,['Asian Fusion'],
Bencoolen,Song Garden,www.yelp.com/biz/song-garden-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/KjajOjUNfbDXKVoddgTMdA/348s.jpg,5,1,Bencoolen,"['Dim Sum', 'Cantonese']",
Bencoolen,Jumbo Seafood,www.yelp.com/biz/jumbo-seafood-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/85hCRe6TJh0e670IadHemA/348s.jpg,4,188,Clarke Quay,['Seafood'],3.0
Bencoolen,Geisha Specialty Coffee,www.yelp.com/biz/geisha-specialty-coffee-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/t0lRTlvsRvYTdUb8K4FGXA/348s.jpg,4.5,5,Bencoolen,['Cafes'],1.0
Bencoolen,Vatos Urban Tacos,www.yelp.com/biz/vatos-urban-tacos-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/O7cE5crP8GRG6LNZMUBlYA/348s.jpg,4,90,Bugis,['Mexican'],2.0
