neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Buangkok,218 Centre Hokkien Mee,www.yelp.com/biz/218-centre-hokkien-mee-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Bwd667PcCW8rDn1XWXF7Sg/348s.jpg,4.5,2,Seletar,['Singaporean'],
Buangkok,Sin Heng Kee Porridge,www.yelp.com/biz/sin-heng-kee-porridge-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/781AQ5zZIEtFKVdDSKXdwg/348s.jpg,5,10,Hougang,"['Singaporean', 'Congee']",1.0
Buangkok,Nit & Grit,www.yelp.com/biz/nit-and-grit-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/GDv_guALMp06CabGUMX6Hw/348s.jpg,4.5,3,Hougang,"['Waffles', 'Burgers', 'Fast Food']",
Buangkok,Frienzie Bar & Bistro,www.yelp.com/biz/frienzie-bar-and-bistro-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/TnA6PG6nFYF7PuGVauSW2w/348s.jpg,3,4,Punggol,"['Bars', 'Bistros']",2.0
Buangkok,Hansik Korean Restaurant,www.yelp.com/biz/hansik-korean-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Cg7LBeUc9NT-Caz84ogLEQ/348s.jpg,4,6,$$$,['Korean'],
Buangkok,Goki Day Korean BBQ Buffet Restaurant,www.yelp.com/biz/goki-day-korean-bbq-buffet-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/DwgcZazWVlpj33cFCLdeLQ/348s.jpg,4.5,2,2,"['Korean', 'Buffets']",2.0
Buangkok,Olivia & Co,www.yelp.com/biz/olivia-and-co-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Yv1H_xLBmF9zwkf56L9qmQ/348s.jpg,4,1,1,"['Coffee & Tea', 'Patisserie/Cake Shop', 'Breakfast & Brunch']",
Buangkok,JingLong Seafood Restaurant,www.yelp.com/biz/jinglong-seafood-restaurant-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/FGTocBnbg3RwR_Zz9Q-mdw/348s.jpg,5,1,1,['Seafood'],3.0
Buangkok,Goldhill Family Restruant,www.yelp.com/biz/goldhill-family-restruant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/QZajfc7vvfYXgoAYZ17_dw/348s.jpg,5,1,1,['Singaporean'],1.0
Buangkok,Seletar Hill,www.yelp.com/biz/seletar-hill-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Xi2Uft8fymZ4oP-QhrHURA/348s.jpg,5,1,1,['Szechuan'],2.0
