neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Bugis,Holycrab,www.yelp.com/biz/holycrab-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/XVXC7btsXlWlRMeQUbMcvA/348s.jpg,4.5,19,Bugis,"['Singaporean', 'Chinese', 'Seafood']",4.0
Bugis,Vatos Urban Tacos,www.yelp.com/biz/vatos-urban-tacos-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/O7cE5crP8GRG6LNZMUBlYA/348s.jpg,4,90,Bugis,['Mexican'],2.0
Bugis,Ah Loy Thai,www.yelp.com/biz/ah-loy-thai-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/7KTRO1IRxm6G6fY6NFCQIA/348s.jpg,5,5,Bugis,['Thai'],
Bugis,Fat Bird,www.yelp.com/biz/fat-bird-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/8HxttET2IY8prO9svdyxLg/348s.jpg,4,9,Bugis,['Chinese'],2.0
Bugis,BBQ Box,www.yelp.com/biz/bbq-box-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/YalyWXQd2DDHhIeMEbBCYg/348s.jpg,4,1,Bugis,"['Barbeque', 'Chinese']",
Bugis,Ash & Elm,www.yelp.com/biz/ash-and-elm-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/g5v1D4ZfcmzRwwjKniDD6A/348s.jpg,4,8,Bugis,['Modern European'],3.0
Bugis,Sawadee Thai Cuisine,www.yelp.com/biz/sawadee-thai-cuisine-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/n8bPMEIEGLAxrgZ2Uc5O8Q/348s.jpg,4.5,14,Bugis,['Thai'],2.0
Bugis,Limaa,www.yelp.com/biz/limaa-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ag0cYXf_JyyW7waswr2aSQ/348s.jpg,5,2,Arab Street,['Cafes'],
Bugis,Zhong Hua Steamboat,www.yelp.com/biz/zhong-hua-steamboat-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ljMcNEImP2LVJek_shlvaA/348s.jpg,5,2,Bugis,['Chinese'],2.0
Bugis,Joo Bar,www.yelp.com/biz/joo-bar-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/pmzTDRyKLKKhOw_DzqxkZg/348s.jpg,4,9,Bugis,['Korean'],2.0
Bugis,Beach Road Kitchen,www.yelp.com/biz/beach-road-kitchen-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/DcLVPjId0UZta-Z96CD8HA/348s.jpg,4.5,13,City Hall,"['Breakfast & Brunch', 'Chinese', 'Buffets']",2.0
Bugis,Tono Cevicheria,www.yelp.com/biz/tono-cevicheria-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/2zA4OeKFp31Ah8zWO18rgw/348s.jpg,4.5,7,Bugis,['Latin American'],
Bugis,Wolf Burgers,www.yelp.com/biz/wolf-burgers-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/0GySFz96lbr3leF_8lhUfA/348s.jpg,4.5,13,City Hall,['Burgers'],2.0
Bugis,Killiney Kopitiam,www.yelp.com/biz/killiney-kopitiam-singapore-6?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/wPzrJteRHK9bwAHT4lBn-Q/348s.jpg,4,7,Bras Brasah,"['Coffee & Tea', 'Breakfast & Brunch']",1.0
Bugis,Saigon Baguette,www.yelp.com/biz/saigon-baguette-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/U-Q1J9a8_cEzKbOnbyIBGw/348s.jpg,5,1,City Hall,['Vietnamese'],
Bugis,Tabbouleh,www.yelp.com/biz/tabbouleh-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Eouyljx8GtvAAIZzODp9Ng/348s.jpg,3.5,14,Arab Street,"['Mediterranean', 'Lebanese']",2.0
Bugis,Clinton Street Baking Company & Restaurant,www.yelp.com/biz/clinton-street-baking-company-and-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/zaf5eKEmdo1Tp_hxGWutnQ/348s.jpg,4,72,Bugis,"['American (Traditional)', 'Breakfast & Brunch', 'Bakeries']",2.0
Bugis,Bugis Street Chuen Chuen,www.yelp.com/biz/bugis-street-chuen-chuen-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/y40DjdQRSDlp3xtn554TVw/348s.jpg,4.5,3,Bugis,['Cafes'],
Bugis,Saveur,www.yelp.com/biz/saveur-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/8TSeCuNx2557jguRPJm1yQ/348s.jpg,4,68,Bugis,"['French', 'Desserts']",2.0
Bugis,Coriander Leaf,www.yelp.com/biz/coriander-leaf-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/MpEDkxv4JjrlQ_zhC-1DMw/348s.jpg,4.5,13,Bras Brasah,['Asian Fusion'],
Bugis,Third & Sixth Bistrobar,www.yelp.com/biz/third-and-sixth-bistrobar-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/hfMxesj1oIcyj5DySWI1og/348s.jpg,4.5,10,Bras Brasah,"['Bars', 'Burgers']",2.0
Bugis,Happy Crab,www.yelp.com/biz/happy-crab-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/lGWzdL3aDbsa9jsLWjtl7Q/348s.jpg,4.5,11,Arab Street,"['Seafood', 'Singaporean']",3.0
Bugis,Peranakan Flavors,www.yelp.com/biz/peranakan-flavors-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/75_XbK03LmtcvhL-9kPTYA/348s.jpg,4,3,Bugis,['Malaysian'],
Bugis,Xiang Signature,www.yelp.com/biz/xiang-signature-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/0C4sgZ0iNsyo4yaG73tYRw/348s.jpg,4.5,4,Bugis,['Asian Fusion'],
Bugis,Cast Iron,www.yelp.com/biz/cast-iron-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/-Yg8h6U49_p7wM9gQFcHTw/348s.jpg,4,3,Bugis,"['Japanese', 'Sushi Bars']",
Bugis,Istanblue Mezze & Grill House,www.yelp.com/biz/istanblue-mezze-and-grill-house-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/uS5SSGmAJylx87JhOjWV5g/348s.jpg,3.5,4,Arab Street,['Turkish'],
Bugis,Arirang Korean Restaurant,www.yelp.com/biz/arirang-korean-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/G51Kkrx0rtDSUmzAEJXgGw/348s.jpg,3.5,3,Bugis,['Korean'],2.0
Bugis,Jumbo Seafood,www.yelp.com/biz/jumbo-seafood-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/85hCRe6TJh0e670IadHemA/348s.jpg,4,188,Clarke Quay,['Seafood'],3.0
Bugis,Yamagawa Japanese Restaurant,www.yelp.com/biz/yamagawa-japanese-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/d0yXd_z8SwjiAvNIoy2Ksw/348s.jpg,4,5,Arab Street,['Japanese'],3.0
Bugis,Tim Ho Wan,www.yelp.com/biz/tim-ho-wan-singapore-7?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/L_YN4BIaEEpuNEeEAzXv-g/348s.jpg,4.5,32,City Hall,"['Dim Sum', 'Cantonese']",1.0
Bugis,Astons Specialties,www.yelp.com/biz/astons-specialties-singapore-6?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/KlS-7KxKT5Aq7NLnuhYJtA/348s.jpg,4,5,Bugis,"['Salad', 'Steakhouses']",2.0
