neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Bukit Batok,Famous JB Firewokz,www.yelp.com/biz/famous-jb-firewokz-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/KBN7-hAPsYej2U3JsshsXw/348s.jpg,5,1,Bukit Batok,['Seafood'],
Bukit Batok,The Carving Board,www.yelp.com/biz/the-carving-board-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/xYrZ3uxkBHOLiSPBa6h-MQ/348s.jpg,3.5,5,Bukit Batok,"['Burgers', 'Barbeque', 'American (Traditional)']",2.0
Bukit Batok,Pho Lee Hung,www.yelp.com/biz/pho-lee-hung-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/6M9rIEHRn6FRL1CeVSGLyw/348s.jpg,4.5,2,Boon Lay,"['Vietnamese', 'Street Vendors']",
Bukit Batok,Los Jefes,www.yelp.com/biz/los-jefes-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/UM3ziD5gaSQHXtJ7NhY_Eg/348s.jpg,5,1,West Coast,['Mexican'],
Bukit Batok,Uncle Leong Seafood,www.yelp.com/biz/uncle-leong-seafood-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/65V1xoFOzh-8wRlDJpTqlw/348s.jpg,3.5,3,Bukit Batok,['Chinese'],3.0
Bukit Batok,81 Seafood Restaurant,www.yelp.com/biz/81-seafood-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ZO1mekmcJPtaJMWtX5kIGw/348s.jpg,5,1,Boon Lay,"['Chinese', 'Seafood']",
Bukit Batok,Kotoshi Ryori Japanese Dining,www.yelp.com/biz/kotoshi-ryori-japanese-dining-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/yHanekj4FCSeyR_bsasOaw/348s.jpg,5,2,Bukit Batok,['Japanese'],
Bukit Batok,Beng Hiang Restaurant,www.yelp.com/biz/beng-hiang-restaurant-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/AqJVahJiILyMJ2Q4c5y_Eg/348s.jpg,5,1,Jurong,['Hokkien'],2.0
Bukit Batok,Shokutsu 10-Osaka,www.yelp.com/biz/shokutsu-10-osaka-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/imhbv8jmuFUn4gCOU58Sxg/348s.jpg,5,2,Boon Lay,"['Japanese', 'Sushi Bars']",
Bukit Batok,Grandma’s,www.yelp.com/biz/grandmas-singapore-8?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/BhrNKKg2EffWUFlzATviwg/348s.jpg,4,1,Boon Lay,['Cafes'],
Bukit Batok,Jurong West Hotplate BBQ,www.yelp.com/biz/jurong-west-hotplate-bbq-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/AYZdzSQH5Y2HR_PZzwv-bw/348s.jpg,5,1,Boon Lay,['Seafood'],
