neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Bukit Panjang,iO Italian Osteria,www.yelp.com/biz/io-italian-osteria-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/UJsPPU6wYvp3an2usCIOzg/348s.jpg,4.5,18,Bukit Batok,['Italian'],3.0
Bukit Panjang,Fish Soup,www.yelp.com/biz/fish-soup-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/jt2Cb61yv678sx2Pbrk9NQ/348s.jpg,4.5,2,Bukit Panjang,['Food Court'],
Bukit Panjang,Olio Cafe,www.yelp.com/biz/olio-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Q---MQUFm396sF3dcOtU_w/348s.jpg,4,1,Choa Chu Kang,['Cafes'],
Bukit Panjang,628 DF Kitchen Seafood,www.yelp.com/biz/628-df-kitchen-seafood-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/7lt8jyeDCTt54Y9P8dU1kg/348s.jpg,4,1,Bukit Panjang,['Seafood'],
Bukit Panjang,Paradise Dynasty,www.yelp.com/biz/paradise-dynasty-singapore-5?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/yKB6yzsMsZ3E3quttDSdTQ/348s.jpg,4,2,Choa Chu Kang,['Chinese'],2.0
Bukit Panjang,Ming Kitchen,www.yelp.com/biz/ming-kitchen-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/ec91c6e75078/assets/img/default_avatars/business_medium_square.png,4,1,Bukit Panjang,['Chinese'],
Bukit Panjang,Karu’s Indian Banana Leaf,www.yelp.com/biz/karus-indian-banana-leaf-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/QS3V9hTI1G3eoFHQu3_y8g/348s.jpg,4.5,8,Bukit Panjang,['Indian'],1.0
Bukit Panjang,Eighteen Chef,www.yelp.com/biz/eighteen-chef-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/heh1muXH-Bjo8u8FD0onog/348s.jpg,4,3,Bukit Panjang,"['Bistros', 'Asian Fusion']",1.0
Bukit Panjang,Acqua e Farina,www.yelp.com/biz/acqua-e-farina-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/VCTYVMtcvmmNwooqhUvcLQ/348s.jpg,4.5,8,Upper Bukit Timah,"['Italian', 'Pizza']",
Bukit Panjang,Koo Kee,www.yelp.com/biz/koo-kee-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/xvU3ntOc9Naa8LJb2LS_wA/348s.jpg,4,1,Bukit Panjang,['Asian Fusion'],1.0
Bukit Panjang,Springleaf Prata Place,www.yelp.com/biz/springleaf-prata-place-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/VWIoO_OLeupLQPxAdScMuw/348s.jpg,4.5,3,Upper Bukit Timah,['Indian'],1.0
Bukit Panjang,Joyden Canton Kitchen,www.yelp.com/biz/joyden-canton-kitchen-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/DMMj6JarFUl1dG9IVaPbcA/348s.jpg,2.5,2,Bukit Batok,['Chinese'],
Bukit Panjang,Dean & Deluca,www.yelp.com/biz/dean-and-deluca-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/-tZm1w9ZXS3piYxWWSji2Q/348s.jpg,3.5,5,Bukit Batok,['Cafes'],2.0
Bukit Panjang,Cacio e Pepe Cucina Italiano,www.yelp.com/biz/cacio-e-pepe-cucina-italiano-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/qmmTm7ofpKl4Cx8olJ_ROg/348s.jpg,3.5,3,Bukit Batok,['Italian'],3.0
Bukit Panjang,Suki-Ya,www.yelp.com/biz/suki-ya-singapore-6?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Ivb3RBlYH4iN7zFpXKiinQ/348s.jpg,4,1,Bukit Panjang,['Japanese'],
Bukit Panjang,Kowloon Bay HK Cafe,www.yelp.com/biz/kowloon-bay-hk-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/SLHUiRC7wT6Q2Mxahc7QTg/348s.jpg,3,1,Bukit Panjang,"['Chinese', 'Asian Fusion']",
Bukit Panjang,Hai Xian Zhu Zhou,www.yelp.com/biz/hai-xian-zhu-zhou-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/gURM_stWp7ubkLB7zrDjgw/348s.jpg,3,2,Bukit Panjang,['Chinese'],
