neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Changi,Five Spice,www.yelp.com/biz/five-spice-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/offahgAmebNrdpmdicp87g/348s.jpg,5,1,Changi,['Food Court'],
Changi,Song Fa Bak Kut Teh,www.yelp.com/biz/song-fa-bak-kut-teh-singapore-9?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/wnL6RXGuwjzaaycM0rsaIg/348s.jpg,4.5,3,Changi,"['Chinese', 'Singaporean', 'Soup']",
Changi,Colonial Club,www.yelp.com/biz/colonial-club-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/f0aSLJ2VWoXL0BQgdgrx2A/348s.jpg,4.5,3,Changi,"['Singaporean', 'Malaysian']",
Changi,Pondok Gurame,www.yelp.com/biz/pondok-gurame-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/QdMtBKSKL4b3n4IsG6yFzw/348s.jpg,5,1,Changi,"['Seafood', 'Indonesian', 'Desserts']",3.0
Changi,Tim Ho Wan,www.yelp.com/biz/tim-ho-wan-singapore-11?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/oXXF74c71QXeLcfxZ5x4zg/348s.jpg,5,1,Changi,"['Dim Sum', 'Cantonese']",
Changi,Singapore Food Street,www.yelp.com/biz/singapore-food-street-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/1O1zYJchu3tpmOPMlaJTkg/348s.jpg,2.5,11,Changi,['Chinese'],1.0
Changi,Mellben Food Palace,www.yelp.com/biz/mellben-food-palace-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/2Qu64I3RthL5nh19zy5btg/348s.jpg,4,5,Pasir Ris,['Seafood'],2.0
Changi,Porta Porta Italian,www.yelp.com/biz/porta-porta-italian-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/5TcTQOu-Ez9XdZGacIp6Hw/348s.jpg,5,5,Simei,"['Modern European', 'Italian']",4.0
Changi,The Kitchen by Wolfgang Puck,www.yelp.com/biz/the-kitchen-by-wolfgang-puck-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/agz3TdZfnR2eH6o3_Cjpkg/348s.jpg,4,4,Changi,"['Pizza', 'Burgers']",
Changi,Five Star Hainanese Chicken Rice,www.yelp.com/biz/five-star-hainanese-chicken-rice-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/6v4NSQoEyRbvCHiKMzH7Ug/348s.jpg,4.5,23,Katong,"['Chicken Shop', 'Hainan']",2.0
Changi,Terminal 2 Airport Staff Canteen,www.yelp.com/biz/terminal-2-airport-staff-canteen-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/wUzVJWxWnyW-UAGr--x0vA/348s.jpg,4,3,Changi,['Cafes'],1.0
Changi,The Burning Oak,www.yelp.com/biz/the-burning-oak-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/BkAmfjK4xofHCAbjSJDpxA/348s.jpg,3.5,3,Simei,"['American (Traditional)', 'Asian Fusion']",1.0
Changi,McDonald’s,www.yelp.com/biz/mcdonalds-singapore-87?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/oRT2eVYojsNlIOeVQ1h7hA/348s.jpg,4,3,Changi,"['Burgers', 'Fast Food']",1.0
Changi,The Coastal Settlement,www.yelp.com/biz/the-coastal-settlement-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/r9q9kqkhQfP0XJcmVB7EZQ/348s.jpg,3.5,35,Changi,"['Bars', 'Breakfast & Brunch']",3.0
Changi,Kam’s Roast,www.yelp.com/biz/kams-roast-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/K_imYO_KxdmCHWQMtgItHw/348s.jpg,4,8,Changi,"['Chinese', 'Barbeque']",
Changi,Shake Shack,www.yelp.com/biz/shake-shack-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/s941sa-iHtDi64khI6czeQ/348s.jpg,3.5,10,Changi,['Burgers'],
Changi,The Bark Cafe,www.yelp.com/biz/the-bark-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/bfDk0GVGLCARsVk3gUOCJQ/348s.jpg,3,10,Changi,['Cafes'],2.0
Changi,Moa Tiki New Zealand Bar and Grill CCP,www.yelp.com/biz/moa-tiki-new-zealand-bar-and-grill-ccp-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/iKJeB6Rp23-Qj7ZtjpIN5A/348s.jpg,4,8,Changi,"['Cafes', 'Bars']",2.0
Changi,Five Izakaya,www.yelp.com/biz/five-izakaya-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/8jt60y-uQbEN2pruP3ZuKg/348s.jpg,3.5,5,Changi,"['Izakaya', 'Bars']",
Changi,Lots Gourmet,www.yelp.com/biz/lots-gourmet-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/lCMwrdwluVhCBsux_aVYQw/348s.jpg,4.5,7,Changi,['Cafes'],2.0
Changi,Tsuta Jewel Changi Airport,www.yelp.com/biz/tsuta-jewel-changi-airport-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ibNjDjI44LMZlxhJyfOzoA/348s.jpg,3.5,6,Changi,"['Ramen', 'Noodles']",
Changi,TGM,www.yelp.com/biz/tgm-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/YwVRwlJ5_5TQbuYFBCop7g/348s.jpg,4.5,5,Changi,['Japanese'],2.0
Changi,Coastal Rhythm Cafe & Bar,www.yelp.com/biz/coastal-rhythm-cafe-and-bar-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/RW2R7HXTteeB6ECpouB1yQ/348s.jpg,5,1,Marine Parade,"['Bars', 'Cafes']",
Changi,Season Live Seafood,www.yelp.com/biz/season-live-seafood-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/nVolw1n4fzWn4mUdkDlyig/348s.jpg,3,8,Pulau Ubin,['Seafood'],2.0
Changi,Food Emporium,www.yelp.com/biz/food-emporium-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/FkQWk1sPMRPzDkqaJHkFRg/348s.jpg,4,1,Changi,['Food Court'],
Changi,Charlie’s Corner,www.yelp.com/biz/charlies-corner-no-title?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/bgEhTTgxYpLV88kirBbplg/348s.jpg,4.5,2,Changi,['Steakhouses'],2.0
Changi,Leong Ji,www.yelp.com/biz/leong-ji-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/yff7KafvGk4zfUXZHZDmZg/348s.jpg,4,3,Punggol,"['Chinese', 'Seafood']",1.0
Changi,Tang Tea House,www.yelp.com/biz/tang-tea-house-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/va9mvUpnFJs6cPklDqPRYQ/348s.jpg,5,1,Changi,"['Halal', 'Dim Sum']",
Changi,Offshore Club,www.yelp.com/biz/offshore-club-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/U601qlp45tco-wlVp_NY_Q/348s.jpg,4,1,Changi,"['Salad', 'Italian', 'Sandwiches']",2.0
Changi,Crystal Jade Restaurant,www.yelp.com/biz/crystal-jade-restaurant-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/pa7h0LAUZX7DnzsOJk5UdA/348s.jpg,2.5,2,Changi,['Chinese'],
Changi,Ah Orh Kway Chap,www.yelp.com/biz/ah-orh-kway-chap-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/fZGJtXdNCY_lFLGqsbRjUA/348s.jpg,5,1,Tampines,['Chinese'],1.0
Changi,Wang Cafe,www.yelp.com/biz/wang-cafe-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/2bdHRVjybXUaA-sWw9Cg_g/348s.jpg,3.5,7,Changi,['Cafes'],
Changi,Source,www.yelp.com/biz/source-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/emP5WqeLpSlaw6_PTTUigQ/348s.jpg,3,1,Bedok North,"['Cafes', 'Gastropubs']",
Changi,Brew & Bar,www.yelp.com/biz/brew-and-bar-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/dEHlGo9AmzwK5dPBPIw1Ow/348s.jpg,4,3,Simei,"['Venues & Event Spaces', 'Wine Bars', 'Asian Fusion']",
Changi,Mak’s Place,www.yelp.com/biz/maks-place-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/4oAcz12mYg4JAPYQdwiMEQ/348s.jpg,4,3,Kembangan,['Chinese'],
Changi,Paris Baguette Signature,www.yelp.com/biz/paris-baguette-signature-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/uBs9SpPJ0ovGeRo_h7miZg/348s.jpg,5,1,Changi,"['Cafes', 'Breakfast & Brunch']",
