neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Chinatown,Heart of Darkness Singapore,www.yelp.com/biz/heart-of-darkness-singapore-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/wbW1UMVdDUurKI3MucLicA/348s.jpg,5,4,Chinatown,"['Bars', 'Tapas/Small Plates', 'Gastropubs']",
Chinatown,The Butcher’s Wife,www.yelp.com/biz/the-butchers-wife-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/LnKKyxbUPNeZ_H-aP5B_mw/348s.jpg,5,5,Tiong Bahru,['Gluten-Free'],
Chinatown,Liao Fan Hawker Chan,www.yelp.com/biz/liao-fan-hawker-chan-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/LMpD02h3B5mvUyBs894lcQ/348s.jpg,4,140,Chinatown,"['Noodles', 'Chicken Shop']",1.0
Chinatown,Man Man Japanese Unagi,www.yelp.com/biz/man-man-japanese-unagi-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/O7IShQvGWku0u6y9uTohzA/348s.jpg,5,19,Chinatown,['Japanese'],2.0
Chinatown,Kok Sen Restaurant,www.yelp.com/biz/kok-sen-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/_9Bs9pqeQZzfvA5vPjHTwQ/348s.jpg,4,18,Chinatown,['Asian Fusion'],2.0
Chinatown,Botanist,www.yelp.com/biz/botanist-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/r83ds2JdDdGQXRF4uFxOaA/348s.jpg,4,6,Chinatown,['Cafes'],
Chinatown,Tian Tian Seafood Restaurant,www.yelp.com/biz/tian-tian-seafood-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/C8s14mmHuGmv1jdjM0u3Qw/348s.jpg,4.5,2,Tiong Bahru,"['Seafood', 'Chinese']",2.0
Chinatown,Zhong Guo La Mian Xiao Long Bao,www.yelp.com/biz/zhong-guo-la-mian-xiao-long-bao-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/9eg43-cvcykPeufa1sLoIQ/348s.jpg,4.5,30,Chinatown,"['Shanghainese', 'Dim Sum', 'Noodles']",1.0
Chinatown,Humpback,www.yelp.com/biz/humpback-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/NlOWnpkEjF0hvclRtV4Dag/348s.jpg,4.5,13,Chinatown,"['American (Traditional)', 'Seafood', 'Cocktail Bars']",3.0
Chinatown,Tian Tian Hainanese Chicken Rice,www.yelp.com/biz/tian-tian-hainanese-chicken-rice-singapore-7?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/UJ5Kp3NWi5vyCnUf_ftiFQ/348s.jpg,4,384,Tanjong Pagar,"['Hainan', 'Chicken Shop']",1.0
Chinatown,The Reading Room,www.yelp.com/biz/the-reading-room-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/bA3lG5iheuKv1BJuV8KpKQ/348s.jpg,4,6,Chinatown,"['Bars', 'Cafes']",2.0
Chinatown,BAR-CELONA Cava & Tapas Cafe,www.yelp.com/biz/bar-celona-cava-and-tapas-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/XDMqTyJo_FvWsNLS1Qx6BA/348s.jpg,4.5,2,Chinatown,['Tapas/Small Plates'],
Chinatown,Kafe Utu,www.yelp.com/biz/kafe-utu-no-title?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/MnE6aQuBk4phxz_CImVh4Q/348s.jpg,5,4,Chinatown,['Cafes'],
Chinatown,Sanji Kagoshima Ramen,www.yelp.com/biz/sanji-kagoshima-ramen-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/IFG-m6E6Vldw4XVG7L506g/348s.jpg,5,8,Tanjong Pagar,['Ramen'],2.0
Chinatown,Superstar K,www.yelp.com/biz/superstar-k-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/NvgN5y5lZ3JDAxvL1GfoPA/348s.jpg,4.5,14,Duxton Hill,"['Korean', 'Barbeque']",3.0
Chinatown,The Populus Coffee & Food Co,www.yelp.com/biz/the-populus-coffee-and-food-co-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/MRfPqTkqmCHSPGuTRKSi0g/348s.jpg,4,36,Chinatown,"['Coffee & Tea', 'Breakfast & Brunch']",2.0
Chinatown,Potato Head Folk,www.yelp.com/biz/potato-head-folk-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/0t3xDS4R1vDSeu2bLT92tg/348s.jpg,4,56,Chinatown,"['Bars', 'American (Traditional)', 'Burgers']",2.0
Chinatown,Song Fa Bak Kut Teh,www.yelp.com/biz/song-fa-bak-kut-teh-singapore-6?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/w0E6t9U-GJNkWSBZnWl_8g/348s.jpg,4.5,40,Chinatown,"['Chinese', 'Singaporean']",1.0
Chinatown,The Ottoman Room,www.yelp.com/biz/the-ottoman-room-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/YQ02j1jcAlGfoeT5BY6hUA/348s.jpg,5,2,Tanjong Pagar,"['Turkish', 'Middle Eastern']",
Chinatown,Restaurant Born,www.yelp.com/biz/restaurant-born-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/MxKP6uEvIWAXHHfLJZaQMQ/348s.jpg,5,1,Duxton Hill,['Restaurants'],
Chinatown,Chapter 55,www.yelp.com/biz/chapter-55-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/O8n8PNr4vATfKSw4So9qpg/348s.jpg,4,12,Tiong Bahru,"['Bistros', 'Italian', 'Ice Cream & Frozen Yogurt']",2.0
Chinatown,MIZ Japanese Restaurant,www.yelp.com/biz/miz-japanese-restaurant-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/9PMmhQGlv1JHurSITRnc2A/348s.jpg,4,1,Chinatown,"['Japanese', 'Sushi Bars']",
Chinatown,Ah Tai Hainanese Chicken Rice,www.yelp.com/biz/ah-tai-hainanese-chicken-rice-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/rVZe-rS7E6mmqyQX-8zO4w/348s.jpg,4.5,56,Tanjong Pagar,"['Chicken Shop', 'Hainan']",1.0
Chinatown,The Coconut Club - CLOSED,www.yelp.com/biz/the-coconut-club-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/oHFxEPUxeJ63iRhRv4g5nQ/348s.jpg,4,27,Ann Siang Hill,"['Nasi Lemak', 'Singaporean', 'Malaysian']",
Chinatown,Jian Bo Shui Kueh,www.yelp.com/biz/jian-bo-shui-kueh-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/HymSZkYCFScMsVaaHSHOwQ/348s.jpg,4.5,16,Tiong Bahru,"['Singaporean', 'Food Stands']",1.0
Chinatown,Clos Pasoh,www.yelp.com/biz/clos-pasoh-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Dfcvxk5fUwx7S6MfB3tFuA/348s.jpg,5,1,Chinatown,['French'],
Chinatown,Tiong Shian Porridge Centre,www.yelp.com/biz/tiong-shian-porridge-centre-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/RrKvU8I-WpKPHpzvAsqJow/348s.jpg,3.5,12,Chinatown,"['Coffee & Tea', 'Chinese']",1.0
Chinatown,Merci Marcel,www.yelp.com/biz/merci-marcel-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ce0zPdtttw7kv8hTXoWuog/348s.jpg,4.5,5,Tiong Bahru,['French'],
Chinatown,City Satay Smith Street,www.yelp.com/biz/city-satay-smith-street-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/mCgmn5bSkcyrd0OvIlf89g/348s.jpg,4.5,2,Chinatown,"['Singaporean', 'Street Vendors', 'Imported Food']",1.0
Chinatown,Por Kee Eating House,www.yelp.com/biz/por-kee-eating-house-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/2h-sZHLZc_8pA4wXl2ZqRw/348s.jpg,4,27,Tiong Bahru,['Chinese'],2.0
Chinatown,Five Oars Coffee Roasters,www.yelp.com/biz/five-oars-coffee-roasters-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/7ERJ44MysrQoDG6exkdFdg/348s.jpg,4.5,6,Duxton Hill,"['Coffee Roasteries', 'Breakfast & Brunch']",2.0
Chinatown,Wang Dae Bak Korean BBQ,www.yelp.com/biz/wang-dae-bak-korean-bbq-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/xexRjOHLrqvAQLbHhDucow/348s.jpg,4,10,Tanjong Pagar,"['Korean', 'Barbeque']",1.0
Chinatown,Hokkaido Ramen Santouka,www.yelp.com/biz/hokkaido-ramen-santouka-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/OMwe1DFAL5onX-DrCT404A/348s.jpg,4.5,58,Clarke Quay,['Ramen'],2.0
Chinatown,Two Men Bagel House,www.yelp.com/biz/two-men-bagel-house-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/g1bRzXGxoIFwUxlg-bswKQ/348s.jpg,4.5,76,Tanjong Pagar,"['Bagels', 'Breakfast & Brunch', 'Sandwiches']",1.0
Chinatown,Chico Loco,www.yelp.com/biz/chico-loco-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/xFnRW-g3WPn8O3iSvFeHLQ/348s.jpg,4.5,2,Tanjong Pagar,['Mexican'],
Chinatown,Shake Shack,www.yelp.com/biz/shake-shack-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/NEZvDbor9yXXNpJwL1WO7Q/348s.jpg,4,5,Tanjong Pagar,"['Burgers', 'Wine Bars', 'Hot Dogs']",
Chinatown,Fotia,www.yelp.com/biz/fotia-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/WtG-ogKsH5_Bs3nF6BM6rA/348s.jpg,5,1,Raffles Place,"['Greek', 'Seafood']",
Chinatown,Taratata Brasserie,www.yelp.com/biz/taratata-brasserie-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/bqU3jLTA2woLj0WmhB-zyw/348s.jpg,4,13,Chinatown,['French'],3.0
Chinatown,House of Peranakan Petit,www.yelp.com/biz/house-of-peranakan-petit-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/l6xwKAqD1f0MUpSpXF1Lug/348s.jpg,4,8,Tiong Bahru,['Malaysian'],2.0
Chinatown,Jim Garden 珍厨明苑私房菜,www.yelp.com/biz/jim-garden-%E7%8F%8D%E5%8E%A8%E6%98%8E%E8%8B%91%E7%A7%81%E6%88%BF%E8%8F%9C-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/O4R_njLVoA7ScC6_Prtp1A/348s.jpg,4,1,Duxton Hill,['Chinese'],
Chinatown,Afterglow,www.yelp.com/biz/afterglow-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/VdWXOfdKAXK73Zrdskg6iw/348s.jpg,4,13,Chinatown,"['Juice Bars & Smoothies', 'Vegetarian']",2.0
Chinatown,The Study,www.yelp.com/biz/the-study-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/AB_6IIX4FtFIYJrWnusSOg/348s.jpg,4,4,Chinatown,['Bistros'],3.0
Chinatown,Jing Hua Xiao Chi,www.yelp.com/biz/jing-hua-xiao-chi-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/riSyYqVuInA8hK5co8c7aA/348s.jpg,4,31,Duxton Hill,"['Chinese', 'Asian Fusion']",1.0
Chinatown,Pastaria Abate,www.yelp.com/biz/pastaria-abate-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/k8AW-tt8l4AEcAGO75rBVA/348s.jpg,4.5,3,Duxton Hill,['Italian'],
Chinatown,Hamburg Steak Keisuke,www.yelp.com/biz/hamburg-steak-keisuke-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/6YKlONiE935JUHHX8JQTKg/348s.jpg,4.5,11,Tanjong Pagar,"['Teppanyaki', 'Steakhouses']",2.0
Chinatown,Beast & Butterflies,www.yelp.com/biz/beast-and-butterflies-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/lqGImsd-mFmqI-PwLH6duA/348s.jpg,3.5,4,Robertson Quay,"['Asian Fusion', 'Bars']",2.0
Chinatown,Lian He Ben Ji Claypot Rice,www.yelp.com/biz/lian-he-ben-ji-claypot-rice-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/OyMoRxpTOteYqTEJvw5IvA/348s.jpg,4,8,Chinatown,['Chinese'],2.0
Chinatown,Lim Chee Guan,www.yelp.com/biz/lim-chee-guan-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/OqlOIe5Uq96tFuFkV_6BMg/348s.jpg,4.5,10,Chinatown,"['Barbeque', 'Specialty Food', 'Chinese']",4.0
Chinatown,Unique Pot,www.yelp.com/biz/unique-pot-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/oIjfov96xr5zXrovRXyIgA/348s.jpg,5,1,Tiong Bahru,"['Singaporean', 'Chinese']",
Chinatown,The Guild,www.yelp.com/biz/the-guild-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/lu_A_FNnwW7h3NYE2dUH0Q/348s.jpg,5,4,Chinatown,['Singaporean'],
Chinatown,Tiong Bahru Pau,www.yelp.com/biz/tiong-bahru-pau-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/3do7CtTfjqYOUsBeTJ7IWg/348s.jpg,4,5,Tiong Bahru,['Dim Sum'],1.0
Chinatown,A*muse Dine & Bar,www.yelp.com/biz/a-muse-dine-and-bar-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/JDUq59lvdURks2iWpZ954Q/348s.jpg,4,2,Chinatown,"['Bars', 'Singaporean', 'Venues & Event Spaces']",
Chinatown,Eight,www.yelp.com/biz/eight-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/dSmptiqWgpREMq5zdUBHCw/348s.jpg,4,6,Chinatown,"['Modern European', 'Wine Bars', 'Asian Fusion']",2.0
Chinatown,Wanton Seng’s Noodle Bar,www.yelp.com/biz/wanton-sengs-noodle-bar-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/WMgwFFqQU5zo2I546eWfgw/348s.jpg,4,11,Tanjong Pagar,"['Bars', 'Asian Fusion']",1.0
Chinatown,Long Ji Zi Char,www.yelp.com/biz/long-ji-zi-char-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/PhyhScodEIsP4noED5qXpA/348s.jpg,4.5,7,Tiong Bahru,['Seafood'],2.0
Chinatown,Trattoria Nonna Lina,www.yelp.com/biz/trattoria-nonna-lina-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/lEdWzxUWtskP2q3FBFoiNw/348s.jpg,4.5,11,Chinatown,['Italian'],4.0
Chinatown,The Bao Makers,www.yelp.com/biz/the-bao-makers-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/GGzd_-QWSV8IEg2X3_Yy6A/348s.jpg,4,10,Chinatown,['Cafes'],2.0
Chinatown,Blue Ginger,www.yelp.com/biz/blue-ginger-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/RtIJv3Kx2T0SUPWeSttcMQ/348s.jpg,4,38,Tanjong Pagar,"['Chinese', 'Asian Fusion']",3.0
Chinatown,The Teochew Kitchenette,www.yelp.com/biz/the-teochew-kitchenette-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/F9Te0ET1VlvDVO9vOLmEMw/348s.jpg,4,1,Tanjong Pagar,['Teochew'],
