neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Choa Chu Kang,Bistro @ Gardenasia,www.yelp.com/biz/bistro-gardenasia-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/YAhNYODcV3YALRBH5rhVSA/348s.jpg,3.5,5,Lim Chu Kang,['Bistros'],2.0
Choa Chu Kang,Paradise Dynasty,www.yelp.com/biz/paradise-dynasty-singapore-5?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/yKB6yzsMsZ3E3quttDSdTQ/348s.jpg,4,2,Choa Chu Kang,['Chinese'],2.0
Choa Chu Kang,Olio Cafe,www.yelp.com/biz/olio-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Q---MQUFm396sF3dcOtU_w/348s.jpg,4,1,Choa Chu Kang,['Cafes'],
Choa Chu Kang,Jing Dian Seafood,www.yelp.com/biz/jing-dian-seafood-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/H5EeEIaZUo0v7QW9JPsC4A/348s.jpg,4,1,Choa Chu Kang,['Singaporean'],
Choa Chu Kang,Famous JB Firewokz,www.yelp.com/biz/famous-jb-firewokz-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/KBN7-hAPsYej2U3JsshsXw/348s.jpg,5,1,Bukit Batok,['Seafood'],
Choa Chu Kang,Cosmo,www.yelp.com/biz/cosmo-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/MitguccpZU6yr--h-yTMAQ/348s.jpg,5,1,Boon Lay,['Singaporean'],
Choa Chu Kang,Hong Kiat Seafood Restaurant,www.yelp.com/biz/hong-kiat-seafood-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/UyezD-QUXkXjvBlIE6vDgg/348s.jpg,3,1,Choa Chu Kang,['Seafood'],
Choa Chu Kang,The Carving Board,www.yelp.com/biz/the-carving-board-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/xYrZ3uxkBHOLiSPBa6h-MQ/348s.jpg,3.5,5,Bukit Batok,"['Burgers', 'Barbeque', 'American (Traditional)']",2.0
Choa Chu Kang,Karu’s Indian Banana Leaf,www.yelp.com/biz/karus-indian-banana-leaf-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/QS3V9hTI1G3eoFHQu3_y8g/348s.jpg,4.5,8,Bukit Panjang,['Indian'],1.0
Choa Chu Kang,81 Seafood Restaurant,www.yelp.com/biz/81-seafood-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ZO1mekmcJPtaJMWtX5kIGw/348s.jpg,5,1,Boon Lay,"['Chinese', 'Seafood']",
Choa Chu Kang,Uncle Leong Seafood,www.yelp.com/biz/uncle-leong-seafood-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/65V1xoFOzh-8wRlDJpTqlw/348s.jpg,3.5,3,Bukit Batok,['Chinese'],3.0
Choa Chu Kang,Dine Restaurant & The Single Cask,www.yelp.com/biz/dine-restaurant-and-the-single-cask-putri?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/zSnSP0xEOGlpkvG0Rsh1gg/348s.jpg,5,1,,['Modern European'],
Choa Chu Kang,Bollywood Veggies,www.yelp.com/biz/bollywood-veggies-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/M_ryWpN6-XrfazNJvw1_gQ/348s.jpg,3.5,9,Lim Chu Kang,['Cafes'],2.0
Choa Chu Kang,iO Italian Osteria,www.yelp.com/biz/io-italian-osteria-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/UJsPPU6wYvp3an2usCIOzg/348s.jpg,4.5,18,Bukit Batok,['Italian'],3.0
Choa Chu Kang,Ah Meng Kue Teow,www.yelp.com/biz/ah-meng-kue-teow-johor-bahru?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/eg5qasTnk8c5_Xixp7c0Jw/348s.jpg,5,4,,"['Chinese', 'Noodles']",
