neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Harbourfront,Old Habits,www.yelp.com/biz/old-habits-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/PpEWvE5J3LuDWYM4nXQCYQ/348s.jpg,5,4,Telok Blangah,['Cafes'],2.0
Harbourfront,The Garden @ Sentosa,www.yelp.com/biz/the-garden-sentosa-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/d5euGIO-qmW4f5XLNwwJdw/348s.jpg,5,2,Sentosa,['Modern European'],3.0
Harbourfront,Marché,www.yelp.com/biz/march%C3%A9-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/8LL1YDXNfsovSqMvjoGGUQ/348s.jpg,4,20,Harbourfront,['Restaurants'],2.0
Harbourfront,Curate,www.yelp.com/biz/curate-southern-islands?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/b_EvIZc12DEBdQeSSU5RFg/348s.jpg,5,2,Sentosa,['Pop-Up Restaurants'],4.0
Harbourfront,Barrio by Mex Out,www.yelp.com/biz/barrio-by-mex-out-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/82pS6M4wcf0YE7IOA4nLZg/348s.jpg,3.5,6,Harbourfront,['Mexican'],
Harbourfront,Bosses Restaurant,www.yelp.com/biz/bosses-restaurant-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/T4_Ywn7ims59UhCM20OOxQ/348s.jpg,4,20,Harbourfront,"['Dim Sum', 'Cantonese']",2.0
Harbourfront,Singapore Seafood Republic,www.yelp.com/biz/singapore-seafood-republic-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ER69x0eLWvac0mMHHiFVCQ/348s.jpg,4,8,Sentosa,['Seafood'],4.0
Harbourfront,Morganfield’s,www.yelp.com/biz/morganfields-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/zNF87EmmdFj6jGxU25sIvg/348s.jpg,4.5,2,Harbourfront,"['American (Traditional)', 'Gastropubs', 'Diners']",2.0
Harbourfront,Washoku Goen,www.yelp.com/biz/washoku-goen-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/L01z3ZP1yqalLEQG4MpZbw/348s.jpg,4,2,Harbourfront,['Japanese'],
Harbourfront,Bornga,www.yelp.com/biz/bornga-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/g5-ZAdAb_GDHzdlA2wR1Kw/348s.jpg,4,11,Harbourfront,['Korean'],3.0
Harbourfront,Hans Im Glück: VivoCity,www.yelp.com/biz/hans-im-gl%C3%BCck-vivocity-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/f1c5H9uZ4f--QPGIFrfTzw/348s.jpg,4.5,3,Harbourfront,"['German', 'Burgers']",
Harbourfront,A-One Claypot House,www.yelp.com/biz/a-one-claypot-house-singapore-5?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/oisCypG8qcRBRCWfa6rWrg/348s.jpg,4,2,Harbourfront,['Chinese'],
Harbourfront,Brewerkz,www.yelp.com/biz/brewerkz-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/3uE4vFsrYTWvV8jSXWnjWQ/348s.jpg,4.5,4,,"['American (Traditional)', 'Beer Bar']",
Harbourfront,The Chop House,www.yelp.com/biz/the-chop-house-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/g9M8fVlbEoIz-1C6RjpkBQ/348s.jpg,3.5,14,Harbourfront,"['Steakhouses', 'Burgers']",3.0
Harbourfront,Food Republic,www.yelp.com/biz/food-republic-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/cAKJBldfJWFkhiiFijGMxQ/348s.jpg,3.5,21,Harbourfront,['Food Court'],1.0
Harbourfront,Syun,www.yelp.com/biz/syun-southern-islands-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/KNPwxxNTrLjjTVwnAr0MSw/348s.jpg,4,5,Sentosa,['Japanese'],3.0
Harbourfront,Dancing Crab,www.yelp.com/biz/dancing-crab-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/6JRGzwwhP7OEM4B2Dj1adQ/348s.jpg,4,10,Harbourfront,['Seafood'],4.0
Harbourfront,The Cliff at Sentosa,www.yelp.com/biz/the-cliff-at-sentosa-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/BUl2k-hcyJ66Q5wZh5GScQ/348s.jpg,4.5,4,Sentosa,['Modern European'],4.0
Harbourfront,Chef’s Noodle,www.yelp.com/biz/chefs-noodle-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/FnB0gg59zk4ZEwF6zJFXpA/348s.jpg,5,1,Harbourfront,['Korean'],
Harbourfront,Din Tai Fung,www.yelp.com/biz/din-tai-fung-singapore-27?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/zNb3sNTNdQPnSXYOlZjEjA/348s.jpg,3.5,23,Sentosa,"['Shanghainese', 'Taiwanese', 'Dumplings']",2.0
Harbourfront,Bayswater Kitchen,www.yelp.com/biz/bayswater-kitchen-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/VFJkJjag3ry69ib3gED85Q/348s.jpg,4,2,Harbourfront,['Mediterranean'],
Harbourfront,Dian Xiao Er Vivocity,www.yelp.com/biz/dian-xiao-er-vivocity-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/kS74HtTEsiWWKs0Z_wiL6Q/348s.jpg,4,4,Harbourfront,['Chinese'],
Harbourfront,Gram,www.yelp.com/biz/gram-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/2hXHllz51x2nT_rjh0jsUg/348s.jpg,4.5,2,Harbourfront,"['Pancakes', 'Cafes']",
Harbourfront,Brotzeit Vivocity,www.yelp.com/biz/brotzeit-vivocity-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/tRu0i-OjeSy8POJt-igzgg/348s.jpg,3.5,18,Harbourfront,['German'],3.0
Harbourfront,TEN Cafe,www.yelp.com/biz/ten-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/I6qakBvwTg_-soVU-eEeIQ/348s.jpg,4,1,Harbourfront,"['Coffee & Tea', 'Breakfast & Brunch', 'Sandwiches']",
Harbourfront,Forest,www.yelp.com/biz/forest-sentosa-islands?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/MckdMsKw6_vveuAiG4iCyw/348s.jpg,3.5,3,Sentosa,['Chinese'],4.0
