neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Holland Village,Gaia Korean Grill + Bar,www.yelp.com/biz/gaia-korean-grill-bar-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/1HDYtnIZJitQ9aTxp2inRA/348s.jpg,5,2,Holland Village,"['Korean', 'Asian Fusion', 'Tapas/Small Plates']",
Holland Village,Da Paolo Gastronomia - Holland Village,www.yelp.com/biz/da-paolo-gastronomia-holland-village-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/jnM6KBMR15P2yT6OAgqnWg/348s.jpg,4,15,Holland Village,"['Italian', 'Patisserie/Cake Shop', 'Pizza']",2.0
Holland Village,Original Sin,www.yelp.com/biz/original-sin-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/jHX61LqqhaYErNNvC3QneQ/348s.jpg,3.5,23,Holland Village,"['Salad', 'Mediterranean', 'Pizza']",3.0
Holland Village,The Seasons 四季风光,www.yelp.com/biz/the-seasons-%E5%9B%9B%E5%AD%A3%E9%A3%8E%E5%85%89-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Jv8cNbCfU6tsCnZPC6EagA/348s.jpg,4,1,Holland Village,"['Chinese', 'Thai']",
Holland Village,Nakhon Kitchen,www.yelp.com/biz/nakhon-kitchen-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/VvNGGOWGD7GvR_bC4WnsyA/348s.jpg,3.5,27,Holland Village,['Thai'],1.0
Holland Village,Sanpoutei Ramen,www.yelp.com/biz/sanpoutei-ramen-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/C8irUP8vFRrWj6cWSyFsGA/348s.jpg,4,17,Holland Village,['Ramen'],2.0
Holland Village,Black Marble,www.yelp.com/biz/black-marble-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/9UvWoRBdQzoreXuidhyAhA/348s.jpg,4,1,Holland Village,['Steakhouses'],
Holland Village,Fosters,www.yelp.com/biz/fosters-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/xe7So56nirW6KGdUrzeTgg/348s.jpg,4,12,Holland Village,['Steakhouses'],3.0
Holland Village,Tiong Bahru Bakery,www.yelp.com/biz/tiong-bahru-bakery-singapore-5?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Q9q1-4_upvG2lYH7bQUggQ/348s.jpg,3.5,3,Holland Village,"['Bakeries', 'Cafes']",
Holland Village,Holland Village Market and Food Centre,www.yelp.com/biz/holland-village-market-and-food-centre-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/z20Mk3e5RWOXd7-vog3PLQ/348s.jpg,3.5,7,Holland Village,['Food Court'],1.0
Holland Village,Madrinaa Italiano,www.yelp.com/biz/madrinaa-italiano-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/7EY62Ne2dsbpK0L7vkNh2g/348s.jpg,2.5,6,Holland Village,['Italian'],
Holland Village,Mai Thai Restaurant,www.yelp.com/biz/mai-thai-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/oT2eoss2C-M1q_cStZTchg/348s.jpg,3,6,Holland Village,['Thai'],2.0
Holland Village,Patissez,www.yelp.com/biz/patissez-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/-2DhOqSQ212x7W5Rl2vhSQ/348s.jpg,4,2,Holland Village,['Cafes'],3.0
Holland Village,Otto’s Deli Fresh,www.yelp.com/biz/ottos-deli-fresh-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/yQfb8Is77Ij31WKbOd-KGA/348s.jpg,4,3,Holland Village,"['Delis', 'Wine Bars', 'Sandwiches']",
Holland Village,Fatboy’s The Burger Bar,www.yelp.com/biz/fatboys-the-burger-bar-singapore-6?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/3pi7Lh9xtpS9Vood0mEtgQ/348s.jpg,3.5,4,Holland Village,"['Burgers', 'Fast Food']",
Holland Village,Sala Thai Kitchen,www.yelp.com/biz/sala-thai-kitchen-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/gwI4z1yoPEuAg2ZlJS5oRg/348s.jpg,4,1,one-north,['Thai'],
Holland Village,Baker & Cook,www.yelp.com/biz/baker-and-cook-singapore-10?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ct1n37Lrsvb5dz6yoxdMNA/348s.jpg,4,2,Holland Village,"['Coffee & Tea', 'Breakfast & Brunch', 'Bakeries']",1.0
Holland Village,British Indian Curry Hut,www.yelp.com/biz/british-indian-curry-hut-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/f8B8JCSuwBhsEsFV1R-DtQ/348s.jpg,4,8,Holland Village,['Indian'],3.0
Holland Village,Yuzu Japanese Restaurant,www.yelp.com/biz/yuzu-japanese-restaurant-holland-village?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/198dHJvtI8wI3H2RC1ACoQ/348s.jpg,4.5,2,Holland Village,['Japanese'],4.0
Holland Village,Kanpai Izakaya and Bar,www.yelp.com/biz/kanpai-izakaya-and-bar-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Y9o-5Dh8YcSB2hyg3Iyl7g/348s.jpg,4,1,Holland Village,"['Bars', 'Izakaya']",
Holland Village,Cafe O,www.yelp.com/biz/cafe-o-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/hBPkRJRHleICBdBBG2K0yg/348s.jpg,3,3,Holland Village,['Cafes'],2.0
