neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Hougang,Sin Heng Kee Porridge,www.yelp.com/biz/sin-heng-kee-porridge-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/781AQ5zZIEtFKVdDSKXdwg/348s.jpg,5,10,Hougang,"['Singaporean', 'Congee']",1.0
Hougang,Hansik Korean Restaurant,www.yelp.com/biz/hansik-korean-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Cg7LBeUc9NT-Caz84ogLEQ/348s.jpg,4,6,$$$,['Korean'],
Hougang,Goldhill Family Restruant,www.yelp.com/biz/goldhill-family-restruant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/QZajfc7vvfYXgoAYZ17_dw/348s.jpg,5,1,1,['Singaporean'],1.0
Hougang,Goki Day Korean BBQ Buffet Restaurant,www.yelp.com/biz/goki-day-korean-bbq-buffet-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/DwgcZazWVlpj33cFCLdeLQ/348s.jpg,4.5,2,2,"['Korean', 'Buffets']",2.0
Hougang,Nit & Grit,www.yelp.com/biz/nit-and-grit-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/GDv_guALMp06CabGUMX6Hw/348s.jpg,4.5,3,3,"['Waffles', 'Burgers', 'Fast Food']",
Hougang,Olivia & Co,www.yelp.com/biz/olivia-and-co-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Yv1H_xLBmF9zwkf56L9qmQ/348s.jpg,4,1,1,"['Coffee & Tea', 'Patisserie/Cake Shop', 'Breakfast & Brunch']",
Hougang,Hong Trang Nguyen,www.yelp.com/biz/hong-trang-nguyen-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/PmnarCpLHdQ7N8LqRHRQXQ/348s.jpg,4,1,1,"['Vietnamese', 'Street Vendors']",
Hougang,Seletar Hill,www.yelp.com/biz/seletar-hill-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Xi2Uft8fymZ4oP-QhrHURA/348s.jpg,5,1,1,['Szechuan'],2.0
Hougang,Fragrant Garden,www.yelp.com/biz/fragrant-garden-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/lS8AP26coBUEXVdeDrLX_Q/348s.jpg,5,4,4,['Teochew'],
Hougang,Lola’s Cafe,www.yelp.com/biz/lolas-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/iuQkBUrvQ5Y4FGKcIlkFfA/348s.jpg,3.5,20,,"['Cafes', 'Breakfast & Brunch']",
Hougang,Yi Dian Xin Hong Kong Dim Sum,www.yelp.com/biz/yi-dian-xin-hong-kong-dim-sum-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/bE7-ixeHAlivfq096Y3_ig/348s.jpg,3.5,6,$,"['Delicatessen', 'Dim Sum']",
Hougang,Yaki Yaki Bo Teppanyaki Restaurant,www.yelp.com/biz/yaki-yaki-bo-teppanyaki-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Yr3RCAu7o6Ebmw7LJVv7og/348s.jpg,4.5,3,3,['Japanese'],
Hougang,Authentic Taiwan Cuisine,www.yelp.com/biz/authentic-taiwan-cuisine-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/jvP8LQKffv3gSANJp9to3w/348s.jpg,1.5,5,5,['Taiwanese'],
Hougang,Soi Thai Soi Nice,www.yelp.com/biz/soi-thai-soi-nice-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/LYML2zRm1RweMX5f07UC7Q/348s.jpg,4,1,1,['Thai'],
Hougang,Nakhon Kitchen,www.yelp.com/biz/nakhon-kitchen-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/k9bfV8d0omBbdvTOf7CMeQ/348s.jpg,4,19,19,['Thai'],
Hougang,Tong Shun,www.yelp.com/biz/tong-shun-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/e7mQM70Ko8J9x-y9x6fsnw/348s.jpg,5,1,,"['Singaporean', 'Seafood', 'Noodles']",
Hougang,Baci Baci,www.yelp.com/biz/baci-baci-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/fbebzHBX-6gezrS7lNSAdQ/348s.jpg,4.5,6,Yio Chu Kang,"['Pizza', 'Italian']",3.0
Hougang,Simon Road Oyster Omelette Carrot Cake,www.yelp.com/biz/simon-road-oyster-omelette-carrot-cake-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/RE_D6OGHP5XSS_2003C0QA/348s.jpg,4.5,2,Serangoon Gardens,['Cafes'],
Hougang,iSteaks Grillhouse,www.yelp.com/biz/isteaks-grillhouse-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/GHw6_hFbhi1BKkxxvsvGEQ/348s.jpg,4,9,,"['Steakhouses', 'Diners']",2.0
Hougang,Bedok North 85 Carrot Cake and Fried Oyster,www.yelp.com/biz/bedok-north-85-carrot-cake-and-fried-oyster-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/8dWk_JjMymL_9EsDikdWYg/348s.jpg,5,1,Serangoon Gardens,"['Seafood', 'Bakeries']",1.0
Hougang,Casa Manini,www.yelp.com/biz/casa-manini-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/veqk8u78LKYDqJPt5iWxUg/348s.jpg,5,1,Serangoon Gardens,['Italian'],
Hougang,Daessiksin,www.yelp.com/biz/daessiksin-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/A4qe5uLX3JbqOwH24FyrnA/348s.jpg,3,1,Serangoon,"['Korean', 'Barbeque']",
Hougang,Master Crab Seafood Restaurant,www.yelp.com/biz/master-crab-seafood-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/evBD-Jz6GFS3wHTC8HgOHw/348s.jpg,3.5,2,Punggol,['Seafood'],1.0
Hougang,Tang Tea House Jalan Kayu,www.yelp.com/biz/tang-tea-house-jalan-kayu-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/KqguNtmGKR2RnzE8F1Z8Ww/348s.jpg,3,1,Yio Chu Kang,['Chinese'],2.0
Hougang,Hougang Fried Oyster,www.yelp.com/biz/hougang-fried-oyster-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ZJlQYYCBI_PdZVZyAs9wDw/348s.jpg,4.5,2,Hougang,['Seafood'],
Hougang,Peng Catering Services,www.yelp.com/biz/peng-catering-services-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Kgpqez-XkKOaS5CBWYNUGg/348s.jpg,3.5,2,Hougang,['Teochew'],
Hougang,Olden Street Bak Kut Teh,www.yelp.com/biz/olden-street-bak-kut-teh-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/xS8SLaWeZ0gj00O0B9vjkQ/348s.jpg,4,1,Hougang,"['Soup', 'Chinese']",
