neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Keppel,The Garden @ Sentosa,www.yelp.com/biz/the-garden-sentosa-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/d5euGIO-qmW4f5XLNwwJdw/348s.jpg,5,2,Sentosa,['Modern European'],3.0
Keppel,Old Habits,www.yelp.com/biz/old-habits-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/PpEWvE5J3LuDWYM4nXQCYQ/348s.jpg,5,4,Telok Blangah,['Cafes'],2.0
Keppel,Plate,www.yelp.com/biz/plate-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/p9WTgYNlmuw_1x1RzYnZaA/348s.jpg,5,1,Tanjong Pagar,"['Buffets', 'Modern European', 'Singaporean']",
Keppel,Curate,www.yelp.com/biz/curate-southern-islands?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/b_EvIZc12DEBdQeSSU5RFg/348s.jpg,5,2,Sentosa,['Pop-Up Restaurants'],4.0
Keppel,The Cliff at Sentosa,www.yelp.com/biz/the-cliff-at-sentosa-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/BUl2k-hcyJ66Q5wZh5GScQ/348s.jpg,4.5,4,Sentosa,['Modern European'],4.0
Keppel,Tim Ho Wan,www.yelp.com/biz/tim-ho-wan-singapore-7?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/L_YN4BIaEEpuNEeEAzXv-g/348s.jpg,4.5,32,City Hall,"['Dim Sum', 'Cantonese']",1.0
Keppel,Man Man Japanese Unagi,www.yelp.com/biz/man-man-japanese-unagi-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/O7IShQvGWku0u6y9uTohzA/348s.jpg,5,19,Chinatown,['Japanese'],2.0
Keppel,YAYOI,www.yelp.com/biz/yayoi-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/7bC4JTDc--aKi3tfWRyodA/348s.jpg,4.5,8,Tanjong Pagar,['Japanese'],2.0
Keppel,Two Men Bagel House,www.yelp.com/biz/two-men-bagel-house-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/g1bRzXGxoIFwUxlg-bswKQ/348s.jpg,4.5,76,Tanjong Pagar,"['Bagels', 'Breakfast & Brunch', 'Sandwiches']",1.0
Keppel,Meat Packing District,www.yelp.com/biz/meat-packing-district-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/DdXX_sPEeAMaHAdTsZ2PuA/348s.jpg,4.5,2,Keppel,['Burgers'],
