neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Lim Chu Kang,Bistro @ Gardenasia,www.yelp.com/biz/bistro-gardenasia-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/YAhNYODcV3YALRBH5rhVSA/348s.jpg,3.5,5,Lim Chu Kang,['Bistros'],2.0
Lim Chu Kang,Bollywood Veggies,www.yelp.com/biz/bollywood-veggies-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/M_ryWpN6-XrfazNJvw1_gQ/348s.jpg,3.5,9,Lim Chu Kang,['Cafes'],2.0
Lim Chu Kang,Naughty Nuri’s Warung,www.yelp.com/biz/naughty-nuris-warung-skudai-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/oG_bJ9kq1MeIgrPRZ9RQnw/348s.jpg,5,1,,"['Malaysian', 'Bars']",
Lim Chu Kang,Say Yes Dim Sum,www.yelp.com/biz/say-yes-dim-sum-skudai?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/xiDuPlwCgbrU4Mun5oUMIQ/348s.jpg,4.5,2,$,['Dim Sum'],
Lim Chu Kang,Cosmo,www.yelp.com/biz/cosmo-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/MitguccpZU6yr--h-yTMAQ/348s.jpg,5,1,1,['Singaporean'],
Lim Chu Kang,Dine Restaurant & The Single Cask,www.yelp.com/biz/dine-restaurant-and-the-single-cask-putri?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/zSnSP0xEOGlpkvG0Rsh1gg/348s.jpg,5,1,1,['Modern European'],
Lim Chu Kang,French Ladle,www.yelp.com/biz/french-ladle-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/GShMZ0hD2c9l9xrBc8d00Q/348s.jpg,5,5,5,['French'],1.0
Lim Chu Kang,Hong Kiat Seafood Restaurant,www.yelp.com/biz/hong-kiat-seafood-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/UyezD-QUXkXjvBlIE6vDgg/348s.jpg,3,1,1,['Seafood'],
Lim Chu Kang,Restoran Uncle Pou Wok,www.yelp.com/biz/restoran-uncle-pou-wok-johor-bharu?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/90s7RKBgvngiY4WyjB8wYQ/348s.jpg,3.5,2,2,['Malaysian'],
Lim Chu Kang,The Carving Board,www.yelp.com/biz/the-carving-board-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/xYrZ3uxkBHOLiSPBa6h-MQ/348s.jpg,3.5,5,5,"['Burgers', 'Barbeque', 'American (Traditional)']",2.0
