neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Mandai,Karu’s Indian Banana Leaf,www.yelp.com/biz/karus-indian-banana-leaf-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/QS3V9hTI1G3eoFHQu3_y8g/348s.jpg,4.5,8,Bukit Panjang,['Indian'],1.0
Mandai,Cheval,www.yelp.com/biz/cheval-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/UNvIZq_R4yFD4k1sdjO1oA/348s.jpg,4,1,Woodlands,"['Bars', 'Seafood', 'Sandwiches']",
Mandai,Cosmo,www.yelp.com/biz/cosmo-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/MitguccpZU6yr--h-yTMAQ/348s.jpg,5,1,Boon Lay,['Singaporean'],
Mandai,Pin Si,www.yelp.com/biz/pin-si-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Ma87QevBUP-F6ZASMpCjVA/348s.jpg,4.5,6,Yishun,['Chinese'],3.0
Mandai,Bistro @ Gardenasia,www.yelp.com/biz/bistro-gardenasia-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/YAhNYODcV3YALRBH5rhVSA/348s.jpg,3.5,5,Lim Chu Kang,['Bistros'],2.0
Mandai,Eatzi Steakhouse & Bistro,www.yelp.com/biz/eatzi-steakhouse-and-bistro-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/YatLikUdBDVauKyiWaMNrw/348s.jpg,4,2,Yishun,"['American (Traditional)', 'Halal', 'Bistros']",
Mandai,Taste of Thailand,www.yelp.com/biz/taste-of-thailand-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/AdAKHqGM-4KjVQvvOyb51g/348s.jpg,4.5,4,Sembawang,['Thai'],
Mandai,Rite Pizza Singapore - Woodlands,www.yelp.com/biz/rite-pizza-singapore-woodlands-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/PXO_M_WWUKmbBJH6DTrk8Q/348s.jpg,4.5,3,Woodlands,['Pizza'],
Mandai,Hong Kong Street Zheng Ji,www.yelp.com/biz/hong-kong-street-zheng-ji-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/nifoovE43JapE3dnpJH7pQ/348s.jpg,5,1,Ang Mo Kio,['Cantonese'],
Mandai,Wong Chiew Restaurant,www.yelp.com/biz/wong-chiew-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/hqMKgV1Stj3_D0L9xfd3ng/348s.jpg,4,1,Mandai,"['Singaporean', 'Chinese', 'Seafood']",
