neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Marine Parade,Forty Hands East Coast,www.yelp.com/biz/forty-hands-east-coast-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/1OYL8OuFAspKZoCd0hHMrg/348s.jpg,4.5,2,Katong,['Cafes'],
Marine Parade,Jia Wei Chinese Restaurant,www.yelp.com/biz/jia-wei-chinese-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/rmbrLPgoa4lDHdiyFdwYPg/348s.jpg,4,5,Marine Parade,"['Dim Sum', 'Cantonese']",
Marine Parade,Coastal Rhythm Cafe & Bar,www.yelp.com/biz/coastal-rhythm-cafe-and-bar-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/RW2R7HXTteeB6ECpouB1yQ/348s.jpg,5,1,Marine Parade,"['Bars', 'Cafes']",
Marine Parade,Next Door Cafe & Taverna,www.yelp.com/biz/next-door-cafe-and-taverna-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/BNIAnt7FOByc4Mo9cBy0nw/348s.jpg,4,6,Siglap,['Mediterranean'],2.0
Marine Parade,Thai Pan Restaurant,www.yelp.com/biz/thai-pan-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/4Rg4nu7IMeKu2rzLceyFrw/348s.jpg,5,4,Marine Parade,"['Singaporean', 'Thai']",1.0
Marine Parade,Goldhill Hakka Restaurant,www.yelp.com/biz/goldhill-hakka-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ay3ualRA0ksXMaG-Fljuyw/348s.jpg,5,5,,"['Hakka', 'Seafood']",
Marine Parade,Comida Mexicana,www.yelp.com/biz/comida-mexicana-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/xgzAeZomdKoj8FJD9o3XVA/348s.jpg,4,1,Siglap,['Mexican'],
Marine Parade,Eat First,www.yelp.com/biz/eat-first-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/muCZjpoCLQM-eAdk9MHrbg/348s.jpg,4.5,4,Siglap,"['Cantonese', 'Seafood']",
Marine Parade,Tasty Court By Chef Pung,www.yelp.com/biz/tasty-court-by-chef-pung-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/T1cauJL9acvyonTPaU1yCg/348s.jpg,3,3,Siglap,['Chinese'],
Marine Parade,Joo Chiat Road,www.yelp.com/biz/joo-chiat-road-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/UeG0Ql6-ueBgPN4SNLaJIQ/348s.jpg,5,3,Katong,"['Kitchen & Bath', 'Restaurants']",1.0
Marine Parade,Simplicite Cafe,www.yelp.com/biz/simplicite-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/fNMfjdx0q7C1QXw8kqONlQ/348s.jpg,5,1,Telok Kurau,"['Ice Cream & Frozen Yogurt', 'Breakfast & Brunch', 'Cafes']",
Marine Parade,328 Katong Laksa,www.yelp.com/biz/328-katong-laksa-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/KZn7vR-8IEX67DyLjsZUpA/348s.jpg,4,87,Katong,['Singaporean'],1.0
Marine Parade,Q-WA Bar and Yakitori,www.yelp.com/biz/q-wa-bar-and-yakitori-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/JAQ-j-asmDbEWk67MJlqww/348s.jpg,4,4,Katong,['Yakitori'],2.0
Marine Parade,Streets of London @ British Hainan,www.yelp.com/biz/streets-of-london-british-hainan-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Vvvez3MuUOiryDucmg3Chw/348s.jpg,4.5,5,Joo Chiat,['British'],2.0
Marine Parade,Little Vietnam Restaurant & Cafe,www.yelp.com/biz/little-vietnam-restaurant-and-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/FUTn42NhHq7HaU6oA8B73w/348s.jpg,3.5,9,Geylang,['Vietnamese'],1.0
Marine Parade,Chat Masala,www.yelp.com/biz/chat-masala-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/TWcilg9o0HMAnXvMNwfXRg/348s.jpg,4,9,Siglap,['Indian'],2.0
Marine Parade,Five Star Hainanese Chicken Rice,www.yelp.com/biz/five-star-hainanese-chicken-rice-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/6v4NSQoEyRbvCHiKMzH7Ug/348s.jpg,4.5,23,Katong,"['Chicken Shop', 'Hainan']",2.0
Marine Parade,Katsuya,www.yelp.com/biz/katsuya-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/fqvBXJCdDbMEssyvs2yeZQ/348s.jpg,4,7,Katong,['Tonkatsu'],2.0
Marine Parade,The Mango Tree,www.yelp.com/biz/the-mango-tree-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/x1zvA9FE9Hm14EfEtJGdbQ/348s.jpg,4,6,Katong,['Indian'],2.0
