neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Newton,Indocafe The White House,www.yelp.com/biz/indocafe-the-white-house-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/DdYX0qH6hPom-YXnFaOmyw/348s.jpg,4.5,8,Newton,['Indonesian'],2.0
Newton,Newton Tian Xiang Big Prawn Noodle,www.yelp.com/biz/newton-tian-xiang-big-prawn-noodle-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/tahS2icQlrKmhd6Nz3gdyA/348s.jpg,4,1,Newton,['Noodles'],1.0
Newton,Li Bai Cantonese Restaurant,www.yelp.com/biz/li-bai-cantonese-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/yqias4qLybs_F5ZYGUTQbA/348s.jpg,4.5,10,Newton,['Cantonese'],4.0
Newton,The Dining Room,www.yelp.com/biz/the-dining-room-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/TfhRDINNzsTIzT6NMeiA6w/348s.jpg,4,4,Newton,['Buffets'],2.0
Newton,Hainanese Delicacy Chicken Rice,www.yelp.com/biz/hainanese-delicacy-chicken-rice-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/-kiR85TeeIryfwD6HCo4gw/348s.jpg,4.5,39,Orchard,"['Chicken Shop', 'Hainan']",1.0
Newton,The Song of India,www.yelp.com/biz/the-song-of-india-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/2QXKZ5EraU_kDtriGmXmvw/348s.jpg,3.5,33,Newton,['Indian'],4.0
Newton,Thai’d Me UP,www.yelp.com/biz/thaid-me-up-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/icvgPbpD-GocpT7ODADwuw/348s.jpg,4,1,Newton,['Thai'],
Newton,Nana Thai,www.yelp.com/biz/nana-thai-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/J9KJdPO-0mvWcH3ws0xf8Q/348s.jpg,4,1,Orchard,['Thai'],
Newton,Din Tai Fung,www.yelp.com/biz/din-tai-fung-singapore-5?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/fxsbP8mMJJSZdD1e9P6nFA/348s.jpg,4.5,133,Orchard,"['Taiwanese', 'Dim Sum', 'Dumplings']",2.0
Newton,Coffee Lounge,www.yelp.com/biz/coffee-lounge-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/fUpDhlC87aqL7Kki9TEjrQ/348s.jpg,4.5,4,Newton,"['Singaporean', 'Breakfast & Brunch']",3.0
Newton,Gyu-Kaku,www.yelp.com/biz/gyu-kaku-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Zx_vQmaqlfpG2Y85NjamSQ/348s.jpg,4,6,Novena,"['Japanese', 'Barbeque']",3.0
Newton,Tanglin Food Hall,www.yelp.com/biz/tanglin-food-hall-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Qr53WJVC2e_6X5KXcleDZw/348s.jpg,4.5,3,Tanglin,['Food Court'],
Newton,Momiji Japanese Buffet Restaurant,www.yelp.com/biz/momiji-japanese-buffet-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/mHz_Ap6PNfRNGdYDfXh4kQ/348s.jpg,4,2,Novena,"['Japanese', 'Buffets']",
Newton,Hong Kong Street Family Restaurant,www.yelp.com/biz/hong-kong-street-family-restaurant-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/NL32zt4446GpKU10XYoelA/348s.jpg,4.5,13,Novena,['Cantonese'],1.0
Newton,Chui Huay Lim Teochew Cusine,www.yelp.com/biz/chui-huay-lim-teochew-cusine-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/1iywXZCvxOZWHIIiWLKxGg/348s.jpg,4,12,$$$,['Teochew'],
Newton,Opus Bar & Grill,www.yelp.com/biz/opus-bar-and-grill-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/uRDXyxbqSMqEKnxr63G5Gg/348s.jpg,4.5,7,7,"['Bars', 'Seafood', 'Steakhouses']",
Newton,The Sushi Bar,www.yelp.com/biz/the-sushi-bar-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/oBa_b3RtwRjE2jOUuF644g/348s.jpg,4.5,40,40,"['Sushi Bars', 'Japanese']",2.0
