neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Novena,Two Men Bagel House,www.yelp.com/biz/two-men-bagel-house-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ZKdLDvsoEm8ePW9qj5fqaw/348s.jpg,5,21,Novena,"['Breakfast & Brunch', 'Bagels']",1.0
Novena,The Marmalade Pantry,www.yelp.com/biz/the-marmalade-pantry-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/OiXFmGgjb-qkK6-aX1Ji7Q/348s.jpg,4,6,Novena,"['Breakfast & Brunch', 'Cupcakes', 'Sandwiches']",2.0
Novena,Su Korean BBQ,www.yelp.com/biz/su-korean-bbq-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ApsoXYnNdH2wMVSmhPwkbA/348s.jpg,4.5,2,Toa Payoh,"['Korean', 'Barbeque']",1.0
Novena,Wheeler’s Yard,www.yelp.com/biz/wheelers-yard-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/FZbaNN2HiRKWqPxjP1tQXQ/348s.jpg,3.5,24,Novena,"['Cafes', 'Bikes']",2.0
Novena,Wee Nam Kee Chicken Rice,www.yelp.com/biz/wee-nam-kee-chicken-rice-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/N7d5snBlYA_G4M7PwmtWIw/348s.jpg,4.5,47,Novena,"['Chicken Shop', 'Hainan']",1.0
Novena,Kopitiam TTSH,www.yelp.com/biz/kopitiam-ttsh-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/aNBHj-0DvQn5_Jt4DjsAdg/348s.jpg,3,2,Novena,['Food Court'],1.0
Novena,Lighthouse Bistro,www.yelp.com/biz/lighthouse-bistro-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/KVi-u596Tuireq8Izqm2VA/348s.jpg,5,1,Lavender,['Bistros'],
Novena,Momiji Japanese Buffet Restaurant,www.yelp.com/biz/momiji-japanese-buffet-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/mHz_Ap6PNfRNGdYDfXh4kQ/348s.jpg,4,2,Novena,"['Japanese', 'Buffets']",
Novena,Mrs Pho House Rangoon,www.yelp.com/biz/mrs-pho-house-rangoon-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/sRYym5uYaZvI6SWIaDEBEA/348s.jpg,5,4,Farrer Park,['Vietnamese'],
Novena,Hong Kong Street Family Restaurant,www.yelp.com/biz/hong-kong-street-family-restaurant-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/NL32zt4446GpKU10XYoelA/348s.jpg,4.5,13,Novena,['Cantonese'],1.0
Novena,Goki Day Korean BBQ Buffet Restaurant,www.yelp.com/biz/goki-day-korean-bbq-buffet-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/DwgcZazWVlpj33cFCLdeLQ/348s.jpg,4.5,2,Serangoon,"['Korean', 'Buffets']",2.0
