neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Pasir Ris,Mellben Food Palace,www.yelp.com/biz/mellben-food-palace-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/2Qu64I3RthL5nh19zy5btg/348s.jpg,4,5,Pasir Ris,['Seafood'],2.0
Pasir Ris,Ponggol Choon Seng Seafood Restaurant,www.yelp.com/biz/ponggol-choon-seng-seafood-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/IscZ44qXlQm7UC00SBmFTA/348s.jpg,5,2,Changi,['Restaurants'],
Pasir Ris,Mid Summer Nite Breeze,www.yelp.com/biz/mid-summer-nite-breeze-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/3gkR9mdFRSrt0ii9Gz-eaw/348s.jpg,4,1,Pasir Ris,"['Bars', 'American (Traditional)']",2.0
Pasir Ris,The Basil Inn,www.yelp.com/biz/the-basil-inn-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/PDhsnKcJ05d_hKTeLpGCbg/348s.jpg,4.5,4,Pasir Ris,"['Thai', 'Salad', 'Asian Fusion']",1.0
Pasir Ris,The Coastal Settlement,www.yelp.com/biz/the-coastal-settlement-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/r9q9kqkhQfP0XJcmVB7EZQ/348s.jpg,3.5,35,Changi,"['Bars', 'Breakfast & Brunch']",3.0
Pasir Ris,Magic Wok,www.yelp.com/biz/magic-wok-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/tS14zfQI9oVObUcSRXi7hw/348s.jpg,4.5,3,Pasir Ris,['Singaporean'],
Pasir Ris,JingLong Seafood Restaurant,www.yelp.com/biz/jinglong-seafood-restaurant-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/FGTocBnbg3RwR_Zz9Q-mdw/348s.jpg,5,1,Punggol,['Seafood'],3.0
Pasir Ris,The Bark Cafe,www.yelp.com/biz/the-bark-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/bfDk0GVGLCARsVk3gUOCJQ/348s.jpg,3,10,Changi,['Cafes'],2.0
Pasir Ris,Coastal Rhythm Cafe & Bar,www.yelp.com/biz/coastal-rhythm-cafe-and-bar-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/RW2R7HXTteeB6ECpouB1yQ/348s.jpg,5,1,Marine Parade,"['Bars', 'Cafes']",
Pasir Ris,Offshore Club,www.yelp.com/biz/offshore-club-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/U601qlp45tco-wlVp_NY_Q/348s.jpg,4,1,Changi,"['Salad', 'Italian', 'Sandwiches']",2.0
Pasir Ris,Tang Tea House,www.yelp.com/biz/tang-tea-house-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/va9mvUpnFJs6cPklDqPRYQ/348s.jpg,5,1,Changi,"['Halal', 'Dim Sum']",
Pasir Ris,Forty Hands East Coast,www.yelp.com/biz/forty-hands-east-coast-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/1OYL8OuFAspKZoCd0hHMrg/348s.jpg,4.5,2,Katong,['Cafes'],
Pasir Ris,Sakura International Buffet Restaurant,www.yelp.com/biz/sakura-international-buffet-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/VdGQTOGzN1zmtadwVDCdoA/348s.jpg,4,1,Pasir Ris,['Buffets'],
Pasir Ris,The Kitchen by Wolfgang Puck,www.yelp.com/biz/the-kitchen-by-wolfgang-puck-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/agz3TdZfnR2eH6o3_Cjpkg/348s.jpg,4,4,Changi,"['Pizza', 'Burgers']",
Pasir Ris,Porta Porta Italian,www.yelp.com/biz/porta-porta-italian-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/5TcTQOu-Ez9XdZGacIp6Hw/348s.jpg,5,5,Simei,"['Modern European', 'Italian']",4.0
Pasir Ris,Five Star Hainanese Chicken Rice,www.yelp.com/biz/five-star-hainanese-chicken-rice-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/6v4NSQoEyRbvCHiKMzH7Ug/348s.jpg,4.5,23,Katong,"['Chicken Shop', 'Hainan']",2.0
Pasir Ris,Fat Bird,www.yelp.com/biz/fat-bird-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/8HxttET2IY8prO9svdyxLg/348s.jpg,4,9,Bugis,['Chinese'],2.0
Pasir Ris,Jumping Jack,www.yelp.com/biz/jumping-jack-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/iNdIKJxqMlAmX8QKhVoQkQ/348s.jpg,4,1,Sengkang,"['Pizza', 'Steakhouses']",
Pasir Ris,Thai Pan Changi Village,www.yelp.com/biz/thai-pan-changi-village-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/ec91c6e75078/assets/img/default_avatars/business_medium_square.png,5,1,Changi,"['Thai', 'Singaporean', 'Chinese']",
