neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Pulau Ubin,Christina Floating Resturant,www.yelp.com/biz/christina-floating-resturant-no-title?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/sa6rfkeo-4h1WmE_qDzi7w/348s.jpg,4,1,Pulau Ubin,['Seafood'],
Pulau Ubin,Queen’s Garden Restaurant,www.yelp.com/biz/queens-garden-restaurant-changi?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/d4L-wyG2diVTurwEbFIJ9Q/348s.jpg,5,1,Changi,['Modern European'],
Pulau Ubin,Magic Wok,www.yelp.com/biz/magic-wok-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/tS14zfQI9oVObUcSRXi7hw/348s.jpg,4.5,3,Pasir Ris,['Singaporean'],
Pulau Ubin,Pondok Gurame,www.yelp.com/biz/pondok-gurame-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/QdMtBKSKL4b3n4IsG6yFzw/348s.jpg,5,1,Changi,"['Seafood', 'Indonesian', 'Desserts']",3.0
Pulau Ubin,Ponggol Choon Seng Seafood Restaurant,www.yelp.com/biz/ponggol-choon-seng-seafood-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/IscZ44qXlQm7UC00SBmFTA/348s.jpg,5,2,Changi,['Restaurants'],
Pulau Ubin,The Coastal Settlement,www.yelp.com/biz/the-coastal-settlement-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/r9q9kqkhQfP0XJcmVB7EZQ/348s.jpg,3.5,35,Changi,"['Bars', 'Breakfast & Brunch']",3.0
Pulau Ubin,Jacob’s Cafe,www.yelp.com/biz/jacobs-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/-wl_e0z7kjBwilnr_61hvg/348s.jpg,4.5,3,Changi,"['Coffee & Tea', 'German']",2.0
Pulau Ubin,Season Live Seafood,www.yelp.com/biz/season-live-seafood-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/nVolw1n4fzWn4mUdkDlyig/348s.jpg,3,8,Pulau Ubin,['Seafood'],2.0
Pulau Ubin,Sin Lam Huat Eating House,www.yelp.com/biz/sin-lam-huat-eating-house-no-title?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/c4Rk4bUCfY-YOkeno1xMrA/348s.jpg,4,1,Pulau Ubin,['Singaporean'],
Pulau Ubin,Tang Tea House,www.yelp.com/biz/tang-tea-house-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/va9mvUpnFJs6cPklDqPRYQ/348s.jpg,5,1,Changi,"['Halal', 'Dim Sum']",
Pulau Ubin,Offshore Club,www.yelp.com/biz/offshore-club-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/U601qlp45tco-wlVp_NY_Q/348s.jpg,4,1,Changi,"['Salad', 'Italian', 'Sandwiches']",2.0
Pulau Ubin,Mellben Food Palace,www.yelp.com/biz/mellben-food-palace-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/2Qu64I3RthL5nh19zy5btg/348s.jpg,4,5,Pasir Ris,['Seafood'],2.0
Pulau Ubin,The Basil Inn,www.yelp.com/biz/the-basil-inn-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/PDhsnKcJ05d_hKTeLpGCbg/348s.jpg,4.5,4,Pasir Ris,"['Thai', 'Salad', 'Asian Fusion']",1.0
Pulau Ubin,Charlie’s Corner,www.yelp.com/biz/charlies-corner-no-title?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/bgEhTTgxYpLV88kirBbplg/348s.jpg,4.5,2,Changi,['Steakhouses'],2.0
Pulau Ubin,Thai Pan Changi Village,www.yelp.com/biz/thai-pan-changi-village-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/ec91c6e75078/assets/img/default_avatars/business_medium_square.png,5,1,Changi,"['Thai', 'Singaporean', 'Chinese']",
Pulau Ubin,JingLong Seafood Restaurant,www.yelp.com/biz/jinglong-seafood-restaurant-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/FGTocBnbg3RwR_Zz9Q-mdw/348s.jpg,5,1,Punggol,['Seafood'],3.0
Pulau Ubin,Colonial Club,www.yelp.com/biz/colonial-club-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/f0aSLJ2VWoXL0BQgdgrx2A/348s.jpg,4.5,3,Changi,"['Singaporean', 'Malaysian']",
Pulau Ubin,Five Spice,www.yelp.com/biz/five-spice-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/offahgAmebNrdpmdicp87g/348s.jpg,5,1,Changi,['Food Court'],
Pulau Ubin,Mid Summer Nite Breeze,www.yelp.com/biz/mid-summer-nite-breeze-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/3gkR9mdFRSrt0ii9Gz-eaw/348s.jpg,4,1,Pasir Ris,"['Bars', 'American (Traditional)']",2.0
Pulau Ubin,Leong Ji,www.yelp.com/biz/leong-ji-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/yff7KafvGk4zfUXZHZDmZg/348s.jpg,4,3,Punggol,"['Chinese', 'Seafood']",1.0
